Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,ADM,ADM,ADM,ADM,ADM,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,21.004907608032227,21.251867684694634,20.91146387403448,21.01158234232855,3472500,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-01-05,21.118370056152344,21.205140306377153,20.95818029390085,21.05829873617365,3458700,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-01-06,21.064973831176758,21.285234917196735,20.978204852534077,21.09167276188225,3745800,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-01-07,20.84471321105957,21.15841928848537,20.724570566349698,21.058299569177066,7232100,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-01-08,20.58440399169922,20.818014536892978,20.37081764400494,20.771292682469234,6264700,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-01-11,20.597753524780273,20.904783582336854,20.424214298436315,20.671173036370945,5019600,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-01-12,20.377490997314453,20.597752062600836,20.237324170454954,20.477609431885544,4278400,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-01-13,20.46426010131836,20.577728000725962,20.277371421977904,20.450910637135117,3335100,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-01-14,20.517662048339844,20.671177107351383,20.357472255491896,20.41086885310788,3234000,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-01-15,20.384164810180664,20.671170636855862,20.223973794400443,20.53767982113889,3693700,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-01-19,20.384164810180664,20.611099324207007,20.31074403403764,20.357465883192326,4336000,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-01-20,20.62445640563965,20.818019878575825,20.457591869553447,20.711226677326685,7735400,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-01-21,20.317415237426758,20.677841777652677,20.29739104566294,20.651144128375606,8686100,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-01-22,20.33744239807129,20.62444950784279,20.070459484240224,20.243998696499155,6270800,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-01-25,19.870227813720703,20.497637507039034,19.823505950715646,20.497637507039034,6367700,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-01-26,19.77677345275879,19.870218407609464,19.71002869324718,19.790122913890983,5009300,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-01-27,19.856870651245117,19.950314341043516,19.70335565426924,19.763426961446722,5128500,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-01-28,19.99036979675293,20.1505595815133,19.856877672915,19.883576606912683,7374100,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-01-29,20.003725051879883,20.230660978666332,19.790138596804564,20.10384481663767,6580200,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-02-01,20.130531311035156,20.14388077533501,19.79012760983879,20.070459994760796,5922200,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-02-02,21.111692428588867,21.22516032042511,20.270696610361266,20.30406899551756,10066300,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-02-03,20.81134796142578,21.19847368662481,20.631133932520488,21.058306795339952,5960500,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-02-04,20.06378936767578,20.67117611376604,20.043766440204283,20.624454252232212,6939900,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-02-05,20.430892944335938,20.577733268718454,20.07713969136746,20.223980015749977,7456500,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-02-08,19.95032501220703,20.517664731748606,19.923627346445034,20.430895726677765,6611200,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-02-09,19.96367645263672,20.21063656896379,19.736740542414736,20.13054101761902,8241300,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-02-10,20.017065048217773,20.097160567494466,19.856875282739473,19.997040850129824,4799300,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-02-11,20.043766021728516,20.270701864219333,19.69001279123984,19.94364629416034,5744000,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-02-12,19.870227813720703,19.977021007182348,19.663314887447893,19.81015648326412,5090900,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-02-16,19.776302337646484,20.125138376592666,19.62200991717785,20.05134579309817,7384300,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-02-17,20.044641494750977,20.051350029169715,19.829973511439807,19.870224717952233,4611900,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-02-18,20.105018615722656,20.151978360369313,19.917184755224874,19.93730908055123,3679600,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-02-19,20.09160614013672,20.1586889416551,19.843395424142468,20.031230595152238,3897500,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-02-22,19.997684478759766,20.158685477880177,19.890350479346157,20.011101548567016,3619800,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-02-23,19.870227813720703,20.011103219896164,19.76289252582024,19.997686148968317,5819300,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-02-24,19.836685180664062,20.031228870985007,19.742768243004193,19.870227858058524,4607500,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-02-25,19.769594192504883,19.769594192504883,19.507967797923314,19.588468915998646,4701500,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-02-26,19.695804595947266,19.836679965399505,19.554927946973052,19.789721508915427,3487500,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-03-01,19.897062301635742,19.9574378462214,19.749478347938812,19.783019748476438,2732700,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-03-02,20.024513244628906,20.292848171153004,19.897053674709262,19.94401212691075,4422200,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-03-03,19.977561950683594,20.16539582679319,19.897060804120684,20.118437357765792,3891600,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-03-04,20.125144958496094,20.131853493691597,19.903768415133527,20.017810954412564,3504000,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-03-05,20.541061401367188,20.59472839352629,20.09830711665209,20.12514125249265,5047800,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-03-08,20.507524490356445,20.661816976201017,20.35323200451187,20.57460856927394,2761700,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-03-09,20.467273712158203,20.581316257765994,20.38677256486704,20.44043956988704,4476400,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-03-10,20.286142349243164,20.54776877762966,20.16539129628877,20.500810319152293,4428800,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-03-11,19.749473571777344,20.23918506652163,19.675680973013485,20.172101002147404,8551000,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-03-12,19.226226806640625,19.96414923979227,19.15914271644091,19.95073216584781,7700400,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-03-15,19.192676544189453,19.340260450903138,19.085342561211863,19.306719061043392,4943900,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-03-16,19.179264068603516,19.447599090296,18.99142891365762,19.447599090296,4822400,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-03-17,19.521392822265625,19.521392822265625,19.14572377032013,19.18597370600512,5398200,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-03-18,19.61530303955078,19.62201157311841,19.326842493752366,19.57505311766694,5884200,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-03-19,19.51468276977539,19.72264224742865,19.20609654144648,19.51468276977539,6960800,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
2010-03-22,19.675674438476562,19.675674438476562,19.293297061914494,19.37379688881089,4084700,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
