Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,ALLE,ALLE,ALLE,ALLE,ALLE,,,,,,,,
Date,,,,,,,,,,,,,
2013-11-18,43.23471450805664,44.590258783305124,42.351829289248585,44.3673074893886,587100,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
2013-11-19,40.84467697143555,43.69845425632351,40.39877437698327,43.68953770129986,1682000,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
2013-11-20,39.81911087036133,41.023046751185205,39.230519466096936,41.005210235665984,1106900,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
2013-11-21,39.05215072631836,40.26500634890186,38.3832968228613,39.685331605118996,730200,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
2013-11-22,39.23052215576172,39.32861789489171,38.57058464417478,39.150259531406114,947600,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
2013-11-25,39.39995574951172,40.68415406956118,38.971889642828565,39.489134912666415,727300,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
2013-11-26,38.5259895324707,40.131238387580474,38.38330082094911,40.131238387580474,873700,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
2013-11-27,38.56166458129883,38.83812206075047,37.9017271297042,38.83812206075047,1153300,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
2013-11-29,38.56166458129883,39.105662983625486,38.124678465761285,38.124678465761285,949900,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
2013-12-02,38.472476959228516,38.945132641041326,37.027753443635085,38.4189708228524,5130700,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
2013-12-03,38.25843811035156,39.99745524103148,38.08007641947082,38.16925556392804,3239300,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
2013-12-04,37.30421447753906,37.99982146968381,37.143689263664584,37.83929625580933,2777700,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
2013-12-05,36.60860061645508,37.70552053940357,36.234044087531196,37.70552053940357,3380500,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
2013-12-06,36.296478271484375,36.617528740437805,36.242968726003,36.341067858401814,4662300,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
2013-12-09,36.72454833984375,36.804810965628434,35.88625244984537,36.29648213631472,3074000,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
2013-12-10,37.955238342285156,38.20494276100801,36.599693751278444,36.62644682415088,3289400,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
2013-12-11,37.86604690551758,38.36545902811337,37.4558173415818,37.74119472536032,3367300,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
2013-12-12,38.32087326049805,38.43680549533454,37.45582106628997,37.46473762205928,1770500,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
2013-12-13,38.57057189941406,39.061064040863,38.276274573364745,38.276274573364745,683800,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
2013-12-16,38.96296691894531,39.23051119334766,37.553916509735664,38.356539127042396,1953900,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
2013-12-17,39.016475677490234,39.23942696707589,38.49031049798941,38.731098298977926,1396700,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
2013-12-18,39.480220794677734,39.685335604171094,38.43680683111815,38.927302464653586,1225200,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
2013-12-19,39.64073944091797,39.68532901784806,39.07890124609216,39.20375342228308,593000,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
2013-12-20,39.47128677368164,39.640731896520634,39.15915639260877,39.50695978922312,2878600,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
