Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,AMT,AMT,AMT,AMT,AMT,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,32.62380599975586,32.946591246681976,32.48868646087741,32.64632783193657,2750500,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-01-05,33.16427993774414,33.21682610023104,32.57876391943235,32.65382904768475,2575800,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-01-06,33.33692932128906,33.4495298680914,32.856505666893995,33.20931804089387,3215300,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-01-07,33.24686050415039,33.45704519966147,33.0366729450876,33.351952851905935,2615000,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-01-08,33.31442642211914,33.45705136843416,33.03667903635252,33.31442642211914,1934600,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-01-11,33.014156341552734,33.704767747615755,32.773944425587835,33.682245911802106,3276000,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-01-12,32.60879898071289,32.984130472559016,32.286013668641054,32.84150553653622,2973600,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-01-13,33.29940414428711,33.38197751511254,32.73640701253352,32.73640701253352,2799900,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-01-14,33.4870719909668,33.52460456276756,33.059194372624454,33.29189803592017,4387600,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-01-15,33.0291633605957,33.779826164245605,32.879030227155454,33.39698939434675,3130300,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-01-19,33.17178726196289,33.314415023027635,32.8565102684432,33.07420316218847,1995700,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-01-20,33.276878356933594,33.35194348036599,32.86401158740268,33.04417189261171,3053000,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-01-21,33.014156341552734,33.404501420883676,32.8640231781867,33.34444701011649,3301000,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-01-22,31.662960052490234,33.472057452751606,31.580386678708546,32.90155493211239,4021100,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-01-25,32.42864227294922,32.6538406009349,31.948218409632535,31.948218409632535,3857100,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-01-26,31.933202743530273,32.406118342690974,31.640444649701674,32.406118342690974,3730800,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-01-27,32.02326583862305,32.13586637206423,31.385203785257733,31.963214320724795,3584400,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-01-28,31.76805305480957,32.51121057070459,31.430254183948193,32.08333295546407,3739600,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-01-29,31.865652084350586,32.13589128325378,31.708013506174634,31.82061126334914,3757100,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-02-01,32.338558197021484,32.39110436945955,31.738025603069378,32.240971220971524,2711800,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-02-02,32.301021575927734,32.34606237788544,31.73802443743835,32.331048777232866,2360800,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-02-03,32.1208610534668,32.556243976955884,32.02327409024202,32.24096698376219,3047700,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-02-04,30.792190551757812,32.00075820239539,30.777176951082318,32.00075820239539,3757500,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-02-05,30.101581573486328,30.82222014405376,29.621157768809212,30.747152134853117,7923800,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-02-08,30.529457092285156,30.912296753854427,30.02651435140389,30.049033320830944,4943200,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-02-09,31.11498260498047,31.250102177027454,30.649572336569825,30.987368403135136,4121300,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-02-10,31.220062255859375,31.46777946137008,30.964836819652323,31.152502497347186,3020500,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-02-11,31.91817855834961,32.09833600395047,30.97234194651667,31.227567380743707,2959900,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-02-12,31.99325180053711,32.188425756932396,31.55036057770373,31.7230127000216,2758300,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-02-16,32.54873275756836,32.586265317122276,32.218439360972084,32.218439360972084,2839400,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-02-17,32.81147384643555,32.88654185267838,32.51121041211915,32.65383532865307,2247900,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-02-18,32.57124710083008,32.90154045057902,32.42862224933416,32.74389914113051,2924700,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-02-19,32.9691162109375,33.23935533783895,32.36108103896121,32.466173396411335,3065200,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-02-22,32.864017486572266,33.089218624395414,32.5412322434806,33.089218624395414,2535100,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-02-23,32.135887145996094,32.81148219272348,31.888166957709398,32.81148219272348,4557400,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-02-24,31.99325180053711,32.35356964670723,31.265110739205532,32.18091752438936,6001800,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-02-25,32.12834548950195,32.21842416264891,31.37768319832878,31.78304152281415,4325600,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-02-26,32.02326583862305,32.24846404195489,31.655439911125637,32.13586637206423,4030100,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-03-01,32.225955963134766,32.51120864424293,32.10585002322893,32.113355391669266,2656600,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-03-02,32.11335754394531,32.50370259068854,32.05330600174341,32.33105046947452,3801400,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-03-03,32.26348876953125,32.6012876228586,31.955717117288884,32.13587746024731,2697200,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-03-04,32.248470306396484,32.39109805826827,31.92568510228286,32.36857622907473,2586900,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-03-05,32.586273193359375,32.691365530931904,32.31603411757206,32.40611285498402,1992600,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-03-08,31.865652084350586,32.61631525305824,31.813105891625266,32.466182046606164,4482000,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-03-09,32.1959342956543,32.48118702578768,31.6254316989395,31.692991480719723,4712500,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-03-10,32.36107635498047,32.4661686972194,32.08333189855592,32.17341063996764,2098100,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-03-11,32.653831481933594,32.653831481933594,32.128366954341644,32.27850008558953,2309100,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-03-12,32.56376647949219,32.879043610856804,32.526233896742,32.683872462424304,3540100,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-03-15,32.533729553222656,32.70638167316121,32.225957884888416,32.368582802172014,2748300,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
2010-03-16,33.22433853149414,33.35945808191723,32.50370283827211,32.51121107082434,4366600,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
