Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,APD,APD,APD,APD,APD,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,52.484004974365234,52.547116690429625,51.56887728379662,51.821324148054174,1131483,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-01-05,52.04853057861328,52.48400401403444,51.68879120108363,52.31991355526949,790103,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-01-06,51.61936950683594,52.181066413368356,51.43634291759832,51.75190672043425,1248663,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-01-07,51.32275390625,51.796094516860734,51.03875370395676,51.63200400739821,1514481,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-01-08,51.65092849731445,51.890753034053496,51.089231585038384,51.209141250862736,1244880,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-01-11,52.59761428833008,52.73015151533605,51.922316218295144,52.18107169207751,1197640,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-01-12,51.92860794067383,52.502927062883444,51.60042707229379,52.01696432831461,949118,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-01-13,52.446128845214844,52.45243741318174,51.600426791593094,51.99171936330224,874637,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-01-14,51.79608917236328,52.88792987261058,51.63199867983217,52.35779135827929,663410,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-01-15,52.23786544799805,52.35778030823916,51.7203441833773,51.897062189282586,1542263,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-01-19,52.117942810058594,52.40826185887728,51.74558114707825,52.351458721689994,1415137,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-01-20,51.42373275756836,51.75191374376177,51.19652533126656,51.75191374376177,1315145,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-01-21,50.401309967041016,51.94756024539863,50.36975670702249,51.335368704023,1546803,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-01-22,49.2716064453125,51.04505369162814,49.20849472151607,50.40130890381392,1953475,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-01-25,50.653743743896484,51.08290331947668,49.91532901945612,49.91532901945612,1942017,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-01-26,50.22460174560547,51.17128291448637,49.858553706273455,50.15518144413983,1482267,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-01-27,49.77019500732422,50.64745062953716,49.05702467290774,50.224599449166355,1842240,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-01-28,48.621551513671875,50.1614880994898,48.55213121485675,49.99739760536466,1456539,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-01-29,47.939945220947266,48.9686690062512,47.908386753899954,48.69097739863543,2528135,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-02-01,48.476402282714844,48.64680657031187,47.5423433966017,48.37542350638819,2507271,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-02-02,48.35647201538086,49.00021671496996,47.96517938146958,48.50163156276386,1597394,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-02-03,48.08509063720703,48.57736723681848,47.775845825245064,48.104026754925975,1322604,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-02-04,46.507301330566406,47.93994539168672,46.488365209252365,47.66224857799087,1612420,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-02-05,43.32014846801758,43.654643314879735,41.05442383812747,42.69533959778681,10094378,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-02-08,43.13711166381836,44.29837261926016,42.928840366916546,43.364313875843564,3684372,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-02-09,42.88467025756836,43.452681099988006,42.581733917660145,42.84680321507983,4046399,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-02-10,43.055057525634766,43.610443198390826,42.341889969023846,43.610443198390826,4041319,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-02-11,43.168663024902344,43.60413648841749,42.60065495152675,43.11817364971741,3649132,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-02-12,43.25071716308594,43.679882145595144,42.28510245880433,42.70795366557057,3714424,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-02-16,44.43719482421875,44.53817353151022,43.50945034843441,43.74296621158993,2036712,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-02-17,44.292049407958984,45.44068763859155,44.07115583896378,44.481384522059564,3034367,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-02-18,44.146915435791016,44.46878791859868,43.963888783684446,44.36780913263424,2204483,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-02-19,43.95124816894531,44.17845554802813,43.604133736456134,44.115343833030096,2036280,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-02-22,44.12796401977539,44.19107573168955,43.862889624646265,43.970182137445164,3554328,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-02-23,44.2226448059082,44.550831030361266,43.96388409194276,44.05855429622742,3593893,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-02-24,44.096412658691406,44.393040354975696,43.989120128623526,44.393040354975696,4476421,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-02-25,43.53472137451172,43.74930125737989,43.11818135228087,43.698811873175615,2542836,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-02-26,43.28226089477539,43.71142315442217,43.20652683763977,43.5851997258628,2203402,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-03-01,43.64832305908203,43.679881527167474,42.94146906844406,43.42111822464958,2357985,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-03-02,44.601318359375,44.8158982467459,43.81241390699215,43.97019583848697,2641964,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-03-03,45.01154708862305,45.238754553026226,44.50665317904231,44.9295044308621,2241345,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-03-04,45.37126922607422,45.46593940041103,44.815886138228464,45.09989145614906,2690609,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-03-05,46.387386322021484,46.41263101364727,45.44070518096354,45.642662713969806,2875028,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-03-08,46.82916259765625,46.92383278201691,46.418939012334484,46.418939012334484,2971561,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-03-09,46.84811019897461,47.09424857456819,46.43157273689382,46.60197182338103,2672556,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-03-10,46.95539855957031,47.23309017615263,46.43787715993934,46.9112177452957,2353229,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-03-11,47.119483947753906,47.119483947753906,46.28009020834129,46.68401044827183,2279505,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-03-12,47.05637741088867,47.397180759103776,46.94908486538645,47.27095729680189,2073466,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-03-15,46.778682708740234,47.17628923555631,46.51992720184019,47.03744342073175,2309340,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-03-16,47.258331298828125,47.31512924992947,46.87334716601022,46.961703582794065,1980500,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-03-17,47.05005645751953,47.5233969714869,46.8039181410348,47.34037558161556,1815431,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-03-18,47.182586669921875,47.26462929317538,46.75973559595484,47.23938460831435,1578476,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-03-19,46.98064041137695,47.48553422918082,46.7786776791645,46.98064041137695,2503812,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-03-22,47.34038162231445,47.50447211921231,46.69032300004398,46.69032300004398,1159913,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-03-23,47.67488479614258,47.67488479614258,46.923852397246264,47.30883666010644,1114079,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-03-24,47.21415710449219,47.485540168048246,46.95540159305142,47.435050779953315,1757057,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-03-25,46.51361083984375,47.611760155674915,46.488366147642836,47.54233985466798,1313307,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-03-26,46.904903411865234,47.270951406931836,46.52622786705058,46.639828968967805,1183046,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-03-29,46.892276763916016,47.3908619346763,46.34319701406914,47.06267579860908,1982554,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-03-30,47.070159912109375,47.17180902010323,46.237899980942565,46.847799868550446,1608096,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-03-31,46.981231689453125,47.3814777976337,46.90499483452791,47.070174686865876,1508319,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-04-01,46.930389404296875,47.356047636775756,46.70167368621007,47.29251694831953,1246609,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-04-05,47.1209831237793,47.222632228877494,46.60638190939738,47.006627880543824,1428866,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-04-06,47.413230895996094,47.45134931571009,46.87321733022512,46.93674802974844,936470,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-04-07,47.05110168457031,47.55299681351397,46.91768983994297,47.07651396351315,1635013,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-04-08,47.07651901245117,47.12734881543347,46.49838698467457,46.85416416767643,2203186,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-04-09,47.87701416015625,47.92148827571838,46.94946058080877,47.20358865324972,1383572,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-04-12,47.86430740356445,48.010430650367184,47.62289071551096,47.87701354504095,1067704,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-04-13,47.61653137207031,47.8643037316773,47.381470392610645,47.73089187623167,1208126,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
2010-04-14,48.28995895385742,48.347139202262106,47.64829627994708,47.87065634425554,1820945,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
