Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,APO,APO,APO,APO,APO,,,,,,,,
Date,,,,,,,,,,,,,
2011-03-30,7.186795234680176,7.502698007407639,7.167050840652447,7.384234655927745,30086900,APO,Apollo Global Management,Financials,Asset Management & Custody Banks,"New York City, New York",2024-12-23,1858681,1990
2011-03-31,7.107819557189941,7.340798147373789,7.072280399150259,7.127563199135693,9582800,APO,Apollo Global Management,Financials,Asset Management & Custody Banks,"New York City, New York",2024-12-23,1858681,1990
2011-04-01,7.107819557189941,7.1986415152150585,7.064382641103293,7.111768436213424,3199400,APO,Apollo Global Management,Financials,Asset Management & Custody Banks,"New York City, New York",2024-12-23,1858681,1990
2011-04-04,7.060432434082031,7.170998766428124,7.02884216100765,7.135459615073005,1846600,APO,Apollo Global Management,Financials,Asset Management & Custody Banks,"New York City, New York",2024-12-23,1858681,1990
2011-04-05,7.099919319152832,7.119663707373563,6.969609369581601,7.060431295882768,2353300,APO,Apollo Global Management,Financials,Asset Management & Custody Banks,"New York City, New York",2024-12-23,1858681,1990
2011-04-06,7.147308349609375,7.1670519936417145,7.060434508254903,7.111769187813771,474900,APO,Apollo Global Management,Financials,Asset Management & Custody Banks,"New York City, New York",2024-12-23,1858681,1990
2011-04-07,7.1117682456970215,7.24602711621214,7.107819366779325,7.242078237294444,702100,APO,Apollo Global Management,Financials,Asset Management & Custody Banks,"New York City, New York",2024-12-23,1858681,1990
2011-04-08,7.107819557189941,7.1670512361988585,7.0604337620798105,7.111768436213424,304500,APO,Apollo Global Management,Financials,Asset Management & Custody Banks,"New York City, New York",2024-12-23,1858681,1990
2011-04-11,7.131513595581055,7.147309115035909,7.068333024105284,7.084128543560138,486000,APO,Apollo Global Management,Financials,Asset Management & Custody Banks,"New York City, New York",2024-12-23,1858681,1990
2011-04-12,7.1828460693359375,7.242077742713009,7.05648496528576,7.147306914675376,624600,APO,Apollo Global Management,Financials,Asset Management & Custody Banks,"New York City, New York",2024-12-23,1858681,1990
2011-04-13,7.147308349609375,7.2539258349961875,7.111769187813771,7.2539258349961875,199600,APO,Apollo Global Management,Financials,Asset Management & Custody Banks,"New York City, New York",2024-12-23,1858681,1990
