Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,BDX,BDX,BDX,BDX,BDX,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,59.37267303466797,60.188479944085586,59.11584197998017,59.66726849739246,1838030,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,10795,1897
2010-01-05,58.82127380371094,59.46334583112995,58.74573313829578,59.22162515324537,1150255,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,10795,1897
2010-01-06,58.66263961791992,58.97990094221434,58.37559337655106,58.911915528843814,1238200,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,10795,1897
2010-01-07,58.64751052856445,58.83635621376331,58.17917984527955,58.503990406959424,2323573,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,10795,1897
2010-01-08,58.85147476196289,59.153625536791495,58.451123508527246,58.67018429706573,1214625,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,10795,1897
2010-01-11,59.2291259765625,59.37265194185159,58.74568501680372,59.18380634015892,1573990,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,10795,1897
2010-01-12,58.35291290283203,59.13095544335045,58.2698229309621,59.13095544335045,1448120,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,10795,1897
2010-01-13,58.541778564453125,58.91191480251583,58.40580773938845,58.40580773938845,1427825,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,10795,1897
2010-01-14,58.194278717041016,58.35290931332565,57.49178276105842,57.78637822048013,2152398,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,10795,1897
2010-01-15,57.627750396728516,58.118746790820154,57.16696907447097,57.98277601399174,1416960,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,10795,1897
2010-01-19,58.38315200805664,58.670198266063196,57.68064981253113,57.72597539312267,1734608,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,10795,1897
2010-01-20,58.00545120239258,58.61730207639475,57.41625425202089,58.46622669260084,1416653,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,10795,1897
2010-01-21,57.52202224731445,58.398259660275635,57.46914142134062,58.31516375109624,1233280,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,10795,1897
2010-01-22,56.713741302490234,57.710838643224754,56.472020735039436,56.72885179153078,1573580,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,10795,1897
2010-01-25,57.24251174926758,57.703293087959544,56.743960092648365,56.84971580141461,885600,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,10795,1897
