Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,BX,BX,BX,BX,BX,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,7.525984287261963,7.547941915530332,7.218576967993638,7.2734713004201375,3862700,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985
2010-01-05,7.569900035858154,7.613815295249477,7.476579978773795,7.547942406162493,4072800,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985
2010-01-06,7.707135200500488,7.7345823679571435,7.547942257465304,7.564410348534826,4108900,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985
2010-01-07,7.734583377838135,7.794966735317906,7.63577377149738,7.707136206797787,4015200,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985
2010-01-08,7.712625503540039,7.7400726737185765,7.613815900301799,7.723604057504717,2830500,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985
2010-01-11,7.712625503540039,7.838881753445589,7.575390176158584,7.838881753445589,2465900,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985
2010-01-12,7.515005111694336,7.668709031045369,7.4710898557400816,7.619304237219047,2925500,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985
2010-01-13,7.498538970947266,7.5863695056886415,7.333856456551545,7.504028510246422,2335100,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985
2010-01-14,7.547942638397217,7.564410730297856,7.355812980015352,7.493048300713483,3018800,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985
2010-01-15,7.569900035858154,7.591857665553816,7.471090440472084,7.558921482765917,2734600,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985
2010-01-19,7.4436445236206055,7.586368868838472,7.3832606434214725,7.558922221669307,3893900,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985
2010-01-20,7.515005111694336,7.520494649566404,7.361301715854448,7.405216971808701,1729300,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985
2010-01-21,7.36679220199585,7.597347587188839,7.317387401810036,7.493048448238518,4095500,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985
2010-01-22,6.9935102462768555,7.366790402254506,6.911169281757591,7.306407063174451,5373600,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985
2010-01-25,6.938617706298828,7.136236371190858,6.828829035625409,7.075853021129422,3600600,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985
2010-01-26,6.834317684173584,7.03742586086101,6.834317684173584,6.916659176459478,1862700,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985
2010-01-27,6.988021373748779,7.009979524787762,6.724529843414613,6.856275608581696,1736000,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985
2010-01-28,6.927639007568359,7.070363868417176,6.784914146719542,7.048406237787451,1937100,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985
2010-01-29,6.658658981323242,7.070365015031108,6.620233252367455,6.949597765226971,2698400,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985
2010-02-01,7.0813422203063965,7.086831758685293,6.812361121874794,6.817850660253691,2781600,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985
