Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,CI,CI,CI,CI,CI,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,33.59772491455078,33.63467679235355,32.49843297935605,32.581572942449775,3227300,CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982
2010-01-05,34.16123580932617,34.64159974871274,33.246699549358574,33.643919984465455,4564300,CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982
2010-01-06,34.087318420410156,34.69701012842758,33.754758666232654,34.12426676337789,2611900,CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982
2010-01-07,35.343650817871094,35.472982354328394,33.25591963571135,33.412959786952,4950900,CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982
2010-01-08,35.075767517089844,35.436039507696385,34.65082797983026,35.436039507696385,2717900,CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982
2010-01-11,34.52150344848633,35.33442720486599,34.29979921197162,35.14967132515353,2409800,CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982
2010-01-12,33.7547607421875,34.52149264576361,33.385249098392904,34.40140435686593,4353800,CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982
2010-01-13,33.671627044677734,34.225891089262404,32.91413120591375,33.88409504589935,5431700,CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982
2010-01-14,33.967220306396484,34.10578449561956,33.13582107536474,33.55152069088061,3356200,CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982
2010-01-15,34.03190231323242,34.179706307659885,33.089650527285364,33.92105019839312,4148100,CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982
2010-01-19,35.029571533203125,35.91639884998541,34.18893581882084,34.327503578171836,7779800,CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982
2010-01-20,35.288230895996094,36.267430839707565,35.038811045072094,35.56536288904793,6612300,CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982
2010-01-21,34.22589111328125,35.89792650310067,34.13351494709393,35.38985054122069,4185900,CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982
2010-01-22,33.921043395996094,35.17737885865143,33.74552376511295,34.142747581214984,4325200,CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982
2010-01-25,33.57924270629883,34.37369031110739,33.53305462963134,34.37369031110739,3221000,CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982
2010-01-26,31.740938186645508,32.720138314342336,31.389902383396098,32.073498050363355,8537300,CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982
2010-01-27,31.953397750854492,32.31366966658314,31.177426115468098,31.602362040485257,4046400,CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982
2010-01-28,31.861019134521484,32.64622691446758,31.851779405953305,32.14738728950412,3673700,CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982
2010-01-29,31.19590950012207,31.999593467441663,31.140481682956043,31.89797756459981,2617100,CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982
2010-02-01,31.214380264282227,31.814832326371796,30.59544874227589,31.122000584320737,4718200,CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982
2010-02-02,32.55386734008789,32.66471947185484,31.075823646183732,31.25134333906761,4455400,CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982
2010-02-03,32.110450744628906,32.51691442139898,31.408382567183835,32.35063446707043,4012700,CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982
