Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,CVX,CVX,CVX,CVX,CVX,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,43.12246322631836,43.19882445473033,42.631570804062775,42.65338473100204,10173800,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-01-05,43.42791748046875,43.42791748046875,42.937020838294956,43.20974073268314,10593700,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-01-06,43.433372497558594,43.63518673429998,43.193381800255416,43.3297417588001,11014600,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-01-07,43.269744873046875,43.47155495694264,43.073386191532826,43.286107402943735,9626900,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-01-08,43.34611892700195,43.34611892700195,43.029762717607234,43.15521575284207,5624300,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-01-11,44.115177154541016,44.22971903298317,43.66791660765331,43.72791532893865,11916800,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-01-12,43.85881423950195,43.88062816845906,43.34609952013001,43.37336901201402,12175200,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-01-13,43.52608871459961,43.8588072567894,43.13882287457576,43.78244187209664,10842200,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-01-14,43.38975143432617,43.52611142731729,43.17157461326502,43.433383469437004,6721000,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-01-15,43.2151985168457,43.46610033321314,42.69702819405106,43.38428352841656,13482300,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-01-19,43.46065139770508,43.498832024249374,42.85521277580543,43.067934003891665,8722200,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-01-20,42.62611770629883,43.05156004958615,42.35339782866591,42.931562637607655,8703800,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-01-21,41.58433151245117,42.64248611526943,41.4861521765054,42.626123586174415,12573200,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-01-22,40.684356689453125,41.775236396837855,40.59708847677778,41.44252191455128,13825000,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-01-25,40.66255187988281,41.0552651670901,40.411645828883294,40.989815033243936,9129700,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-01-26,40.44437789916992,40.84254677930224,40.198927395868935,40.406197264617816,10558200,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-01-27,40.19891357421875,40.558905857399374,39.888013039369866,40.32982212885296,13373200,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-01-28,39.948020935058594,40.46073582178143,39.44621717775096,40.34619393118142,12828800,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-01-29,39.337120056152344,40.40072600652468,39.13530583112317,40.10618801379647,15265600,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-02-01,40.133453369140625,40.220721555582806,39.34801888428804,39.65346377889756,11828500,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-02-02,40.60799026489258,40.67890010011136,39.81710424243543,40.22072851751612,12947600,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-02-03,39.9316520690918,40.55890874693078,39.84438385449406,40.46072940464837,14540300,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-02-04,38.92803955078125,39.72438114973373,38.75895038510186,39.57711007515412,15248400,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-02-05,38.82440185546875,38.85712690906813,37.93533655455995,38.726222533295534,17307000,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-02-08,38.25168991088867,38.971670247212195,38.25168991088867,38.85712839386246,11595600,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-02-09,38.89531326293945,39.288030609563066,38.62804890924449,38.66622953120092,13051900,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-02-10,38.58987045288086,38.851683419114295,38.18079055408707,38.737137385441216,11618700,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-02-11,39.124393463134766,39.3316590613762,38.349865887864404,38.573498173476764,11273800,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-02-12,39.10236740112305,39.26205930373498,38.63981082093634,38.84355653141413,13809100,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-02-16,40.19268035888672,40.3743992039562,39.60898198512767,39.64202024743003,14230800,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-02-17,40.11008071899414,40.43497237113751,39.90083138794135,40.31933425125019,8728000,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-02-18,40.53960418701172,40.59466936507384,39.83475562372371,40.027490048746806,9848000,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-02-19,40.77638626098633,40.95810091967953,40.313829544994846,40.44048322949358,13113200,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-02-22,40.17615509033203,40.86998790111284,40.08254389397344,40.842453219264975,8683400,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-02-23,39.669559478759766,40.159646698013375,39.52087887895705,39.97792783212283,11907600,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-02-24,39.83474349975586,39.89531643754955,39.432764041164084,39.71360182537098,8921000,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-02-25,39.70809555053711,39.752149361726254,38.975716694027604,39.201489325469964,11761100,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-02-26,39.81272888183594,40.027485995373524,39.548410172218624,39.75215593174037,8978800,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-03-01,40.09355926513672,40.297305008108516,39.86228303875989,39.994440282231935,7428100,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-03-02,40.37440490722656,40.69929660350575,40.20370159294655,40.29731281682889,9257200,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-03-03,40.269771575927734,40.66624751987765,40.23122553699944,40.54510162575927,8194200,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-03-04,40.24222946166992,40.47350562840089,40.03848377124392,40.23672168592816,9419900,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-03-05,40.91404342651367,41.00765462679601,40.47902148253939,40.501048388700426,8750200,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-03-08,41.10125732421875,41.23341453264207,40.83143513167058,41.01865749350346,6474000,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-03-09,40.91404342651367,41.249946393364674,40.74884373090727,40.91404342651368,8480100,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-03-10,40.72682189941406,40.93056765588885,40.335853719046206,40.825940888887835,14652900,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-03-11,40.74333190917969,40.79839706851418,40.50104436786744,40.787385717128224,7024700,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-03-12,40.59466552734375,40.88100694691896,40.47902740398433,40.84246090579915,7681900,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-03-15,40.51206970214844,40.54510796891194,40.11559369617111,40.479031435384925,8807600,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-03-16,40.73783874511719,40.81493082812773,40.423962635373286,40.69378492591018,9828300,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-03-17,41.117794036865234,41.33255116785894,40.83696037399883,40.84797172890971,10292000,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-03-18,41.16736602783203,41.33806937986121,40.881020313429474,41.21692343924511,9916100,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-03-19,41.28849411010742,41.38761309126683,40.68827244608578,41.28849411010742,16610700,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-03-22,41.002166748046875,41.23344307317057,40.748863506072624,40.84247475178391,9317900,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-03-23,41.1728515625,41.18386711656752,40.76536428726317,40.985629155381396,8006700,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-03-24,40.71030044555664,41.02417652745008,40.62770059217351,40.89752285876888,8997600,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-03-25,40.63871765136719,41.09025877188446,40.57814470339021,40.9691128759305,10510300,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-03-26,40.985633850097656,41.23342922936266,40.64973083301186,40.74884982495854,10411500,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-03-29,41.42617416381836,41.54181231694101,41.01868253715247,41.08476328231019,8818000,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-03-30,41.46470642089844,41.574836758320046,41.27747980583802,41.44818308920243,6378100,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-03-31,41.75655746459961,41.927260755602354,41.343562378983975,41.55831948740784,9875500,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-04-01,42.23012161254883,42.4724091836614,42.03738722936906,42.07042968999572,7859300,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-04-05,42.7642707824707,42.81382818115085,42.252156656757336,42.3843139211081,8108600,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-04-06,42.885406494140625,42.951487217677865,42.510957463169156,42.714703209839975,6490000,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-04-07,42.60457229614258,42.85787543114137,42.37879964467665,42.7697678009489,9431400,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-04-08,42.7642707824707,42.95149322353397,42.19708727884114,42.362287010182364,6880500,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-04-09,43.77747344970703,43.843554167347115,42.95148338461822,42.97351029049825,9804100,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-04-12,44.28960037231445,44.493346160211985,43.70590190050523,43.77748621458623,10000000,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-04-13,44.16843795776367,44.36667589324008,43.65081621499724,44.28407605325784,7978500,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-04-14,44.37218475341797,44.38870388157744,44.06932006648598,44.30610403957758,7290400,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-04-15,44.928340911865234,45.02195629129453,44.333631390442065,44.388696542269905,9702500,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-04-16,44.46579360961914,45.099053430058504,44.2069827455194,44.85676169324985,12861900,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-04-19,44.77967071533203,44.8787896826793,44.08033436880582,44.190464687546175,9335900,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-04-20,45.18165588378906,45.35235914395058,44.9668988141657,45.05500223188689,11470000,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-04-21,45.110084533691406,45.52307970161725,44.735635413390476,45.31933810754446,9416400,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-04-22,44.71360397338867,44.851269015426446,44.40523562360922,44.66404657483283,9421100,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-04-23,45.523067474365234,45.57813264172432,44.5759314714583,44.62549306292355,9918100,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-04-26,45.4790153503418,45.781880083877965,45.34135032622593,45.44046931163748,9792600,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-04-27,44.17945098876953,45.434955040991355,44.09134337749677,45.19817108719849,13042800,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-04-28,44.39421844482422,44.559413952875815,43.970207818298555,44.39421844482422,12115700,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-04-29,45.313812255859375,45.69927257837027,44.70808709139836,44.70808709139836,12274500,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-04-30,44.845741271972656,45.776353597837726,44.76314145102096,45.35785512043153,13910300,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-05-03,45.611175537109375,45.93055939251527,44.785185415254595,45.132099754000514,11650700,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-05-04,44.4713020324707,45.28627646616539,43.849053554109446,45.15962702095718,16274300,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-05-05,44.15743637084961,44.45479333981868,43.74994485714941,43.88210631082676,13028600,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-05-06,42.51095199584961,44.16843983754585,39.3721915525601,43.72791434089608,21059200,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-05-07,42.45589065551758,43.287388539488575,42.07593806315175,42.52197137650435,21866100,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-05-10,43.992244720458984,44.361186060247256,43.243346483787924,43.705903254063145,14661800,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-05-11,43.88759994506836,44.46579462061614,43.771961850199276,43.85456168973501,12018600,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-05-12,44.08584213256836,44.30610699217915,43.70038177915155,43.926150214380606,9257800,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-05-13,43.458099365234375,44.08585161942972,43.364488145146424,43.942683000896515,10839600,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-05-14,42.857872009277344,43.22130545179638,42.389811814559124,43.18275941696554,13602800,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-05-17,43.202491760253906,43.32476463952003,42.21316062834125,43.01351687332846,14694000,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-05-18,42.71337890625,43.72493828318954,42.45771051871939,43.52484924243821,15321500,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-05-19,42.574405670166016,42.796727178921756,41.98525727632887,42.43545525724744,10773200,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-05-20,40.90700912475586,41.907453999611874,40.86810317075762,41.70736502464067,17879100,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-05-21,41.3961181640625,41.49060344832879,40.017727893067196,40.2122576666834,15919100,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-05-24,40.81808090209961,41.34053165112921,40.745823962449556,41.251605578277015,10540700,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-05-25,40.334529876708984,40.401227608383984,39.35076271697827,39.87321344025892,22304600,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-05-26,39.76762008666992,40.85143188960954,39.70648155004962,40.67913469027842,16888700,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-05-27,41.329429626464844,41.329429626464844,40.18447906931359,40.64579142362135,15252900,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-05-28,41.057064056396484,41.351638214002165,40.595747729369336,41.12931673491671,14445500,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-06-01,40.178897857666016,41.418333041302574,40.178897857666016,40.88476401833975,13966400,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-06-02,41.20158767700195,41.20158767700195,40.08442906413185,40.38456255787395,15674100,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-06-03,41.07931900024414,41.5461905441964,40.65134917785608,41.49617041038658,14278800,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
2010-06-04,39.617549896240234,40.41234660516491,39.350767418526665,40.10109896768874,18133300,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
