Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,KEY,KEY,KEY,KEY,KEY,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,3.6916568279266357,3.7103013932451923,3.5114244493138056,3.51763920563665,14901600,KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,91576,1825
2010-01-05,3.8346002101898193,3.847030020581437,3.6543678113363316,3.6543678113363316,16660800,KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,91576,1825
2010-01-06,3.8097405433654785,3.853244731035361,3.766236059345544,3.8346001638482834,11785800,KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,91576,1825
2010-01-07,3.971327781677246,4.02726207178609,3.753805970426229,3.772450832579187,25554700,KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,91576,1825
2010-01-08,4.039692401885986,4.07698183464908,3.9402539145177373,3.9464686718032187,16513200,KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,91576,1825
2010-01-11,4.0583391189575195,4.101843328864513,3.971330106443125,4.039694245890091,14836600,KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,91576,1825
2010-01-12,3.9837582111358643,4.070767186260728,3.9526838311770494,4.014832887444755,20207300,KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,91576,1825
2010-01-13,4.033478260040283,4.120487252506428,3.909180122731698,4.002403873888205,16226500,KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,91576,1825
2010-01-14,4.257214069366455,4.282073690205233,4.002402807593954,4.002402807593954,24101200,KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,91576,1825
2010-01-15,4.2758588790893555,4.313148309875884,4.045907241064069,4.219924584734536,29510700,KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,91576,1825
2010-01-19,4.201279640197754,4.269643442324917,4.157775160012265,4.2385690676353045,17897800,KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,91576,1825
2010-01-20,4.325577735900879,4.344222301462937,4.151560111338188,4.151560111338188,20676700,KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,91576,1825
