Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,KHC,KHC,KHC,KHC,KHC,,,,,,,,
Date,,,,,,,,,,,,,
2015-07-06,48.08827590942383,48.964886323546054,46.796431365302965,46.796431365302965,3809700,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2015-07-07,49.18899917602539,49.24172877734732,48.08829514843074,48.5958087611541,5794300,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2015-07-08,49.69649887084961,49.76240833975777,48.80011601370213,48.97148465571948,4276600,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2015-07-09,49.30104064941406,50.794571349692674,49.10330719959821,50.401744449581685,4267100,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2015-07-10,50.955387115478516,51.278352066731586,49.43285673711777,49.4658139863706,4983000,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2015-07-13,51.95722961425781,52.53064753912189,51.35085443985363,52.398828598101936,9078900,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2015-07-14,51.410186767578125,52.39884420541616,51.17950103779693,52.365886946059526,18746100,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2015-07-15,50.559913635253906,51.52220575491878,50.35559281688993,51.179473572962834,6330500,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2015-07-16,51.90451431274414,51.963831343958596,50.71812340273847,50.73130831761167,5634100,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2015-07-17,52.4845085144043,52.5240582181404,50.922433502505626,52.352689578137515,6100900,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2015-07-20,52.80088806152344,53.51930990880771,52.15496311888049,52.69542887555284,10284500,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2015-07-21,52.87339401245117,53.17658165229893,52.33292821471018,52.70861779327927,6088600,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2015-07-22,51.832008361816406,53.321586827380834,51.792463677395546,53.27544968603275,5201200,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2015-07-23,50.93593978881836,52.15059792896455,50.86956610627217,52.051034873151565,2975400,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2015-07-24,50.716915130615234,51.39393490159535,50.411587027636955,51.055422484111205,3116000,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2015-07-27,51.36073684692383,51.758989065624355,50.63725510666003,50.862926637535494,5774300,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2015-07-28,51.98466873168945,52.20370647345495,51.4403963534767,52.064320200691846,1895900,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2015-07-29,51.712528228759766,51.97138913876383,51.108516062758646,51.94483865261118,2278600,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2015-07-30,52.57540512084961,52.894005944506205,51.50677192665176,51.91165804688763,3247000,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2015-07-31,52.747982025146484,53.05994396752263,52.34641280775011,53.05994396752263,2685500,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2015-08-03,53.34535598754883,53.78342643811928,53.0400329307298,53.0997677387214,2681800,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
