Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,LDOS,LDOS,LDOS,LDOS,LDOS,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,23.97115135192871,24.046413707558607,23.69518873530131,23.858257818483864,1417703,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-01-05,23.870790481567383,24.058946278349996,23.64500158747586,23.93350843451079,1595174,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-01-06,23.933517456054688,24.19693760879681,23.83316830592896,24.121673323761122,1120149,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-01-07,23.946067810058594,23.958612183691244,23.770454331015895,23.895892253481595,820652,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-01-08,23.908430099487305,23.94606127215736,23.782992211269427,23.84571018640183,886019,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-01-11,23.845712661743164,23.920975014896,23.782994680100224,23.808081485166745,720860,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-01-12,23.870790481567383,23.93350843451079,23.73280827195854,23.7829837970847,923441,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-01-13,23.770442962646484,23.895880825120706,23.519567237698034,23.895880825120706,1891796,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-01-14,23.833162307739258,23.908424635880255,23.682635713504645,23.78298677632772,1793988,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-01-15,23.707727432250977,23.946058814013494,23.682638694411,23.83316530759223,2319233,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-01-19,23.97115135192871,23.971151351928707,23.619926379671412,23.70773310722407,873788,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-01-20,23.695188522338867,23.89588878153256,23.645012973052115,23.870801975865838,975200,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-01-21,23.45684814453125,23.92096646915232,23.406672614370102,23.670092694251714,1136957,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-01-22,23.09307861328125,23.64500362333311,23.04290308383493,23.4568478103501,1122336,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-01-25,23.356504440307617,23.41922435725075,23.105628648441453,23.29378646131767,842481,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-01-26,23.017812728881836,23.406668661569423,22.87983052872855,23.3063176181939,1029591,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-01-27,22.917476654052734,23.005283389869213,22.817127483086416,22.930021027156094,1303371,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-01-28,22.942556381225586,23.118167845869745,22.77948540884791,22.930012013053588,1115127,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-01-29,22.99274253845215,23.20598722410331,22.867304602066394,22.99274253845215,1397655,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-02-01,23.331417083740234,23.35650388715144,22.716771989610834,22.892385427348703,1422239,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-02-02,23.381587982177734,23.381587982177734,23.067992343112415,23.318868079183567,1729310,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-02-03,23.243600845336914,23.444301004288224,23.205969686655564,23.293776369562828,1419120,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-02-04,23.180885314941406,23.35649676114756,23.055447460249844,23.055447460249844,2172785,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-02-05,23.431766510009766,23.431766510009766,23.042908488043363,23.16834637210159,2509016,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-02-08,23.017812728881836,23.419213026479426,23.005268363971833,23.39412429665942,1053284,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-02-09,23.21851921081543,23.293781544899666,22.904923568194064,23.293781544899666,1025501,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-02-10,23.281240463256836,23.2937848333594,23.055453429129027,23.130715773838297,1292234,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-02-11,23.406675338745117,23.419219707233626,23.030361725665045,23.318868635231155,953249,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-02-12,23.51957130432129,23.544660043925674,23.13071521998337,23.28123990579766,1064867,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-02-16,23.833162307739258,23.95860016729179,23.481935525811117,23.582286588634194,1296891,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-02-17,24.046405792236328,24.05895016002988,23.79553006408154,23.895881130524533,1054823,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-02-18,23.908430099487305,24.134217135507637,23.88334135907189,24.021323617497472,1012500,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-02-19,23.97115135192871,24.00878252974366,23.607382007748654,23.820626640668916,1393241,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-02-22,23.845712661743164,24.084044092711572,23.782994680100224,23.971150562982317,597497,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-02-23,23.92096710205078,23.933511469411112,23.732811281408978,23.770442445537338,1216134,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-02-24,24.43526840209961,24.43526840209961,23.920972480130047,24.0338679358497,1678320,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-02-25,24.322376251220703,24.372551800807887,23.908433296498067,24.171851540412472,1235331,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
2010-02-26,24.71122932434082,24.77394729513476,24.385091225125286,24.397635594465246,6597977,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
