Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,MSI,MSI,MSI,MSI,MSI,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,25.394649505615234,25.553963933865067,25.076022152478988,25.107885940147007,7511713,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-01-05,25.044170379638672,26.318681830481204,24.59809069532996,25.330935568830544,18863970,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-01-06,25.394649505615234,25.6176915092011,25.107885940147007,25.490239365255867,12137069,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-01-07,25.904457092285156,26.095633819729734,25.394651483523923,25.522103637396,13517526,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-01-08,24.72553825378418,25.872598795341133,24.6299498753211,25.777011920241822,18596092,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-01-11,24.470640182495117,25.107896664318208,24.438777884581384,25.107896664318208,10368856,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-01-12,23.578481674194336,24.375052681602224,23.3873048729547,24.34319038251699,10715498,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-01-13,24.21573257446289,24.37504703974229,23.610340011783205,23.610340011783205,8125690,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-01-14,24.566221237182617,24.916712422934186,24.0564171061142,24.08827939450485,11342560,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-01-15,24.152009963989258,24.62995189550616,23.992695485695663,24.53436350920278,9741126,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-01-19,24.34318733215332,24.502500310980626,23.737793201844987,24.15201055486941,6744168,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-01-20,23.833377838134766,24.088280668835786,23.546612717357505,24.088280668835786,7053531,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-01-21,23.48288345336914,24.15200348125557,23.32357052120124,23.992689045724184,9960989,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-01-22,22.973079681396484,23.705924290917626,22.813765243666623,23.259844767292126,10517477,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-01-25,22.87749671936035,23.70592988638735,22.845634425639112,23.419164732804603,8891948,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-01-26,22.909353256225586,23.291706698254906,22.75003882092554,22.9730793310183,7430006,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-01-27,23.578481674194336,23.705933877263504,22.84563827168515,22.941226672304968,11567644,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-01-28,20.647098541259766,21.730434487509406,20.169156654197792,21.188766514384586,32895708,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-01-29,19.595623016357422,20.519644340062516,19.24513185839408,20.487780550834536,25815609,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-02-01,20.16915512084961,20.23287969870408,19.627487188904773,19.8505262181227,16983723,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-02-02,20.870140075683594,21.02945455815316,19.946118482742406,20.296609742829876,15761732,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-02-03,21.316219329833984,21.730436675911353,20.710826713042938,20.838277394640027,18683389,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-02-04,20.137292861938477,21.02945205347205,20.041704484514433,20.99758976211862,17730142,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-02-05,20.392196655273438,20.710825597144293,20.169157598654895,20.678961800938914,15581274,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-02-08,20.93386459350586,21.34808041270909,20.742687830279166,21.09317906398271,11028448,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-02-09,20.838279724121094,21.411810110467975,20.678965226792272,21.18877101689888,8672183,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-02-10,21.125041961669922,21.316218730371162,20.806414514955815,20.87013910228032,8172863,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-02-11,21.188772201538086,21.252496801341128,20.933869292233464,21.029457695302177,7431268,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
2010-02-12,22.781904220581055,23.227983768938895,21.507391654805396,21.698568389335385,22203612,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011)
