Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,MTB,MTB,MTB,MTB,MTB,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,43.3650016784668,43.779172305560635,42.91847196535177,43.76622669623083,721000,MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,36270,1856
2010-01-05,44.14157485961914,44.25806066891861,43.164388622568225,43.22910680119314,779200,MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,36270,1856
2010-01-06,45.61705017089844,45.88238083044593,44.10273986333437,44.28393888092636,1355100,MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,36270,1856
2010-01-07,47.31905746459961,47.67498284778474,45.3840979947422,45.675315058044625,1827000,MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,36270,1856
2010-01-08,47.785003662109375,48.11504774602208,46.87253523133476,46.956661985651166,1381700,MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,36270,1856
2010-01-11,47.33198928833008,48.00501789927317,47.2219762779568,47.84970512361065,550400,MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,36270,1856
2010-01-12,46.393646240234375,47.241401314013906,46.14126106655489,47.06020220853175,779500,MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,36270,1856
2010-01-13,47.64262390136719,47.98560857357839,45.87592302753578,46.432465870585695,1475700,MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,36270,1856
2010-01-14,48.75569534301758,48.975726278113804,47.54554248055094,47.63614200167774,942900,MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,36270,1856
2010-01-15,47.344932556152344,48.71687105831781,47.20256046163241,48.470958764249474,1404200,MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,36270,1856
2010-01-19,48.34153366088867,48.632750693366624,46.89193611663761,47.37729290012968,1286100,MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,36270,1856
2010-01-20,50.276485443115234,50.68418330313988,47.662030032679716,47.662030032679716,3381000,MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,36270,1856
2010-01-21,50.858909606933594,51.97199512269637,50.34767154863454,50.34767154863454,2716300,MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,36270,1856
2010-01-22,48.917503356933594,50.86540382970587,48.71041793684958,50.716563806964224,1646200,MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,36270,1856
2010-01-25,48.53569030761719,49.72643020659064,47.74617562197769,49.42227736133306,1181900,MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,36270,1856
2010-01-26,47.71378707885742,48.87216704140348,47.416097381299046,48.1861980259132,1468300,MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,36270,1856
