Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,PEG,PEG,PEG,PEG,PEG,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,18.90045166015625,18.906070833121433,18.484562111893442,18.625065018969437,5130400,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-01-05,18.883588790893555,18.967891387957227,18.78804784853189,18.911691085850848,6568700,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-01-06,18.782426834106445,18.962272520328824,18.64192393267631,18.9004509006749,2972700,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-01-07,18.529510498046875,18.765554179954467,18.47892940279487,18.709353915853416,1923800,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-01-08,18.478944778442383,18.552004753783727,18.332820539950827,18.42836364110368,1764000,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-01-11,18.56886100769043,18.574480179534127,18.327195884239384,18.462077447526045,3397600,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-01-12,18.450836181640625,18.630679666808867,18.181068809984808,18.254130895804234,4012200,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-01-13,18.574474334716797,18.69249620143071,18.321568803256177,18.478933436111184,2749100,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-01-14,18.445213317871094,18.535135052904156,18.349672412356146,18.49017525733926,2590000,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-01-15,18.33281135559082,18.48455469158665,18.079905795597774,18.36091149694486,3169700,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-01-19,18.501420974731445,18.51266146408002,18.220415172729542,18.299098598169543,2185300,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-01-20,18.113630294799805,18.38339555614733,17.900066397554312,18.38339555614733,3719400,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-01-21,17.843860626220703,18.321569423219668,17.714598271078668,18.124866305373786,3204500,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-01-22,17.557239532470703,17.877585923276897,17.523519141846865,17.804524898266596,3298800,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-01-25,17.66963768005371,17.77079989763414,17.495413384464477,17.57971594708258,2074900,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-01-26,17.585336685180664,17.708978803513983,17.433593354531833,17.652777450834602,2382500,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-01-27,17.343679428100586,17.540382643117518,17.07953327315992,17.540382643117518,2649300,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-01-28,17.180688858032227,17.383013311316375,17.04018600368528,17.37177282570021,2994500,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-01-29,17.191930770874023,17.41111489882676,17.146969896628544,17.32681339361046,3138100,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-02-01,17.214414596557617,17.321197099216796,17.11887258301036,17.27061597016519,2192100,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-02-02,17.360538482666016,17.394259951445992,17.08515291934208,17.22565582340238,2553900,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-02-03,17.16944694519043,17.349291484244215,17.10762642334382,17.253749508352236,1914100,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-02-04,16.658021926879883,17.085150831665516,16.635542022392194,17.04018995073818,2337500,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-02-05,16.590579986572266,16.714222132527542,16.303953988630962,16.64116110808849,3041800,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-02-08,16.56809425354004,16.877201137584276,16.50627373429245,16.57371449564465,2157200,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-02-09,16.798524856567383,16.989608868983336,16.635542064772576,16.714223338607866,3132400,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-02-10,16.82100486755371,16.8884456492695,16.51751813397696,16.77604398909255,3503200,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-02-11,17.158218383789062,17.20317927899911,16.624306815211487,16.804150396051675,5261500,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-02-12,16.955886840820312,17.057049081395576,16.804143479957425,17.017708448272273,4165100,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-02-16,17.287479400634766,17.332440292144195,17.090775098298934,17.09639534373164,3017500,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-02-17,17.276233673095703,17.48979864699505,17.16945118614603,17.37739591631625,2219700,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-02-18,17.33805274963379,17.461694877758834,17.15820926437855,17.231270278281592,3440400,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
2010-02-19,17.523521423339844,17.534761912328552,17.130112884351227,17.25375611932298,2822900,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
