Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,PFG,PFG,PFG,PFG,PFG,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,15.145194053649902,15.16336870248946,14.599967298815827,14.606025515095679,3470900,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,1879
2010-01-05,15.502625465393066,15.526857182434266,14.969513824643167,15.090675876310042,3689900,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,1879
2010-01-06,15.399635314941406,15.44204167879722,15.011918667703382,15.411751749039283,2179300,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,1879
2010-01-07,15.532914161682129,15.532914161682129,15.096732890347132,15.393578622219307,2642100,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,1879
2010-01-08,15.551087379455566,15.60561017777652,15.320880907479024,15.429925348634168,3806100,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,1879
2010-01-11,15.623778343200684,15.82369480222463,15.484441718952379,15.599545484901403,1318400,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,1879
2010-01-12,15.357231140136719,16.344697550134075,15.27241724484879,16.10843282898159,3634200,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,1879
2010-01-13,15.466282844543457,15.587443784063943,15.242133315425129,15.472341064842588,1946200,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,1879
2010-01-14,15.538970947265625,15.648016543921491,15.193660661513217,15.466274653152887,1713600,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,1879
2010-01-15,15.302714347839355,15.678314762116077,15.248191520688321,15.429933507533525,2082000,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,1879
2010-01-19,15.617728233337402,15.726772685813186,15.163372303817559,15.242126823186771,2072700,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,1879
2010-01-20,15.248183250427246,15.435983355707185,15.005860347568175,15.435983355707185,2338800,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,1879
2010-01-21,14.424286842346191,15.375405130817105,14.387938689194048,15.242127798934613,5080800,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,1879
2010-01-22,14.139556884765625,14.75142302000717,14.048685928251652,14.393996256296893,5751600,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,1879
2010-01-25,14.393998146057129,14.587856520201406,14.188023334657073,14.39399814605713,2916500,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,1879
2010-01-26,14.151677131652832,14.527277494527597,14.103212531427467,14.266779835008562,2806000,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,1879
2010-01-27,14.54544448852539,14.55150270479722,14.018391227742091,14.151669674749177,3707900,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,1879
2010-01-28,14.036572456359863,14.69690331820121,13.969933201618415,14.69690331820121,4017900,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,1879
2010-01-29,13.963868141174316,14.33341123752677,13.92146178365582,14.163784651966209,3480200,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,1879
2010-02-01,14.13349723815918,14.351588436135112,13.994161708557575,14.078974438665199,1882800,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,1879
