Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,PG,PG,PG,PG,PG,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,39.19303512573242,39.314873680872275,38.878825311893,39.18662372890819,9190800,PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837
2010-01-05,39.20585632324219,39.2956305465116,38.85958222249091,39.19944492707899,8649400,PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837
2010-01-06,39.0198860168457,39.09042359096786,38.79545050478759,39.07759835511259,9908400,PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837
2010-01-07,38.808265686035156,38.923690332664236,38.6287173229068,38.84674138363251,8972800,PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837
2010-01-08,38.756980895996094,38.814693243344564,38.51330871489279,38.70568239066635,8464600,PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837
2010-01-11,38.60308837890625,38.647975494712725,37.840002517867525,38.52613938697578,14774600,PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837
2010-01-12,39.0455436706543,39.3469306532816,38.795457640884436,38.923707576863976,13460700,PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837
2010-01-13,39.44951248168945,39.62264945095723,39.058351452547015,39.141714240601054,16968100,PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837
2010-01-14,39.488006591796875,39.59060605333359,39.359756653334955,39.385404684096045,9139500,PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837
2010-01-15,39.00065994262695,39.66755771063129,38.756985287747625,39.500832045548066,15768300,PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837
2010-01-19,39.57777404785156,39.64831162425329,38.987825410261976,38.987825410261976,11577700,PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837
2010-01-20,39.04171371459961,39.422766101004676,38.81566426899102,39.377556704628425,11557800,PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837
2010-01-21,38.647743225097656,39.35172126495587,38.39586160359626,39.11275696554779,14298400,PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837
2010-01-22,38.95128631591797,39.196707995243294,38.24730841737579,38.58960876108996,17703200,PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837
2010-01-25,39.157962799072266,39.384009755825055,38.847954488213986,39.28713354452831,11630800,PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837
2010-01-26,39.196720123291016,39.3646428650259,38.75108354941466,38.86087710354878,13079000,PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837
2010-01-27,39.27421951293945,39.384013054350035,38.71878698556832,39.048170073527324,15228400,PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837
2010-01-28,39.83613204956055,40.88887098388437,39.771547866679015,39.829672153035204,26930000,PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837
2010-01-29,39.75214385986328,40.1977827981969,39.70047704111166,39.984650703563084,17067100,PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837
2010-02-01,40.03632736206055,40.19779020396255,39.72631653752855,39.945906101064374,12908100,PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837
2010-02-02,40.624053955078125,40.71447275668048,39.82319713682038,39.99757731007959,17680700,PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837
2010-02-03,40.46259689331055,40.59822511511469,40.27529936964127,40.52072362604488,11083500,PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837
2010-02-04,39.65529251098633,40.26239217834316,39.59716576362131,40.17197334104837,14306600,PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424,1837
