Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,PGR,PGR,PGR,PGR,PGR,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,11.05738353729248,11.094179825794514,10.959259321465115,11.032851898469179,4619400,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937
2010-01-05,11.020585060119629,11.081912981774725,10.904063295681041,11.057382514952375,6113800,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937
2010-01-06,10.91019344329834,11.063512623762458,10.867263090193072,11.032848085830125,3576300,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937
2010-01-07,10.763008117675781,10.793672661639558,10.621954724640654,10.69554846042097,4731300,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937
2010-01-08,10.86113166809082,10.885663301791894,10.689414911114001,10.738477008783475,3623600,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937
2010-01-11,10.585161209106445,10.873400979329723,10.554496657125425,10.842737597081756,6228800,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937
2010-01-12,10.609691619873047,10.68328537447073,10.542231945369306,10.542231945369306,4951600,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937
2010-01-13,10.867264747619629,10.93472557162707,10.609688438366222,10.640352980975376,5012300,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937
2010-01-14,10.885662078857422,10.946989986487635,10.775272079069548,10.87339626338487,2544900,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937
2010-01-15,10.689414978027344,10.842734180420775,10.609688337732456,10.781406265516866,3871500,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937
2010-01-19,10.86113166809082,10.897929118642432,10.652618630295066,10.652618630295066,4733600,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937
2010-01-20,10.793676376342773,10.977659024513084,10.689419230450758,10.787543465439343,5846500,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937
2010-01-21,10.652620315551758,10.855001646671877,10.548363195293947,10.79980663184522,5597100,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937
2010-01-22,10.358246803283691,10.695549811084293,10.327583425180407,10.658752353680878,4900500,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937
2010-01-25,10.445551872253418,10.662263611125363,10.31552364793985,10.532236567802196,4305400,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937
2010-01-26,10.40220832824707,10.612729315120273,10.389825643894248,10.420784126261907,3242200,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937
2010-01-27,10.501274108886719,10.513657970951417,10.321712832908936,10.352671307080596,4306300,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937
2010-01-28,10.371248245239258,10.569385336189871,10.315522040785622,10.501275268304266,4087800,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937
2010-01-29,10.26598834991455,10.457933520028453,10.253604485780677,10.383632697205782,5639400,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937
2010-02-01,10.371248245239258,10.377440176955242,10.253603904616,10.290755494911904,4211100,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937
2010-02-02,10.482701301574707,10.495085165771522,10.327906542085394,10.38363274998077,3645200,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937
2010-02-03,10.383631706237793,10.557001063605277,10.340289366895922,10.426974045579664,3176100,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937
2010-02-04,10.061659812927246,10.3712493456327,10.049275948181347,10.321715067639442,4847200,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937
