Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,PHM,PHM,PHM,PHM,PHM,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,8.789162635803223,8.80632936236617,8.57458346509384,8.600333554938262,6121300,PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416,1956
2010-01-05,8.90074634552002,8.917913076794205,8.583169183940786,8.78058168226512,7035400,PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416,1956
2010-01-06,8.90074634552002,9.003744277500733,8.746249038271548,8.874997067163541,5368800,PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416,1956
2010-01-07,9.621731758117676,9.724729680144906,9.080992053558678,9.115324694234422,19444100,PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416,1956
2010-01-08,9.467235565185547,9.673232251716167,9.364237631197646,9.553067586119539,8828900,PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416,1956
2010-01-11,9.415736198425293,9.613148683634137,9.347070915000065,9.467234751716841,5883300,PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416,1956
2010-01-12,9.355652809143066,9.372819538079712,9.080991694594257,9.329903534292788,5851900,PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416,1956
2010-01-13,9.716146469116211,9.750479110335341,9.286988044599703,9.304154774486635,10455800,PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416,1956
2010-01-14,9.638895034790039,9.793392284882893,9.570229772205325,9.70756111592925,6357200,PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416,1956
2010-01-15,9.441486358642578,9.707564970732081,9.381404434661487,9.656065594066273,5089600,PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416,1956
2010-01-19,9.432899475097656,9.553064096803405,9.338484941399614,9.415733568313701,6264600,PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416,1956
2010-01-20,9.355652809143066,9.450068181185237,9.226905616336984,9.364236173611388,6675900,PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416,1956
2010-01-21,9.029491424560547,9.415733747945122,9.003741336061585,9.355651026668744,11734200,PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416,1956
2010-01-22,8.771998405456543,9.252655381381576,8.746248310687367,9.003743528496,8865600,PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416,1956
2010-01-25,8.780580520629883,8.92649444293744,8.608917323372372,8.866412528535983,9852400,PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416,1956
2010-01-26,8.883580207824707,8.960828040937846,8.703333626784488,8.737666269908587,7834100,PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416,1956
2010-01-27,8.866415023803711,8.900747672917422,8.626086480007737,8.849249108524317,11140800,PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416,1956
