Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,PNC,PNC,PNC,PNC,PNC,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,35.279178619384766,35.66816612492607,35.074797016240495,35.43081999047135,4890300,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-01-05,35.635215759277344,35.648402080049834,34.96272849008146,35.120961824317824,6379300,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-01-06,35.635215759277344,36.16265601500935,35.38468069466707,35.62202943850485,3013600,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-01-07,37.56694793701172,37.71858677341297,35.437407297935025,35.503336352011324,5700800,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-01-08,37.66585159301758,37.9229784765678,36.98677012757964,37.45487555959007,3770800,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-01-11,37.771339416503906,38.239442331086956,37.533990751354004,37.69881593381558,2840700,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-01-12,37.382362365722656,38.08121972566881,36.86810594204459,37.4746640913734,2778300,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-01-13,37.67296600341797,37.970176087072005,37.177616703820185,37.36915237100576,2945800,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-01-14,38.20133972167969,38.29380452511466,37.276686648376106,37.60031597987544,3064100,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-01-15,37.43519973754883,38.30701434522687,37.27008329640561,37.983385012016306,3955300,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-01-19,38.19471740722656,38.43908891331089,36.80113493290998,37.342716389354,3770800,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-01-20,38.82876968383789,38.927838003107745,37.844674921110325,38.11546569160968,6107900,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-01-21,36.787933349609375,38.34002645649443,36.33221048645261,38.06923566918115,9860900,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-01-22,35.414161682128906,37.40876792274464,35.209418976425944,37.10495437787978,7256500,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-01-25,35.67174530029297,36.26616533729985,35.05090855456733,35.90951331509572,3369800,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-01-26,34.780120849609375,36.20012299760763,34.74049200380134,35.579283677330956,4635100,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-01-27,35.902923583984375,36.10106283274273,34.63482785687191,34.66124709523362,4513800,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-01-28,35.75762176513672,36.32562281592021,35.136784754931014,36.2397615474471,4652600,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-01-29,36.60960006713867,37.57387901872911,36.45769331609161,36.569971233157624,8374700,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-02-01,36.893611907958984,37.131379946981845,36.332214589271345,36.86719267707277,5043100,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-02-02,36.09444046020508,37.15118424882575,35.53304327542615,36.91341626651712,9538100,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-02-03,35.47360610961914,36.06142007953815,35.44718688143764,35.77741967527764,74680900,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-02-04,33.70355224609375,35.433973597586345,33.68373908815651,35.38113515045261,20035300,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-02-05,34.20550537109375,34.271550906586775,33.32708513607757,34.15927299235349,12992600,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-02-08,33.518638610839844,34.476314503616386,33.42617380399523,34.11966237480686,6601800,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-02-09,33.72336196899414,34.39703693414401,33.3270812438896,34.00736227350268,9227900,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-02-10,33.868675231933594,34.36402443295981,33.62430366488069,33.80262967958729,5768000,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-02-11,33.94792938232422,34.14606853820255,33.51202223160146,33.88848738361312,4962000,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-02-12,34.02719497680664,34.086636993748414,33.41956519034888,33.95454334282483,7488900,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-02-16,34.63481521606445,34.674444059143525,33.862071672095034,34.172491310856934,6835200,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-02-17,34.24514389038086,34.872586779102846,33.94793635525475,34.872586779102846,6298200,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-02-18,34.25834274291992,34.48950716586297,33.9743423932454,33.994158070311016,3664900,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-02-19,34.14607620239258,34.436680194942674,33.88849498998826,34.11305342224681,5378500,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-02-22,35.11695861816406,35.407565126700284,34.58858658374811,34.5951926513839,6449300,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-02-23,34.714080810546875,35.262266074238035,34.403661101067286,35.0509172352876,6263700,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-02-24,35.51984786987305,35.54626710502435,34.535755295518,34.88580134310345,5567400,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-02-25,35.4273681640625,35.433974229810005,34.74048345592323,35.328299853132876,4679600,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-02-26,35.50663375854492,35.70477547762574,35.090542195219086,35.400959350790906,7781200,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-03-01,35.539669036865234,35.66515664397107,35.189620415818716,35.59250499583921,3469300,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-03-02,35.34151840209961,35.81705451103598,35.07733363450572,35.354728018400806,6209200,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-03-03,35.50003433227539,35.88970922851572,35.27547587478983,35.39435991225141,4097500,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-03-04,35.797245025634766,35.86329059445236,35.46040607402496,35.625522515545896,4973800,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-03-05,36.70206832885742,36.774719938350145,35.87648643821464,36.09444126669281,5536200,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-03-08,36.675655364990234,37.17761065110194,36.6558422024646,37.164401036259385,3620200,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-03-09,37.11156463623047,37.31630989843699,36.358634184758785,36.616215389791044,5344600,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-03-10,37.91073226928711,38.04282339398971,37.065334458225614,37.30970858177417,6290900,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-03-11,38.59762191772461,38.604227986883835,37.600319630241316,37.818272042429456,5273800,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-03-12,38.214542388916016,38.914634355866,38.089052304669146,38.81556602140826,3832100,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-03-15,37.84468460083008,38.029616712491766,37.21724167373248,37.92393978041267,4619100,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-03-16,38.71650314331055,38.71650314331055,37.864504205760525,37.93054977567147,4174600,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-03-17,39.60152816772461,39.69399297521762,38.696690740786806,38.86841073763425,6055100,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-03-18,39.099571228027344,39.61473368471408,38.59101231998774,39.568501285753825,4277000,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-03-19,39.370361328125,39.72040734776486,38.861802429709,39.370361328125,4548100,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-03-22,39.528873443603516,39.68738632942203,38.86180415625172,38.94105933942256,3035600,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-03-23,39.50246047973633,39.61473845659972,38.8353886095673,39.50246047973633,2574600,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
2010-03-24,39.54207229614258,39.997795144135985,39.20523596975612,39.37695590645828,3476900,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
