Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,PPG,PPG,PPG,PPG,PPG,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,22.815256118774414,22.830316038835825,22.20910941632944,22.325820206322803,2413400,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-01-05,22.83031463623047,23.018559316853995,22.73995799379922,22.73995799379922,2258600,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-01-06,23.187978744506836,23.34233931803321,22.74748546539463,22.74748546539463,3028800,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-01-07,23.293399810791016,23.30092977146874,22.92444035474133,23.09762514174958,2439600,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-01-08,23.248226165771484,23.33858427591174,23.067511381684408,23.23693194057649,2696400,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-01-11,23.22186851501465,23.34234501957506,23.07503786484372,23.29716668941321,1988800,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-01-12,22.901845932006836,23.08632489379002,22.649597341810544,22.969612688034392,2229400,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-01-13,23.142807006835938,23.161631192142632,22.74749193442895,23.033624721386516,1718400,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-01-14,23.639766693115234,23.974841985702167,23.504230296969308,23.647296652478108,4485400,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-01-15,23.361160278320312,23.70753117373541,23.214329684250256,23.620938808929807,3006000,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-01-19,24.181917190551758,24.19321141379418,23.349874464325787,23.421406938516437,3332800,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-01-20,23.76777458190918,24.140499694080845,23.44399349048981,24.038845954568313,4235200,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-01-21,22.250518798828125,23.519288873293696,22.212870440355495,23.063735693095122,10949000,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-01-22,22.559242248535156,22.94326157636339,22.178988618656206,22.325819242433155,5955000,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-01-25,22.9959716796875,23.127742386261552,22.79266707280783,22.871729496752263,3568400,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-01-26,22.578065872192383,23.07879594075934,22.532886117948227,22.849137216693137,2647600,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-01-27,22.404882431030273,22.52159465616791,21.983214726450992,22.52159465616791,3261600,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-01-28,22.216636657714844,22.52159355848618,21.753554914005516,22.52159355848618,2994400,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-01-29,22.092395782470703,22.64959986350198,22.077335863368873,22.348408662430064,4006800,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-02-01,22.408645629882812,22.416175589006045,22.163926985052836,22.314523295131725,2728800,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-02-02,22.566774368286133,22.777608951644925,22.17146078115736,22.382295364516153,2168400,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-02-03,22.29193115234375,22.721128725400646,22.15639477428521,22.434997488760285,2963600,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-02-04,21.734731674194336,22.194049176089898,21.66696347108866,22.09992683135346,2892800,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-02-05,21.964391708374023,22.02462995507694,21.44483593294071,21.700848840476368,4340000,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-02-08,21.715906143188477,22.156397999812807,21.614253844846036,21.971919019859904,3074000,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-02-09,22.27311134338379,22.412412009848598,21.813793846800436,21.97568439277021,3064400,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-02-10,22.4952335357666,22.611945724696973,21.971913688323678,22.25051493956157,3580800,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-02-11,22.67595100402832,22.739954933647535,22.22416354409102,22.431233813865475,2874600,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-02-12,22.724891662597656,22.867957981637904,22.242985875757917,22.378520801162196,2951400,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-02-16,23.123966217041016,23.123966217041016,22.785126795204285,22.962077180640836,1913000,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-02-17,23.47721290588379,23.53038869304516,23.196139025118864,23.27970180433332,2847600,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-02-18,23.591167449951172,23.648140901679103,23.340480495125313,23.458226498055513,1992200,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
2010-02-19,23.73170280456543,23.883634901285657,23.35947076142591,23.465822359770957,2013400,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
