Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,SYY,SYY,SYY,SYY,SYY,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,18.130176544189453,18.32373665298634,18.065656097715436,18.194696990663466,2459700,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-01-05,18.052749633789062,18.149529676776673,17.949517423852278,18.07210613463659,3789000,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-01-06,18.104368209838867,18.16243648968223,17.91080809744446,17.994683817981986,2833300,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-01-07,18.12372398376465,18.13017615133476,17.904355208881498,18.072107873828916,3108200,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-01-08,18.00759506225586,18.117279496193177,17.923719309539397,18.117279496193177,2018500,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-01-11,17.968881607055664,18.110825648748772,17.91081331031177,18.110825648748772,2830600,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-01-12,17.87209701538086,17.98178141149873,17.79467222904021,17.923713129399548,3348500,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-01-13,18.06565284729004,18.085009346937113,17.87209277331905,17.87209277331905,2877100,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-01-14,18.181795120239258,18.207602563952612,17.95597414227712,18.091467221304534,2024600,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-01-15,18.149539947509766,18.272128727666452,18.03340456857922,18.207608252287894,2962200,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-01-19,18.317283630371094,18.38825624124259,18.11081919579049,18.155983137026862,2373000,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-01-20,18.343093872070312,18.375353481253875,18.110820747948004,18.20114863816214,3231200,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-01-21,17.936616897583008,18.575368024271913,17.904357286613994,18.38825883490086,5674300,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-01-22,17.72369384765625,18.03339166169075,17.710790746316135,17.936610402578502,3961400,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-01-25,17.910808563232422,18.033397293937018,17.775315496532563,17.897904227237156,3723400,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-01-26,17.80756950378418,17.917253856407793,17.768857741277237,17.80111733826223,2755800,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-01-27,17.814027786254883,17.833383058842163,17.65272728469336,17.75595950724272,3042000,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-01-28,17.768863677978516,17.89790333965628,17.620466282642614,17.82693072582716,2713300,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-01-29,18.059206008911133,18.22050652835188,17.68498885303361,17.82048192928899,5262400,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-02-01,18.30438804626465,19.085082164087275,18.143087486652476,18.79474066453512,4867300,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-02-02,18.16888999938965,18.330190515173026,18.03984909451284,18.30438307257283,3858200,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-02-03,17.936616897583008,18.117273918635203,17.88500078165742,18.117273918635203,4014600,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-02-04,17.607568740844727,17.86564937636336,17.607568740844727,17.807581079543475,4725600,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-02-05,17.555946350097656,17.6785350783093,17.414002348911936,17.549495412856423,5184200,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-02-08,17.420452117919922,17.652725206625526,17.420452117919922,17.55594393258151,3636000,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-02-09,17.633363723754883,17.781759830446138,17.54948803798907,17.58819979829447,3986000,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-02-10,17.691442489624023,17.794674732182884,17.484978004506303,17.601114585041373,2603300,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-02-11,17.80112075805664,17.826928194477585,17.523683740437875,17.69788855112291,2168700,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-02-12,17.768863677978516,17.82047978877465,17.555945836491155,17.67853456111641,3504300,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-02-16,18.181795120239258,18.181795120239258,17.788221450951685,17.897905855640417,3251500,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-02-17,18.368907928466797,18.530208493724015,18.14308812160721,18.349552648236347,3499300,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-02-18,18.39470672607422,18.39470672607422,18.25276274794005,18.291474518226643,1697700,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
2010-02-19,18.80118751525879,18.833448356429173,18.291478531019322,18.330190309798525,4561300,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
