Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,TMUS,TMUS,TMUS,TMUS,TMUS,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,12.915304183959961,13.19078836375024,12.510181708302737,12.542591475446923,2656050,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-01-05,12.947713851928711,13.07735291951246,12.785665017449025,12.882894318136836,2088600,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-01-06,12.072649002075195,12.963918723392325,11.991624973679855,12.947713454087395,5595400,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-01-07,12.186083793640137,12.412952159121396,11.943010158555323,12.13746875753926,4430250,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-01-08,11.505477905273438,11.861986108858437,11.27860954017103,11.829576342415235,6763800,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-01-11,11.651323318481445,11.910601474012763,11.424454932391544,11.456864701832957,4726350,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-01-12,10.29011058807373,12.07264930233134,10.241496324369407,11.943010235506756,14308600,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-01-13,10.257699966430664,10.662822402847103,9.998421854391257,10.614208143194576,7766750,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-01-14,10.095650672912598,10.403543802873843,10.047035642830426,10.063240910427712,4879400,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-01-15,10.241497993469238,10.306317537445443,10.014628816842606,10.176678449493034,5408950,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-01-19,10.371135711669922,10.646619123539704,10.144267337716496,10.20908687313176,4774700,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-01-20,10.111856460571289,10.41974962989577,10.063242196983616,10.322520330010638,2890200,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-01-21,9.706733703613281,10.16047119566967,9.674323937945665,10.014626863810516,6068700,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-01-22,9.528480529785156,9.90119322722365,9.512275260339676,9.836373694861285,2809200,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-01-25,9.496070861816406,9.706733957817976,9.415046059170567,9.674324191301597,2664600,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-01-26,9.317815780639648,9.528479627217482,9.317815780639648,9.512274359307016,3233100,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-01-27,9.220586776733398,9.398840865717942,9.042332687748857,9.236791272435779,3177350,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-01-28,8.961309432983398,9.269201832143139,8.961309432983398,9.220587568153618,3265000,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-01-29,9.123357772827148,9.317816363661926,8.94510367820706,9.02612847740976,3224300,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-02-01,9.609504699707031,9.739144539041366,9.139562696838158,9.171972463494296,5980600,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-02-02,9.577095031738281,9.625710068578336,9.236792091987295,9.47986573076797,3521950,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-02-03,9.852580070495605,10.06324397720204,9.447457529618584,9.512277074342112,4264950,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-02-04,9.415045738220215,9.722938895984909,9.366431476457755,9.67432386151269,3922200,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-02-05,9.528480529785156,9.56089029596634,9.10715279672,9.366431698879241,4351700,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-02-08,9.512275695800781,9.706734301789973,9.366432127663794,9.496071198323255,2434150,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-02-09,9.739144325256348,9.80396385714576,9.447455659044222,9.62570975809499,3083100,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-02-10,9.36643123626709,9.836373209038493,9.317816203041545,9.722938646652047,3414750,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-02-11,9.625710487365723,9.641914985210887,9.31781730120928,9.415046606409762,2367200,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-02-12,9.658120155334473,9.917398299839617,9.496071315018758,9.64191488494799,2788750,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-02-16,10.047037124633789,10.07944689189868,9.771554489237118,9.80396425650201,1953750,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-02-17,10.063243865966797,10.176678454334073,9.98221904960304,10.01462882160656,1760900,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-02-18,10.160472869873047,10.192882640881018,9.998424014833184,10.063243556849129,1542250,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-02-19,10.225290298461914,10.290109827080553,10.030831712605998,10.04703620840579,1821200,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-02-22,10.111856460571289,10.354930096639015,9.966012897098484,10.306315833051343,2008200,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-02-23,9.982217788696289,10.128062130644715,9.836374219457682,10.063242594825374,2487500,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-02-24,10.111856460571289,10.192881263497126,9.884988094172645,10.030832430355238,2450000,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-02-25,10.500774383544922,10.954511886922756,10.225290982141571,10.5655939164975,8172750,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-02-26,9.998422622680664,10.63041345569443,9.94980758658278,10.63041345569443,5573500,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-03-01,9.787759780883789,10.176677792336651,9.706734969790732,10.111857479836285,5121200,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-03-02,10.095650672912598,10.160470197882367,9.803962810548638,9.933601860488176,3384650,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-03-03,10.257699966430664,10.29010973043559,9.998421854391257,10.030831618396181,3282100,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-03-04,10.32252025604248,10.35493002243862,10.111856388112686,10.290110489646342,2156850,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-03-05,10.338726043701172,10.468365115782344,10.241496739640292,10.338726043701172,2283050,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-03-08,10.614208221435547,10.646617985679377,10.32251957053135,10.403544367495789,2525200,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-03-09,10.695232391357422,10.824871450098401,10.435954273875463,10.581798601313936,1797000,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-03-10,10.711438179016113,10.857281740810857,10.598003610767066,10.662823143278013,2379650,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-03-11,10.90589714050293,10.954512177863423,10.500774662434782,10.69523326645714,2661950,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
2010-03-12,10.841078758239746,11.019332883896961,10.776259216675285,10.970717841368671,1731350,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
