Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,TRV,TRV,TRV,TRV,TRV,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,34.7208137512207,35.15996285173518,34.616252922093054,34.957815992696666,3716000,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,86312,1853
2010-01-05,33.898292541503906,34.63718019409025,33.82161491889357,34.595357970189035,5941900,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,86312,1853
2010-01-06,33.41729736328125,33.73097716594343,33.00602887958909,33.640357965376104,10124500,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,86312,1853
2010-01-07,33.898292541503906,34.051645127631,33.333668586995266,33.333668586995266,4901600,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,86312,1853
2010-01-08,33.84949493408203,33.98890587919949,33.50793173672026,33.91223092302222,3933100,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,86312,1853
2010-01-11,33.835540771484375,34.044659770774075,33.52883042403995,33.947071081711705,3058500,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,86312,1853
2010-01-12,34.05162048339844,34.42803618064695,33.87735425234913,34.14921180642305,5147300,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,86312,1853
2010-01-13,34.17012405395508,34.38621514500632,34.037682671170494,34.10738810230096,3462400,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,86312,1853
2010-01-14,34.35137176513672,34.43502150261213,33.96798644186545,34.10740001189846,2656300,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,86312,1853
2010-01-15,34.00980758666992,34.476839937185815,33.64036126767139,34.23286821066145,4252500,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,86312,1853
2010-01-19,34.455928802490234,34.5744285955222,33.758863688394285,33.9819243121776,3349400,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,86312,1853
2010-01-20,34.107418060302734,34.64415886054328,33.84253240298144,34.337448312352066,3433400,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,86312,1853
2010-01-21,34.12133026123047,34.21194945040995,33.48002911647905,34.009799974198714,5942700,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,86312,1853
2010-01-22,33.67521286010742,34.602307975635995,33.59853528066155,34.02374537824895,6885300,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,86312,1853
2010-01-25,34.07951354980469,34.2328687282773,33.4242732893086,34.03769134410665,4768100,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,86312,1853
2010-01-26,35.013587951660156,35.64094775397296,34.95782411317289,35.23664862379516,8489000,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,86312,1853
2010-01-27,35.48061752319336,35.4875870047564,34.8741689225993,35.05540735234898,4662400,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,86312,1853
2010-01-28,35.04147720336914,35.59912897923739,34.839327603650204,35.59912897923739,4554800,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,86312,1853
