Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,TSCO,TSCO,TSCO,TSCO,TSCO,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,2.421987771987915,2.471026803392843,2.4060953168718267,2.4156308765476844,6582000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-01-05,2.3965606689453125,2.4374266846481816,2.3384403105487563,2.426529022723263,13662000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-01-06,2.391566753387451,2.410637450549095,2.3652308740816324,2.3870259874828874,7416000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-01-07,2.4242591857910156,2.4301620507151935,2.3747658837693058,2.3747658837693058,4596000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-01-08,2.422895908355713,2.4483237073700295,2.3961060102141833,2.4292528039804124,2740000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-01-11,2.4033713340759277,2.424258370900851,2.3811219815257205,2.423804121315402,4920000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-01-12,2.4042794704437256,2.41336078165393,2.380668017994086,2.3961062253998797,6732000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-01-13,2.4197182655334473,2.4292536121427086,2.3883878100293616,2.418810199146544,6546000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-01-14,2.3992855548858643,2.4247133655247795,2.3847554083087155,2.4179022172283666,5468000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-01-15,2.3815758228302,2.4110901351536453,2.3665916501517983,2.4110901351536453,7092000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-01-19,2.4006471633911133,2.411998640840583,2.3615975007032537,2.3724949450366113,14146000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-01-20,2.3216397762298584,2.336623953065454,2.2748711130857706,2.314828845808835,12706000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-01-21,2.304385185241699,2.3706790054453544,2.2712383833976575,2.3316293395805006,9180000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-01-22,2.275324583053589,2.337077407748127,2.2703297865061844,2.3098334762919155,7570000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-01-25,2.3270890712738037,2.3307215537884187,2.2544385549190338,2.2862230475664367,7954000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-01-26,2.29848313331604,2.3152836650083004,2.2303733729513553,2.2494440712109633,14580000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-01-27,2.3711330890655518,2.382484784195733,2.263519434941339,2.2839524428725504,16592000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-01-28,2.338440418243408,2.4292535500814574,2.3252723733917606,2.4110909237138474,27124000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-01-29,2.2916715145111084,2.375673714792866,2.287584999397639,2.339348462402439,12964000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-02-01,2.3684091567993164,2.3724956726130983,2.297120739334274,2.3107428195729147,9384000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-02-02,2.4029173851013184,2.410182564675484,2.349791828510804,2.3625056221211453,5544000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-02-03,2.3675003051757812,2.411090514452762,2.344796917812174,2.38793309398437,6816000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-02-04,2.307109832763672,2.366138478909888,2.3012069681490503,2.3597815810965406,6052000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-02-05,2.297574996948242,2.33163009261252,2.2612497347855256,2.3157376280296007,6112000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-02-08,2.2766873836517334,2.365684383738368,2.2716925855654098,2.365684383738368,5080000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-02-09,2.3320834636688232,2.3361699787212036,2.2748711703575957,2.3030231755846637,5894000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-02-10,2.313920736312866,2.334353527194664,2.293487728915498,2.3180072511861116,4416000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-02-11,2.3556947708129883,2.3602353187472733,2.276233125065124,2.3021149627919164,4918000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-02-12,2.350245714187622,2.3529701292925647,2.316190633633611,2.342072468872794,4686000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-02-16,2.3806681632995605,2.3856629605504716,2.351153845936087,2.361143223922358,3430000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-02-17,2.438789129257202,2.4437839277655597,2.389750076686439,2.3974692910615727,4994000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-02-18,2.416994094848633,2.4333405905633585,2.392474567792157,2.4333405905633585,4702000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-02-19,2.4256207942962646,2.4383345880152856,2.3988308909508653,2.418809864306155,4586000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-02-22,2.422895908355713,2.451956188224784,2.419263427500959,2.4342476004778986,4806000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-02-23,2.426983594894409,2.4564979220662715,2.4047344494578793,2.4256214951090724,8208000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-02-24,2.485558032989502,2.4891905153319334,2.4065506218502932,2.4401514624200944,4636000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-02-25,2.4928224086761475,2.520974627338365,2.4651244396505607,2.4787465158605944,8276000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-02-26,2.484649419784546,2.5068985586871597,2.472389659254352,2.4973632134431822,8678000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-03-01,2.603160858154297,2.6099720055374744,2.510985625300531,2.533688800364358,18996000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-03-02,2.585451602935791,2.616328233562745,2.5654728486357103,2.598619644627083,11250000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
2010-03-03,2.577733039855957,2.607701392846192,2.5632028965098472,2.5977120140213037,7332000,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938
