Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,TXN,TXN,TXN,TXN,TXN,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,17.562402725219727,17.967533376581887,17.48137607979736,17.690694377190628,10369300,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-01-05,17.461109161376953,17.758203665262855,17.353074562168622,17.52187878441589,10943800,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-01-06,17.332826614379883,17.57590523306898,17.258552305808287,17.48812627059806,8933800,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-01-07,17.386844635009766,17.447614292103854,17.12351031285186,17.285562302477857,10775400,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-01-08,17.785215377807617,17.785215377807617,17.231537659595745,17.28555496654631,12875600,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-01-11,17.555644989013672,17.88650122080015,17.366583733189493,17.785218911130727,11677000,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-01-12,16.81965446472168,17.57589803081954,16.657602547959456,17.569145706636846,21165300,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-01-13,16.893938064575195,16.988468079544287,16.65761173927761,16.88718573666671,18809200,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-01-14,16.68461799621582,16.880431621201627,16.529318334390698,16.80615730994843,22908400,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-01-15,16.542818069458008,16.725126985843918,16.340253465389893,16.664357347048615,20359100,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-01-19,16.691364288330078,16.73187823684218,16.441534711876763,16.509056671522668,11783800,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-01-20,16.576580047607422,16.617094002728994,16.340255082103944,16.55632435792111,13253500,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-01-21,16.32674789428711,16.79939903974944,16.211960948355323,16.57657747269059,18407800,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-01-22,15.604270935058594,16.320000853740353,15.529996626031586,16.2727358526776,21806400,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-01-25,15.99589729309082,16.08367497046238,15.665040989344604,15.806835996146674,20192100,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-01-26,15.766324996948242,16.1376940152739,15.725812317537681,15.793333020596995,19646700,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-01-27,15.887859344482422,15.975637003678699,15.584011124429052,15.779824707991102,19535100,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-01-28,15.643536567687988,15.955729304126741,15.399213224471048,15.921794607515835,20198600,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-01-29,15.270269393920898,15.86072038005562,15.120960559191976,15.684263778388654,23137300,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-02-01,15.643536567687988,15.663897385654533,15.310984307759009,15.310984307759009,13199000,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-02-02,15.819993019104004,15.860714654811778,15.56888273795427,15.589242261331849,11891100,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-02-03,15.74533748626709,15.82677815947325,15.562094029838988,15.78605782287017,12877300,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-02-04,15.331345558166504,15.616390545356603,15.20239629636051,15.616390545356603,14643500,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-02-05,15.589239120483398,15.69782753820695,15.270260805229972,15.304194200340064,23094000,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-02-08,15.677470207214355,15.860713673128744,15.405999125013166,15.609602113045002,16138900,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-02-09,15.867505073547363,16.057535547260976,15.79285130790859,15.833571661391257,17494900,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-02-10,15.908218383789062,16.003232923609083,15.704614134134136,15.8742836949419,12401200,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-02-11,16.132183074951172,16.288278769147908,15.813203453923991,15.901432355496821,16194800,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-02-12,16.308637619018555,16.471520231751427,15.88106962792832,15.97608545621278,21796600,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-02-16,16.82442855834961,16.88550838858295,16.376499878992348,16.376499878992348,22856400,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-02-17,16.770145416259766,16.946601984781015,16.491887329796867,16.87194822867795,19430500,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-02-18,16.851593017578125,16.87195384573565,16.55297401031921,16.72943063758689,13218600,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-02-19,16.973743438720703,17.00767683393185,16.688698517728504,16.83122033098658,15979000,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-02-22,16.78371238708496,17.06875729665045,16.709058661717904,16.980529695952654,11176800,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-02-23,16.491884231567383,16.776929204940274,16.3290015745652,16.74299580349343,12905800,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-02-24,16.797290802001953,16.96696040606258,16.614047318942152,16.64798201644009,14513800,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-02-25,16.641193389892578,16.661552911850986,16.29506727736125,16.430802170163435,17886100,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-02-26,16.546175003051758,16.702271982821657,16.44437352544601,16.59368356744539,13204600,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-03-01,16.71584701538086,16.919451294928344,16.60725858407935,16.647980216674572,14892800,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-03-02,16.61404800415039,16.91266688206632,16.45795227265113,16.654769642827382,16888500,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-03-03,16.55974769592285,16.824433072165622,16.525814303969742,16.67512304082972,13012700,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-03-04,16.742996215820312,16.797290436158136,16.39687007573808,16.60047307838583,13538000,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-03-05,16.94659996032715,17.02804194163727,16.702276605349542,16.83122457524903,10345800,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-03-08,16.756567001342773,17.028038052919644,16.66155116243381,17.028038052919644,22269200,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-03-09,16.417232513427734,16.620835536161845,16.20005561065096,16.485100619164587,27986900,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-03-10,16.68869972229004,16.749780873659674,16.403654780723787,16.417228657578406,13878500,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-03-11,16.33578872680664,16.559752544915188,16.152545249860655,16.5461786663689,23056400,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-03-12,16.288280487060547,16.451163136594005,16.22041239280255,16.356148581318546,15073900,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-03-15,16.247560501098633,16.281493901726353,16.08467784802831,16.227199684036247,9053400,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-03-16,16.749784469604492,16.79729175431866,16.261135153741222,16.29506985316307,18282000,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-03-17,16.90587615966797,16.966957309540405,16.66833849843918,16.66833849843918,12620400,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-03-18,16.776927947998047,16.966958347501492,16.66155257945599,16.892303316540104,10499500,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-03-19,16.53260612487793,16.783716406249475,16.376509110146195,16.53260612487793,16945400,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-03-22,16.78371238708496,16.7972862624157,16.40365293915631,16.437586333007154,10651200,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-03-23,17.272361755371094,17.292721274141314,16.783712593269584,16.831219863034782,17937200,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-03-24,16.82442855834961,17.19091401212754,16.776920010095,17.177340141197654,16894900,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-03-25,16.82442855834961,17.116259016488733,16.817641622884665,17.075538698174647,11306500,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-03-26,16.797290802001953,16.987321224561338,16.634408137440914,16.905879245042644,10138000,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-03-29,16.78371238708496,17.0144630898035,16.709058661717904,16.871941282258756,9217600,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-03-30,16.7022705078125,16.89229957070113,16.627615493405735,16.78371116491451,11074400,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-03-31,16.607255935668945,16.81086018274703,16.54617479099312,16.681910955711842,9899700,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-04-01,16.71584701538086,16.966958571813226,16.58689906225795,16.72263395414673,9057000,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-04-05,17.231643676757812,17.30629871288896,16.736208769376866,16.783716048923495,14225500,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-04-06,17.000892639160156,17.170562231544896,16.91945195972219,17.12984189182591,10626400,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-04-07,17.184131622314453,17.238425825920665,16.892299792502605,17.041609823276623,13333000,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-04-08,16.776927947998047,17.18413520723332,16.776927947998047,17.048400317139023,16002500,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-04-09,16.926237106323242,16.946596626788597,16.709060258185275,16.878729832602577,13451500,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-04-12,17.43524742126465,17.63206347242876,17.129841641642113,17.143415519508945,18574600,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-04-13,17.557405471801758,17.645633067570202,17.360588173930417,17.394521565885373,11606700,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-04-14,18.256454467773438,18.263241409254388,17.903541277624385,17.923902102067235,20317400,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-04-15,18.317529678344727,18.324316617614333,18.0528455192116,18.23608899606206,11570500,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-04-16,18.03927230834961,18.195368033899122,17.883176582800097,18.141073812209015,14772100,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-04-19,17.937471389770508,18.107140999897773,17.584558290031467,17.964617854263146,13289700,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-04-20,18.086780548095703,18.21572981686536,17.917110934521677,18.052847143171466,11003900,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-04-21,17.93068504333496,18.25645039488419,17.68636038243482,18.14786194436778,10479800,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-04-22,17.98497772216797,18.052845821524244,17.23843121820158,17.611705117422936,17497200,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-04-23,18.100351333618164,18.15464554890125,17.665997611353472,17.964615148172346,14470700,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-04-26,18.432907104492188,18.56185637598571,18.181796796005088,18.22930408169311,21070400,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-04-27,18.012121200561523,18.622931360705195,17.923892304016004,18.188576404700523,37647800,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-04-28,17.998489379882812,18.243923745632422,17.787143842907234,18.237105979877615,17187200,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-04-29,18.414365768432617,18.44163553373198,17.97122135438114,18.162113612544616,15133100,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-04-30,17.732608795166016,18.373464681018017,17.732608795166016,18.346193609112866,18069000,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-05-03,18.032577514648438,18.21665198152043,17.79396092383712,17.882589274526907,12975600,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-05-04,17.548526763916016,17.875771709079267,17.34399899827794,17.848501947160237,21086300,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-05-05,17.63715171813965,17.84849719305267,17.173554185797165,17.405352951968407,21484600,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-05-06,17.091747283935547,17.80759708156398,16.014565004982565,17.575798248086873,27373200,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-05-07,16.86676025390625,17.22809390785767,16.334986417962618,16.982659629675165,26491900,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-05-10,17.60306739807129,17.725784576271636,17.35081657653129,17.507621281851375,17622700,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-05-11,17.487167358398438,17.828047818797454,17.214463250150374,17.384903480349884,15890100,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-05-12,17.793960571289062,17.828048097719964,17.500803162702496,17.596249276993646,12698500,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-05-13,17.378080368041992,17.787137054729417,17.323539563174027,17.7121429604027,13313600,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-05-14,16.96221351623535,17.28945979238481,16.703144902154467,17.228101196879035,18323300,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-05-17,17.330364227294922,17.3849050538811,16.81222572454831,17.00993703364562,16456000,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-05-18,16.73041534423828,17.49398692600131,16.6281501552979,17.453081630638692,25045000,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-05-19,16.805410385131836,16.955398655166803,16.430442310756547,16.655423415452933,19404600,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-05-20,16.53951644897461,16.83949155210506,16.294082155471926,16.457704584355223,24563200,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-05-21,16.750871658325195,16.93494748542588,16.089563794732204,16.28727385689661,19264900,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-05-24,16.525880813598633,16.771315105499134,16.464522240623506,16.66905125065908,12654300,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-05-25,16.634965896606445,16.662236957099623,15.987293814162358,16.10319322054688,20761600,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-05-26,16.457704544067383,16.92130207494626,16.38952950746617,16.730409891894116,17978000,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
2010-05-27,16.94175910949707,16.955394639972333,16.675871466652495,16.70996029284065,14974200,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930
