Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,TXT,TXT,TXT,TXT,TXT,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,18.455289840698242,18.590989903158622,18.08695845862765,18.348667306608117,3630600,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923
2010-01-05,18.106346130371094,18.75577081402016,17.893101045463293,18.387439403056597,12121100,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923
2010-01-06,18.736377716064453,18.823613973697448,18.13541703556763,18.13541703556763,5598300,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923
2010-01-07,19.569963455200195,19.628120331117227,18.658830438222548,18.726680434921374,5196100,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923
2010-01-08,19.754131317138672,19.79290380833946,19.356722526201267,19.482731273829692,4104000,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923
2010-01-11,20.810665130615234,20.946367049704055,19.73475399682945,19.880147193419443,7214100,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923
2010-01-12,20.674957275390625,20.897893549469583,20.267855368963172,20.59741414315559,4849100,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923
2010-01-13,20.27755355834961,20.830048744673174,20.044924103517296,20.704041816596135,5378700,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923
2010-01-14,22.09012794494629,22.351834934152887,19.947995311922618,20.316324831145554,17621700,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923
2010-01-15,21.208072662353516,22.05135610488012,21.072372601008304,22.05135610488012,9136800,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923
2010-01-19,22.274290084838867,22.739548973321916,21.12083598823812,21.411622331346404,8277200,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923
2010-01-20,21.624862670898438,22.00288708555199,21.237146981692188,22.00288708555199,4539400,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923
2010-01-21,20.77188491821289,21.74117491459222,20.713728036086838,21.624859301566165,4666300,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923
2010-01-22,20.665264129638672,21.401924809434167,20.161232846287948,20.694343497484557,5582300,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923
2010-01-25,20.481101989746094,21.16929902258427,20.20000878106951,20.97544023477155,6112300,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923
2010-01-26,19.93830108642578,20.442332483887597,19.7444441365536,20.42294623426802,3765400,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923
2010-01-27,20.355091094970703,20.50048423303711,19.734746053207864,19.84136670177707,5865400,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923
2010-01-28,18.97870445251465,20.093387954334577,18.30989361191286,19.754135971491667,18922800,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923
2010-01-29,18.930240631103516,19.347033916083937,18.464979872042964,19.05624755934884,6786800,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923
2010-02-01,20.00615119934082,20.05461682360299,18.930240223564038,19.017476498461416,6508100,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923
2010-02-02,20.0449161529541,20.60710424134102,19.821979911594802,20.141845516215398,7153800,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923
2010-02-03,19.831674575805664,20.151542083906545,19.589352050595288,19.90921955869617,4608300,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923
2010-02-04,18.959318161010742,19.589356499902756,18.80423185755346,19.589356499902756,6589400,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923
2010-02-05,18.329280853271484,18.998091730040485,17.40845425701308,18.910855448341284,11037700,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923
