Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,VRSK,VRSK,VRSK,VRSK,VRSK,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,28.678592681884766,29.30308427535162,28.50565615361739,29.21661601121793,390000,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,1442145,1971
2010-01-05,28.870746612548828,28.88996219201273,28.332723215049178,28.678596315405358,430000,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,1442145,1971
2010-01-06,29.245441436767578,29.658567209506653,28.82270787483708,28.82270787483708,848900,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,1442145,1971
2010-01-07,29.197402954101562,29.47602334757858,28.630556210302093,29.168581418568383,426600,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,1442145,1971
2010-01-08,28.822710037231445,29.08211486736618,28.80349445740697,29.02446812789276,253200,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,1442145,1971
2010-01-11,28.75545310974121,28.928389637721338,28.58251658176108,28.85152916222998,676500,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,1442145,1971
2010-01-12,28.97643280029297,29.18779869391959,28.668990834109277,28.813104026695548,742000,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,1442145,1971
2010-01-13,28.966821670532227,29.101328889605785,28.918784556040674,28.918784556040674,394400,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,1442145,1971
2010-01-14,28.73624038696289,28.91878472157289,28.717024808056898,28.909176932119895,301100,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,1442145,1971
2010-01-15,27.813915252685547,28.745848861866758,27.535294849400287,28.601735681632334,766000,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,1442145,1971
2010-01-19,26.853153228759766,27.708226192314804,26.718646030982786,27.708226192314804,1531700,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,1442145,1971
