Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,WRB,WRB,WRB,WRB,WRB,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,5.350396156311035,5.418067677073592,5.341664426507719,5.411518616241025,6416888,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,11544,1967
2010-01-05,5.330749988555908,5.339481015106123,5.298005389405205,5.339481015106123,3860325,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,11544,1967
2010-01-06,5.3416643142700195,5.356945104584827,5.29145660547582,5.326384226568741,4047300,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,11544,1967
2010-01-07,5.363494396209717,5.374409146531162,5.280542082982666,5.326384455900871,3344625,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,11544,1967
2010-01-08,5.359130382537842,5.363496424840497,5.322020428192928,5.339483543482809,2347988,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,11544,1967
2010-01-11,5.370046138763428,5.374412181880563,5.304557599848275,5.367863117204861,1932863,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,11544,1967
2010-01-12,5.391872406005859,5.4027864525967635,5.3351149372681945,5.3351149372681945,3079688,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,11544,1967
2010-01-13,5.492288589477539,5.498837651123467,5.396238495791782,5.418068349971394,3587625,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,11544,1967
2010-01-14,5.446447849273682,5.490106511205673,5.4049715056512575,5.468277004586239,3586613,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,11544,1967
2010-01-15,5.442080497741699,5.472641378085907,5.4246170371716405,5.426799706262805,3751313,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,11544,1967
2010-01-19,5.411518096923828,5.477006591124249,5.367859452096952,5.4420796752627485,5590688,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,11544,1967
2010-01-20,5.424617290496826,5.446446792882215,5.380958285726049,5.38532432672585,3127275,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,11544,1967
2010-01-21,5.4595441818237305,5.479191016167091,5.400604732714134,5.442081070721825,6163088,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,11544,1967
2010-01-22,5.391872406005859,5.49447048643634,5.365676516085882,5.485738757334176,4027388,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,11544,1967
