Date,Close,High,Low,Open,Volume,Daily Return,Daily Return(%),Monthly Volatility,Monthly Momentum,Day of week,Month_Number
2010-02-04,197.84690856933597,206.2549820107953,197.55016511112152,205.0580764792853,1137400,-0.04085749936531047,-4.0,0.019533988216718912,-0.06889614894769902,3,2
2010-02-05,194.82989501953125,199.7263580216577,191.2787092018129,198.82619599935572,1287100,-0.01524923271038825,-2.0,0.020854214520108404,-0.11718749680845786,4,2
2010-02-08,198.45030212402344,201.9520256927585,196.3829089688685,197.29295741381085,966200,0.018582400324802517,2.0,0.02003541455080983,-0.1009677200626855,0,2
2010-02-09,203.15884399414065,204.0985668357725,201.0320869380611,201.2991711456885,991900,0.02372655430463677,2.0,0.02056115681597923,-0.07176240854578986,1,2
2010-02-10,204.1678009033203,206.18574698257052,201.42776901295417,203.57429889289205,733700,0.004966345000509742,0.0,0.02138691214667251,-0.05009019143929383,2,2
2010-02-11,206.6407623291016,207.37276474031717,200.9133872142907,201.74429907971367,858200,0.01211239683652332,1.0,0.021190254849878527,-0.057146793147646924,3,2
2010-02-12,205.53289794921875,205.78019424717417,201.5464828336786,204.2667421111884,830500,-0.005361306101447805,-1.0,0.020906878288546177,-0.02374051226916074,4,2
2010-02-16,208.9257659912109,209.9545117277961,206.4923643023672,206.4923643023672,846700,0.01650766410557991,2.0,0.02092055907832408,-0.03042459598817404,1,2
2010-02-17,210.5678253173828,213.39689527905864,207.10567750174013,210.98328124400797,2011600,0.007859534789217859,1.0,0.020471328441627298,0.011687470227717878,2,2
2010-02-18,230.4306640625,233.24984761098145,223.57561862292724,225.02972191503665,3965300,0.09432988499158657,9.0,0.020528632888540763,0.019638863095788217,3,2
2010-02-19,228.076416015625,231.13299435565384,227.18614036833597,229.9855360158236,1406100,-0.010216730730925883,-1.0,0.02888450390526369,0.11619546228211597,4,2
2010-02-22,226.59263610839844,229.71844952563413,223.7932404887761,229.53050194328503,880600,-0.006505626198216485,-1.0,0.02884920706266974,0.11759005397357813,0,2
2010-02-23,222.6556854248047,227.01799563000316,221.1818091872618,226.9685333529424,1151900,-0.017374574704671186,-2.0,0.0289625365379541,0.10108642935013479,1,2
2010-02-24,222.5864105224609,224.41639369643912,218.6692313235073,223.5558075857378,898500,-0.00031113017487793826,-0.0,0.02891962100691873,0.10230183143320759,2,2
2010-02-25,221.4488525390625,222.26987794265077,216.1369336451569,219.59908132368344,1068900,-0.005110635374047767,-1.0,0.028824256059360034,0.10934719012565886,3,2
2010-02-26,224.25816345214844,224.5351340760928,218.6593720939925,221.5774651565417,987600,0.012686048633240965,1.0,0.02890623453601047,0.09504002028177183,4,2
2010-03-01,235.960205078125,236.40535044430007,225.1780936186028,226.29587760196983,1657900,0.052181117716472825,5.0,0.028868292406708927,0.09247304010987034,0,3
2010-03-02,238.7299346923828,242.35035587613865,236.3163205698789,238.43317613582187,1836700,0.011738121745320518,1.0,0.029623620729229482,0.18276479545149305,1,3
2010-03-03,233.26963806152344,238.88820219738977,232.45849903265676,238.88820219738977,963600,-0.02287227463910335,-2.0,0.02818517248162082,0.2354236418193303,2,3
2010-03-04,230.5988311767578,235.25789975003255,227.0278722769175,230.48013379193483,1594700,-0.011449440685723622,-1.0,0.027899086478025754,0.15484834246380808,3,3
2010-03-05,232.7948303222656,234.4269948812409,228.91722633312892,234.02142534594088,2236700,0.009523028084320595,1.0,0.02817001550850456,0.14039725224519217,4,3
2010-03-08,237.5824737548828,238.3738248659,231.17255843380104,233.4476872178128,1268800,0.020565935360289167,2.0,0.028011333163794144,0.128566613978079,0,3
2010-03-09,235.7524871826172,240.52035152573515,233.81367774134355,236.5833990458344,898200,-0.007702531854911321,-1.0,0.025992870392617943,0.2008399599108288,1,3
2010-03-10,238.3837127685547,240.88634975997056,235.4260440088059,235.5744157301285,792800,0.011160966390565852,1.0,0.02569033761878852,0.21004267419526945,2,3
2010-03-11,239.5905303955078,239.78836439731865,235.04027288502493,238.38372336256492,624500,0.005062500340049736,1.0,0.025608949897012512,0.2012262527046922,3,3
2010-03-12,236.32620239257807,241.0643921102373,235.0996075047397,239.9663961080739,718000,-0.013624611947480214,-1.0,0.025397828861507862,0.17932611588603975,4,3
2010-03-15,236.2767639160156,237.4044343755488,231.8254307714741,236.75156855851185,443600,-0.00020919591675383487,-0.0,0.02583569809936023,0.15750966287032564,0,3
2010-03-16,239.19485473632807,239.63009861010676,234.84244618607664,236.415246925967,617600,0.012350308053777681,1.0,0.02586072880145325,0.14341798420059493,1,3
2010-03-17,240.2928466796875,243.34942506705087,237.0582071226021,240.164247784542,858800,0.004590366061886231,0.0,0.025735928648469353,0.16377892358344615,2,3
2010-03-18,240.18402099609372,242.2514141403177,237.7704070448156,241.31169135601283,528400,-0.00045288773718199504,-0.0,0.02565985262851635,0.15013505174750041,3,3
2010-03-19,236.4251251220703,241.9645677150041,235.89097180976864,241.9645677150041,1015900,-0.015650066388407047,-2.0,0.025709742085645866,0.14064919763535233,4,3
2010-03-22,240.39175415039065,240.8764451630116,234.1104230696028,235.7623602854816,603300,0.01677752745725436,2.0,0.016492181381064147,0.02601416388725264,0,3
2010-03-23,241.7667236328125,242.1525052016572,236.10858389391328,241.48975302409156,793000,0.00571970318732995,1.0,0.016597118735997396,0.05399654357038819,1,3
2010-03-24,241.163330078125,241.84587021122024,238.9574515343124,239.8971743593097,595900,-0.0024957675962218318,-0.0,0.016474359007494034,0.0669663753642682,2,3
2010-03-25,252.2718811035156,259.82926994500514,243.84401961619403,243.93305774866556,2304600,0.0460623554244004,5.0,0.015852622055373706,0.08312226394762656,3,3
2010-03-26,249.38345336914065,253.4687775225824,247.3160601558203,252.1927353991443,783300,-0.011449661855851945,-1.0,0.01827715740812132,0.1333660510153165,4,3
2010-03-29,252.9049530029297,257.10900477663654,251.6387972809432,254.3392683808617,1088300,0.014120823118831671,1.0,0.018522879885797323,0.12614470795305044,0,3
2010-03-30,253.2215118408203,255.2691172514175,250.36276736266777,252.73680568383472,587700,0.0012516909381643515,0.0,0.018552041344362214,0.12774023076709007,1,3
2010-03-31,252.24220275878903,256.15936733735725,250.2737189584056,252.74668173055056,861600,-0.0038674008180114017,-0.0,0.015231447286898547,0.07315346567435044,2,3
2010-04-01,254.22056579589844,257.4650916538078,251.0650629727677,255.15040218696387,885900,0.007843108787791708,1.0,0.015188872365949525,0.05660064408687404,3,4
2010-04-05,254.863525390625,256.35720449545,252.3905627336472,255.18997336636423,811400,0.0025291407589846937,0.0,0.014034850924021345,0.08981420774892834,0,4
2010-04-06,258.77081298828125,260.1160901551966,252.39055739326665,252.39055739326665,808100,0.015330901476261038,2.0,0.013579801744288517,0.10522470599717781,1,4
2010-04-07,257.00018310546875,264.13219935409694,255.2097604568017,260.13591321220105,989500,-0.006842463654866182,-1.0,0.013737694357010857,0.11158315942865338,2,4
2010-04-08,256.5055847167969,258.03880953991427,253.7358785242192,256.28796278827053,859500,-0.0019245059777599494,-0.0,0.013498634251726146,0.08173039468651822,3,4
2010-04-09,256.6836242675781,257.6233621595059,253.5380229885976,257.6233621595059,493000,0.0006940961966883652,0.0,0.013309294924509543,0.08802917747418726,4,4
2010-04-12,257.4156799316406,260.07659058083067,256.68366234340965,257.43545276847067,413300,0.002851976498895681,0.0,0.013227726359571531,0.07676661835026755,0,4
2010-04-13,254.8140869140625,254.9228827846692,248.41405813175012,251.57944742202235,1158700,-0.010106583321843554,-1.0,0.01322438713801338,0.07439838922977327,1,4
2010-04-14,262.3912353515625,262.7770018225587,253.27094800639964,253.27094800639964,878200,0.029735987241770623,3.0,0.013017200916709718,0.07823036266953132,2,4
2010-04-15,262.1142883300781,263.9937340518695,259.7105455059228,261.2042247220079,763900,-0.001055473598854384,-0.0,0.014160658142369725,0.1105249242571702,3,4
2010-04-16,252.1037139892578,260.90747039359525,250.04620717980345,260.22493026284275,1148200,-0.038191639244839926,-4.0,0.014119507399346663,0.0958190911715675,4,4
2010-04-19,244.9024353027344,251.5893207745543,241.55898501994145,250.9166821888236,1157500,-0.028564746518689788,-3.0,0.016910366133551732,0.049151972157183366,0,4
2010-04-20,252.5191650390625,254.1711173987932,246.34664472995968,248.40415149966063,982000,0.031101077973817226,3.0,0.01821200347727414,0.01964499672822706,1,4
2010-04-21,250.41221618652344,253.4193475130647,247.45456223029987,250.7485506108035,585900,-0.008343718593450622,-1.0,0.0189082463934518,0.06807246018663449,2,4
2010-04-22,255.51638793945312,256.17915520569795,245.95097031387496,248.91852546490807,734000,0.020383078072867544,2.0,0.018808034831319726,0.041683884172931895,3,4
2010-04-23,258.8697509765625,261.1448646160068,252.33122181271256,256.4858112793442,742300,0.013123866786595162,1.0,0.019216341964934252,0.05687161615972913,4,4
2010-04-26,267.4360656738281,270.85866781041625,259.9578288299217,260.6700433001763,1215000,0.033091215427642595,3.0,0.01930270074857328,0.0734208674789052,0,4
2010-04-27,261.4416198730469,267.030540052233,259.5028254552645,265.60611103864824,999300,-0.02241450039910564,-2.0,0.018040813723210015,0.06011048280125264,1,4
2010-04-28,258.9488525390625,265.60607857088866,255.71422840102983,262.6780691855881,1135500,-0.009534699697756,-1.0,0.0186272003611782,0.048351910846537116,2,4
2010-04-29,270.04754638671875,270.967481332698,260.35354397605573,260.35354397605573,902900,0.04286056392538762,4.0,0.018599252314528424,0.023897908935230694,3,4
2010-04-30,259.2159729003906,270.90814935894383,258.6818346205853,270.87847501006576,902700,-0.040109875580268683,-4.0,0.020693368087175503,0.06644788755733999,4,4
2010-05-03,266.1698913574219,267.5646458552872,261.6394372575552,261.6691116005936,687500,0.026826735942323543,3.0,0.022729642993863,0.027647118782380575,0,5
2010-05-04,255.57574462890625,262.7572379792512,253.50835143146543,262.13404654801855,1018400,-0.039802198041586356,-4.0,0.02336134756684842,0.04700377219330476,1,5
2010-05-05,244.30892944335935,253.48858097013817,238.41339475605616,248.77016386185235,1616300,-0.044084055010408796,-4.0,0.025114661085479356,0.0027945122284156465,2,5
2010-05-06,230.5790557861328,245.52564344137105,200.49793288925844,240.87646133710587,2552200,-0.05619882043816038,-6.0,0.02665214255630451,-0.055886842020227534,3,5
2010-05-07,222.9524383544922,234.31818105977877,221.9731396310218,229.46127839434908,1731700,-0.03307593313555102,-3.0,0.02912537706437072,-0.10280586963042404,4,5
2010-05-10,247.04898071289065,247.0885414759516,237.55279763897244,239.13549984921443,3046500,0.10807929501127589,11.0,0.029760861225643274,-0.13080863872554704,0,5
2010-05-11,217.1953887939453,220.3311038816782,206.63088363251765,209.8556217604936,7077100,-0.12084078158427969,-12.0,0.038848139514358136,-0.03753509240092345,1,5
2010-05-12,215.52365112304688,219.3517925715163,211.1514548591417,219.3517925715163,2309400,-0.007696929848195033,-1.0,0.04678320198090608,-0.15624646932298847,2,5
2010-05-13,210.58761596679688,218.7879538291321,209.56875651824268,213.3078749999549,1472600,-0.022902521976262857,-2.0,0.0467781711494401,-0.15419255766760864,3,5
2010-05-14,206.0274658203125,207.9168129324608,201.7937549148935,206.6011949739696,1525600,-0.02165440795532525,-2.0,0.04612311369576084,-0.1974289244660059,4,5
2010-05-17,197.9853973388672,204.75143508589545,193.89017151254947,204.33597914337244,2250500,-0.03903396301762618,-4.0,0.04615585779526133,-0.21397850100844562,0,5
2010-05-18,190.7742462158203,204.5338151005037,190.51706351383487,199.5483135551555,2492900,-0.03642264136634499,-4.0,0.046181595466468134,-0.2146668757632687,1,5
2010-05-19,188.05398559570312,193.88028540541097,182.2177993684553,189.1420952757914,2592600,-0.014259055790160402,-1.0,0.046367435707932336,-0.22101939909255663,2,5
2010-05-20,179.04249572753906,186.04592775840965,177.163050152436,180.63508427671147,2694800,-0.04791969624902204,-5.0,0.04536392831088207,-0.2552882646882948,3,5
2010-05-21,189.1717529296875,189.72569413839196,174.0965674507634,175.21435137860578,2887900,0.05657459789637209,6.0,0.04598074284980899,-0.28500894064139237,4,5
2010-05-24,191.05120849609372,195.3640561106932,190.59617671149,191.69417276983745,2300100,0.009935180793639864,1.0,0.04800072535792248,-0.2596492363749544,0,5
2010-05-25,191.3479766845703,192.149214236267,183.12785055232277,184.52259013420303,1658900,0.0015533436862957828,0.0,0.04791854946761428,-0.2619794017054118,1,5
2010-05-26,190.3390045166016,198.79654055740656,189.6960402074029,194.8892622384872,2386800,-0.005272970142934819,-1.0,0.04687590854721904,-0.28450945386721627,2,5
2010-05-27,195.4530792236328,196.53128735426557,189.3201346557368,195.72016342543512,1462600,0.02686824342713834,3.0,0.04688533789761324,-0.27196364293861064,3,5
2010-05-28,189.0926513671875,195.73997729138847,188.43978549572145,195.53224175273337,1650600,-0.032541968035038504,-3.0,0.047722284490386416,-0.2452058493128535,4,5
2010-06-01,183.00912475585935,190.77423360936768,182.88054096024723,189.05304615015405,1474100,-0.0321722000688166,-3.0,0.04618279943957534,-0.2997801539126026,1,6
2010-06-02,187.7769927978516,187.7769927978516,181.87155706372124,183.5927444198109,1595100,0.026052624689357762,3.0,0.046006104338592695,-0.29398978501149475,2,6
2010-06-03,183.10806274414065,187.76713141706185,180.20974242133184,187.4703728548903,1816400,-0.024864228487976647,-2.0,0.045970849360773135,-0.29452203688320877,3,6
2010-06-04,176.60911560058594,186.75816521915755,175.71885497506156,178.40943987528067,1827400,-0.035492413857470484,-4.0,0.04569019106034808,-0.2835467895828223,4,6
2010-06-07,174.4823760986328,180.7043443394996,174.38345154153689,177.65766721868584,1431300,-0.012042070958346751,-1.0,0.04545229416436722,-0.2771074065815877,0,6
2010-06-08,174.8186798095703,178.3896386511376,171.44557006450225,175.72872829715243,1806000,0.0019274365609704969,0.0,0.04442921496291524,-0.2432861020106306,1,6
2010-06-09,173.2953338623047,180.2690915856842,172.80074133006167,176.42116228858433,1523400,-0.008713862551330331,-1.0,0.0442649033917398,-0.2158924966247271,2,6
2010-06-10,179.2799072265625,179.6459008718571,174.65051325779555,176.9652026952959,1239000,0.034533955594055366,3.0,0.03497294927194685,-0.29853855959154585,3,6
2010-06-11,181.9210357666016,182.44530266326188,176.45084335898215,177.01467101847274,921300,0.014731871412123176,1.0,0.027311016324856788,-0.17456853839265196,4,6
2010-06-14,182.14854431152344,185.5711314100788,181.9111344529837,184.31486210267715,975500,0.0012505895426724312,0.0,0.027788240110450543,-0.1559114982571489,0,6
2010-06-15,183.76092529296875,185.3535139513968,182.16833663454076,184.47313979200285,908700,0.008852011348977395,1.0,0.027625709252225836,-0.1350462681516723,1,6
2010-06-16,194.28585815429688,196.6500100495584,190.63576255044265,190.9028467661257,2239500,0.05727514075447915,6.0,0.027592253767883452,-0.10807559292489466,2,6
