Date,Close,High,Low,Open,Volume,Daily Return,Daily Return(%),Monthly Volatility,Monthly Momentum,Day of week,Month_Number
2010-02-04,9.06138038635254,9.096183889697086,8.663623759341466,8.725773143406538,2708000,0.03374947491351388,3.0,0.013418444966608045,-0.06523483738022084,3,2
2010-02-05,8.991774559020996,9.07132666190673,8.899793714370503,9.053923957792192,1864000,-0.007681592027234507,-1.0,0.01536059696426402,-0.04482019906729284,4,2
2010-02-08,8.999231338500977,9.130987734177594,8.964427833856163,9.014146584306252,919200,0.0008292889719414553,0.0,0.015403933472270705,-0.05166127968851919,0,2
2010-02-09,9.111099243164062,9.135958615168152,8.9171925379,9.024089544501242,1438800,0.012430828862514787,1.0,0.015141905934206761,-0.060717652246532805,1,2
2010-02-10,9.190650939941406,9.210538249109712,9.036519789346546,9.121042987041552,1600000,0.008731295165841813,1.0,0.01517663933608513,-0.03350581559858923,2,2
2010-02-11,9.362180709838867,9.364666267283589,9.135957049405595,9.160816417149173,1275600,0.01866350610183809,2.0,0.01533120741239345,-0.026349526025770564,3,2
2010-02-12,9.528743743896484,9.54614549506443,9.262743515348632,9.33483702637259,3095600,0.01779105095488842,2.0,0.01578273150623856,0.0015741421568002956,4,2
2010-02-16,9.481507301330566,9.563544921169823,9.349750946427124,9.543656668484882,1154000,-0.004957258148134636,-0.0,0.01508067099077469,-0.0077658840337948565,1,2
2010-02-17,9.62818431854248,9.645586073563786,9.474054081928973,9.474054081928973,1016800,0.015469799531908857,2.0,0.01510575212010758,-0.009865018274324955,2,2
2010-02-18,9.551117897033691,9.598352040841178,9.469081194528988,9.573491715593963,822400,-0.008004252822660485,-1.0,0.014663555242859653,0.02759369394595179,3,2
2010-02-19,9.5560884475708,9.595864013338009,9.466594135837807,9.503883195312149,720000,0.0005204155775999642,0.0,0.01446163594229819,0.004444395857928107,4,2
2010-02-22,9.740050315856934,9.752480001434549,9.454162805950684,9.588405686167055,1734000,0.01925074985392139,2.0,0.014415894143712466,0.009718719713078805,0,2
2010-02-23,9.740050315856934,9.809657313750954,9.63563887069168,9.737563809746876,2623600,0.0,0.0,0.01349269272782429,0.05777526494915808,1,2
2010-02-24,9.963790893554688,9.99113582920315,9.715193327727368,9.730108574749355,1567600,0.022971193211753782,2.0,0.013193350087671012,0.06844841431412751,2,2
2010-02-25,9.99362087249756,10.003565001272342,9.856892420979388,9.88175179459203,1782800,0.0029938383153111925,0.0,0.013673722642178832,0.099890535131401,3,2
2010-02-26,9.958815574645996,10.045824314927852,9.904123824569318,9.971245259211384,1679600,-0.0034827514767293843,-0.0,0.013388400249369069,0.1117254787633124,4,2
2010-03-01,10.120406150817873,10.187527603898848,9.951359738982312,10.013509127206431,1244800,0.016225882983842865,2.0,0.013142070264901062,0.11805745376810761,0,3
2010-03-02,10.182555198669434,10.192499328050747,10.065714997574304,10.11792025433964,1596800,0.0061409638037637215,1.0,0.01276886305887151,0.1490261659697305,1,3
2010-03-03,9.886723518371582,10.25216217749846,9.871807325723283,10.237245984850164,2498000,-0.029052794168649143,-3.0,0.012571243832814006,0.15968314484777468,2,3
2010-03-04,9.99362087249756,10.015994688078663,9.894181481398352,9.943901176947955,1970000,0.010812212349960104,1.0,0.014663697759178924,0.13143644124770582,3,3
2010-03-05,9.573491096496582,9.97870536273963,9.483996776367343,9.797229267630629,5188000,-0.04203979532155111,-4.0,0.014430485270851485,0.12290502853160312,4,3
2010-03-08,9.757453918457031,9.777342177817752,9.571005754410082,9.60580925996694,2187600,0.01921585554383287,2.0,0.01728257043168492,0.09217260197992827,0,3
