Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,CNP,CNP,CNP,CNP,CNP,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,8.158968925476074,8.232017071453615,8.147730419398629,8.198302624984207,2239700,CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310,1882
2010-01-05,8.097163200378418,8.20954565095528,8.029733730032302,8.18145044022241,4227100,CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310,1882
2010-01-06,8.018497467041016,8.11964142624098,7.967925219500078,8.11964142624098,5716100,CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310,1882
2010-01-07,8.097163200378418,8.10278245687771,7.91735127945544,8.035352986531594,5962900,CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310,1882
2010-01-08,8.001635551452637,8.080303510887509,7.967921094467428,8.052207772812082,4050400,CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310,1882
2010-01-11,8.057827949523926,8.057827949523926,7.9847792365227415,8.035351463668308,2175000,CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310,1882
2010-01-12,8.108404159545898,8.248882399117342,8.046593391170012,8.046593391170012,4563400,CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310,1882
2010-01-13,8.17583179473877,8.17583179473877,8.074687313719728,8.10278306243411,2294300,CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310,1882
2010-01-14,8.215166091918945,8.2264046065379,8.09716436782928,8.18707034125343,2262200,CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310,1882
2010-01-15,8.209545135498047,8.226402903937464,8.063448226862091,8.175830670382734,3405900,CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310,1882
2010-01-19,8.327548027038574,8.37250101088069,8.215165567433285,8.220784824384008,3809100,CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310,1882
2010-01-20,8.35002326965332,8.366881037983282,8.20954508219419,8.288213060088735,3133200,CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310,1882
2010-01-21,8.181452751159668,8.3725027031635,8.114022725885437,8.33316896832182,5705400,CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310,1882
2010-01-22,7.979163646697998,8.181452648211367,7.973544388682195,8.153356894014294,3879300,CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310,1882
2010-01-25,8.052210807800293,8.102783048221104,7.9791620756237664,8.069068042646618,3653400,CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310,1882
