Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,DD,DD,DD,DD,DD,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,27.942136764526367,27.951712506862687,26.620679189044242,27.00371144903206,11897253,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-01-05,29.187007904052734,29.23488407698013,27.769789516310098,27.769789516310098,13197639,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-01-06,29.704084396362305,30.316931921893094,29.474264007753124,29.665778859481495,15435795,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-01-07,29.72322654724121,29.972198364334186,29.368924152215754,29.694499326022928,7254844,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-01-08,29.82856559753418,30.010504685617935,29.110379853607583,29.455109113353743,5432631,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-01-11,29.455121994018555,30.297790179122593,29.187001115383257,30.297790179122593,7205170,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-01-12,29.55087661743164,29.771118746623106,28.909299152816445,29.110389792513,7219152,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-01-13,29.445531845092773,29.847715532853822,28.861409078681707,29.52213777294541,4414061,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-01-14,29.23487091064453,29.531721528166734,29.052931782620362,29.244449220760153,3733656,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-01-15,28.717784881591797,29.244453420676297,28.487964436125672,29.244453420676297,6774963,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-01-19,29.378503799438477,29.416806766156462,28.459227465137072,28.459227465137072,4273961,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-01-20,29.07207679748535,29.27316993443614,28.545408451289678,29.263594192987764,5998441,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-01-21,27.453767776489258,29.11037596391495,27.415464815694886,28.985891341333236,9931708,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-01-22,26.582378387451172,27.68359397900041,26.56322690121676,27.271834458425275,7956679,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-01-25,27.204805374145508,27.453777271955605,26.907957325317962,26.994139016913056,5777541,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-01-26,26.89836883544922,27.53037017419482,26.716427228429943,26.91752031339502,5329208,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-01-27,27.042016983032227,27.099471442499098,26.34298515964997,26.927108064098483,6918787,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-01-28,26.20891761779785,27.252678582522222,25.89291814582901,27.204799874648156,6652288,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-01-29,25.940799713134766,27.214378616040143,25.940799713134766,26.524922580120588,8916300,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-02-01,27.415468215942383,27.444195440101105,26.23764432583038,26.35255578900008,9631906,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-02-02,26.400428771972656,27.176066222624584,25.605637276166284,26.726003908515878,19673221,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-02-03,26.410017013549805,26.888806772243605,25.921651511012833,26.524925939667803,9518435,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-02-04,25.481157302856445,26.17061322520258,25.308793963903593,25.998249886249727,10375827,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-02-05,25.39497947692871,25.854617683570954,24.48527880614646,25.289646309404162,15368415,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-02-08,25.06940269470215,25.77801016295358,24.762976386884397,25.394977919815126,10514451,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-02-09,26.61109733581543,26.812190445234773,25.28964006378878,25.414124685574652,14286751,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-02-10,26.342987060546875,26.639835122546124,25.931227504786612,26.39086578022417,7914944,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-02-11,26.67813491821289,26.783468088947068,25.892921442568365,26.275953720864205,6596431,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-02-12,26.61109733581543,26.93667506702064,25.902489999115232,26.228065163785967,7033593,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-02-16,27.271833419799805,27.29098490530485,26.678134802608287,26.840924995936334,6060833,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-02-17,27.520801544189453,27.702740631671706,27.118617836904377,27.27182970004733,6035679,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-02-18,28.286874771118164,28.36348073341308,27.415479383477663,27.52081258163317,7224070,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-02-19,27.99002456665039,28.344327115674925,27.769779875045415,28.066630523196235,7147977,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-02-22,28.114501953125,28.353895505231993,27.779348413640214,28.15280492146212,4995469,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-02-23,27.654861450195312,28.1528025634057,27.386740694293064,27.93256051391457,6042284,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-02-24,27.76978874206543,28.00918243271069,27.425061827536247,27.78894023731705,6359582,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-02-25,27.118629455566406,27.223962656605973,26.697294084872215,27.022872000075893,7994128,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-02-26,27.10904884338379,27.5303841384396,26.994139917423695,27.176079050193845,5483500,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-03-01,27.472919464111328,27.578252607090377,27.128190247827213,27.223947650535436,6419163,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-03-02,27.654861450195312,27.99001496160791,27.58783126121975,27.83680053455755,7377027,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-03-03,28.353899002075195,28.708204069424447,27.63571569064677,27.77935183962539,8362997,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-03-04,28.3060245513916,28.698632650966815,28.114509657225984,28.44966072201581,6447899,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-03-05,28.727365493774414,29.052940877420752,28.44966627648104,28.468817769636708,6929045,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-03-08,28.24855613708496,28.81352736248804,28.191101697200015,28.679467002756496,4970035,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-03-09,27.980440139770508,28.344320920364332,27.846379745117293,28.14323032838451,5957760,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-03-10,27.82724380493164,28.296458014863916,27.674031839741197,27.96130684100982,5914269,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-03-11,28.152803421020508,28.152803421020508,27.396317270145364,27.712316742084976,5343119,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-03-12,28.57415008544922,28.938031010525954,28.2773019508503,28.420938145011068,6436025,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-03-15,28.727365493774414,28.746516986930082,28.325181570969207,28.478393516214542,6333023,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
2010-03-16,29.148681640625,29.27316884134025,28.641167362812112,28.79437922026506,7538768,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700,2017 (1802)
