Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,DELL,DELL,DELL,DELL,DELL,,,,,,,,
Date,,,,,,,,,,,,,
2016-08-17,11.218981742858887,11.479888150687442,11.218981742858887,11.349434946773163,271519,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",2024-09-23,1571996,2016
2016-08-18,11.153754234313965,11.479887217591257,11.088527637658506,11.479887217591257,1767366,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",2024-09-23,1571996,2016
2016-08-19,11.349431991577148,11.349431991577148,11.127661248026373,11.140706742341866,4735900,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",2024-09-23,1571996,2016
2016-08-22,11.388569831848145,11.897337077955186,11.114617078384867,11.218980158742923,2245909,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",2024-09-23,1571996,2016
2016-08-23,11.74079418182373,11.975609568961772,11.34943372558642,11.414660320525249,1483020,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",2024-09-23,1571996,2016
2016-08-24,11.897336959838867,13.045325512754408,11.766883775639668,13.045325512754408,2525979,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",2024-09-23,1571996,2016
2016-08-25,11.847765922546387,12.066926541729954,11.766884552894416,12.066926541729954,371646,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",2024-09-23,1571996,2016
2016-08-26,11.936471939086914,11.988653032729372,11.86863607404959,11.988653032729372,223415,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",2024-09-23,1571996,2016
2016-08-29,12.079971313476562,12.262606481743767,11.949519015092477,11.949519015092477,1390019,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",2024-09-23,1571996,2016
2016-08-30,11.779929161071777,12.197379732660872,11.62338586167914,12.066926539864825,4805026,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",2024-09-23,1571996,2016
