Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,DPZ,DPZ,DPZ,DPZ,DPZ,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,7.009171009063721,7.009171009063721,6.791143438274052,6.88804432414731,401300,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
2010-01-05,7.073770523071289,7.081845788190012,6.871893515701216,6.984944146964669,479300,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
2010-01-06,7.2756476402282715,7.324097691472368,7.073770629811946,7.089920390193419,883000,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
2010-01-07,7.566349983215332,7.582500513109967,7.2917971358037335,7.3240974254933535,585900,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
2010-01-08,7.566349983215332,7.566349983215332,7.364472980130292,7.509824668783409,381700,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
2010-01-11,7.622875690460205,7.630950955823648,7.429073942335722,7.6067259298330105,657500,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
2010-01-12,8.010478019714355,8.398081422233032,7.824750811766195,7.865126358720099,2176900,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
2010-01-13,8.30118179321289,8.309257057811937,8.067004510537904,8.196205663724157,1474700,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
2010-01-14,9.132916450500488,9.342867959745563,8.640336043568556,8.721087157193372,5085400,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
2010-01-15,9.149065017700195,9.20559032780421,8.939112765743007,9.124839994812701,1827800,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
2010-01-19,9.22174072265625,9.447842729891198,9.13291512662456,9.1894404359084,2007900,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
2010-01-20,9.011791229248047,9.197518512412024,8.963341169361666,9.197518512412024,1559400,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
2010-01-21,8.906814575195312,9.076391315525404,8.882589546605235,9.036015754475425,1078500,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
2010-01-22,8.939117431640625,8.979493004260771,8.696865536119736,8.898742629120473,731200,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
2010-01-25,9.060240745544434,9.367093904032002,9.011789922583363,9.205591674228236,792500,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
2010-01-26,8.882586479187012,9.044087897515965,8.801835384972781,9.027938140732823,735800,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
2010-01-27,9.019865989685059,9.06831604685216,8.801838422133782,8.922965105251082,465100,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
2010-01-28,8.97948932647705,9.149066045947107,8.834137632617093,9.084465464253721,433400,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
2010-01-29,9.124839782714844,9.213665377970717,9.011788395034989,9.036013417359396,847400,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
2010-02-01,9.173293113708496,9.302495075957786,9.100618020699326,9.189443647777102,771900,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
2010-02-02,8.97948932647705,9.213666627640492,8.85028816309028,9.1813663367938,1196600,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
2010-02-03,8.947189331054688,9.044090206794305,8.906813773638254,8.971414357464665,635000,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
2010-02-04,8.640336036682129,8.939113924696311,8.535359897093413,8.890663872639792,1065300,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
2010-02-05,8.575735092163086,8.753387072443203,8.381933351911862,8.599960117169573,716700,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
2010-02-08,8.599961280822754,8.769538019012769,8.527286195969689,8.591886784794479,568800,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
