Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,EIX,EIX,EIX,EIX,EIX,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,20.0638484954834,20.27158498122631,20.02345553450575,20.236961499852065,1931500,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-01-05,19.884963989257812,20.156175759335895,19.827260387699255,20.0119145541882,2485100,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-01-06,20.133089065551758,20.185023176175527,19.83879723951761,19.902272508196756,2673000,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-01-07,20.011917114257812,20.10424420931344,19.93113118124059,20.081161885236636,2059800,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-01-08,19.908044815063477,20.02922368998533,19.781094259668507,19.95997893306586,1560100,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-01-11,20.294666290283203,20.34660041476259,19.97152258352383,19.97152258352383,2939100,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-01-12,20.27158546447754,20.358140868099614,20.16194553813771,20.21965134180376,2237200,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-01-13,20.456241607666016,20.496634573504373,20.22542277323123,20.288898062763373,1535700,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-01-14,20.4447021484375,20.47355395483172,20.288899752406653,20.39853749720537,1443700,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-01-15,20.33505630493164,20.663971609584618,20.144630496316314,20.6235786564694,2461600,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-01-19,20.64666175842285,20.669744078185204,20.300435766992244,20.317746406188423,1642900,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-01-20,20.39276123046875,20.519711777860923,20.110008338891003,20.398530709327034,2026100,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-01-21,20.133089065551758,20.583183223457212,19.98305841333355,20.46777604540512,2246300,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-01-22,19.544509887695312,20.08116181368509,19.538740407322457,20.034999366947552,2568900,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-01-25,19.677221298217773,19.827254136972854,19.492567189942754,19.7406965606718,1531600,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-01-26,19.734933853149414,19.80417861719517,19.48103271622937,19.648376247153696,2691800,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-01-27,19.648372650146484,19.70607844399661,19.36562196465923,19.665685488927004,1976900,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-01-28,19.313684463500977,19.729155100100023,19.296371627756862,19.67722099536882,2243500,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-01-29,19.22713279724121,19.544507000908663,19.20405047665599,19.371393999021983,2101200,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-02-01,19.423328399658203,19.452180200179942,19.10018251056138,19.313690677175074,1843500,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-02-02,19.619522094726562,19.619522094726562,19.250213795731888,19.463719743353604,1707600,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-02-03,19.388704299926758,19.584899618969224,19.342541860814464,19.49834422016447,1710200,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-02-04,18.753957748413086,19.29637911853206,18.74241658718697,19.27329899733125,2790700,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-02-05,18.73086929321289,18.82896803089028,18.39618343161629,18.72509981511455,2013700,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-02-08,18.540449142456055,18.817430368892,18.517366823273612,18.800119730130728,1262300,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-02-09,18.782808303833008,19.01362711052809,18.6385470999614,18.678940060945347,1441900,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-02-10,18.678939819335938,18.794349221190675,18.51159849796038,18.75972574025888,1158600,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-02-11,18.800119400024414,18.846281836327627,18.471201860577796,18.684710007389768,1898100,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-02-12,18.805885314941406,18.81742647214266,18.580838252643577,18.77126184333764,1893500,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-02-16,19.244441986083984,19.25021366642075,18.875133689570095,18.903985487500663,1511800,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-02-17,19.221363067626953,19.521426627576915,19.146346627326658,19.51565494688008,1622500,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-02-18,19.394479751586914,19.56182330356544,19.169432589185543,19.169432589185543,1542600,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-02-19,19.758012771606445,19.85033984151461,19.26752342420289,19.30214690088757,2108100,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-02-22,19.509883880615234,19.908043967515162,19.49834272141148,19.786865097752276,1766200,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-02-23,19.215595245361328,19.532969508627104,19.186743439837468,19.43487292959565,1862800,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-02-24,19.146347045898438,19.32523173014026,18.984775202874385,19.23290464823348,2401700,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-02-25,18.892440795898438,18.938603218327877,18.66739155733478,18.869358484058512,2907500,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-02-26,18.828969955444336,19.042475886917085,18.77703584224816,18.921297023209654,2342800,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-03-01,19.22713279724121,19.267525757639728,18.9732338745575,18.9732338745575,2437000,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
2010-03-02,19.17519760131836,19.44640934985866,19.08864220585416,19.313689315812656,2757300,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
