Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,ERIE,ERIE,ERIE,ERIE,ERIE,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,25.49827003479004,25.634349090413004,25.36867470085967,25.36867470085967,43600,ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",2024-09-23,922621,1925
2010-01-05,25.1224365234375,25.621386417551104,24.97339992730574,25.621386417551104,105400,ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",2024-09-23,922621,1925
2010-01-06,25.12891960144043,25.13540085170061,24.889165251140792,25.057640679814742,85300,ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",2024-09-23,922621,1925
2010-01-07,25.226116180419922,25.24555498560568,24.94748177068584,24.973401825515168,48500,ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",2024-09-23,922621,1925
2010-01-08,25.14835548400879,25.258511996067288,24.96691759374746,25.141874235139355,31000,ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",2024-09-23,922621,1925
2010-01-11,25.14835548400879,25.206674364472754,24.97987761961414,25.206674364472754,22400,ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",2024-09-23,922621,1925
2010-01-12,24.94748306274414,25.206678680716497,24.915084228465748,25.09651967792283,56000,ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",2024-09-23,922621,1925
2010-01-13,25.174272537231445,25.271471493262073,24.947478268989485,24.986358345776164,57000,ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",2024-09-23,922621,1925
2010-01-14,25.16779136657715,25.24554904088258,24.953954672397334,25.23258901651969,47700,ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",2024-09-23,922621,1925
2010-01-15,24.94748306274414,25.148359790266348,24.915084228465748,25.070599621751075,40600,ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",2024-09-23,922621,1925
2010-01-19,25.2779541015625,25.297395378838665,24.882684384410574,24.928043244934113,54600,ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",2024-09-23,922621,1925
2010-01-20,25.11595344543457,25.27795005619991,24.882680402305056,25.271471279393026,44000,ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",2024-09-23,922621,1925
2010-01-21,24.92156410217285,25.232597374289746,24.88268648807869,25.232597374289746,62600,ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",2024-09-23,922621,1925
2010-01-22,24.746597290039062,25.264988336505535,24.727158490951666,25.264988336505535,57400,ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",2024-09-23,922621,1925
2010-01-25,25.05115509033203,25.06411511545601,24.785480754970628,24.966916162962207,29200,ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",2024-09-23,922621,1925
