Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,EXC,EXC,EXC,EXC,EXC,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,19.032398223876953,19.16089040273984,18.98956680344599,19.1063786323868,6123375,EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957-03-04,1109357,2000
2010-01-05,18.720905303955078,19.05576427169205,18.569052399225367,19.05576427169205,7321805,EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957-03-04,1109357,2000
2010-01-06,18.833818435668945,18.83771257950822,18.510641980746584,18.71700661506985,5732778,EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957-03-04,1109357,2000
2010-01-07,18.8961238861084,18.931167025809675,18.736480602546525,18.736480602546525,7188054,EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957-03-04,1109357,2000
2010-01-08,18.806564331054688,18.88054265475229,18.7715211999869,18.806564331054688,7136601,EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957-03-04,1109357,2000
2010-01-11,19.024608612060547,19.110271446962738,18.837712614160004,18.880541949181236,7142629,EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957-03-04,1109357,2000
2010-01-12,19.10637092590332,19.230968910392715,18.89221807498626,19.00124157171813,6472894,EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957-03-04,1109357,2000
2010-01-13,19.336111068725586,19.421773931760697,19.114169785748246,19.129746366249574,5070754,EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957-03-04,1109357,2000
2010-01-14,19.110273361206055,19.33221459352615,19.07912228974406,19.32832044928964,7867744,EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957-03-04,1109357,2000
2010-01-15,18.92337417602539,19.083015338688785,18.802670288632083,19.032397713809655,8902420,EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957-03-04,1109357,2000
2010-01-19,19.18425178527832,19.188145929111556,18.84939289935756,18.876649823760346,6632301,EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957-03-04,1109357,2000
2010-01-20,18.864971160888672,19.106381055187192,18.70532997370347,19.086912414561652,13118374,EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957-03-04,1109357,2000
2010-01-21,18.7092227935791,19.063548279500854,18.55736782393828,18.911695392290156,10182586,EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957-03-04,1109357,2000
2010-01-22,18.148527145385742,18.701430981514736,18.136844714580445,18.662493710356546,9877511,EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957-03-04,1109357,2000
2010-01-25,17.946067810058594,18.374373943576632,17.934385370644,18.343224936666914,7763855,EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957-03-04,1109357,2000
2010-01-26,18.144643783569336,18.222516289728848,17.755272923047894,17.977214251072187,10961116,EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957-03-04,1109357,2000
2010-01-27,18.02004051208496,18.14463856856002,17.8175678894016,18.14463856856002,8557387,EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957-03-04,1109357,2000
2010-01-28,17.895442962646484,18.300388266608707,17.801995968591207,18.300388266608707,5567342,EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957-03-04,1109357,2000
2010-01-29,17.763050079345703,18.378253945709123,17.75526179239669,18.300379405937655,8096410,EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957-03-04,1109357,2000
2010-02-01,17.856504440307617,18.086231902285785,17.708543603551064,17.848716151033994,6040237,EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957-03-04,1109357,2000
