Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,FIS,FIS,FIS,FIS,FIS,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,18.60588836669922,18.71524239896526,18.309069640618418,18.45747825874034,4623700,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",2006-11-10,1136893,1968
2010-01-05,19.402620315551758,19.433863695741888,18.69181591063682,18.738681725840717,4868800,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",2006-11-10,1136893,1968
2010-01-06,19.293264389038086,19.472917904854217,19.168287900658406,19.472917904854217,2481200,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",2006-11-10,1136893,1968
2010-01-07,19.18390464782715,19.28544895357099,19.066739401830887,19.28544895357099,3384900,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",2006-11-10,1136893,1968
2010-01-08,18.785539627075195,18.98081551296927,18.637131026478176,18.74648504583109,2460000,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",2006-11-10,1136893,1968
2010-01-11,18.691810607910156,18.941763537871033,18.543400497057018,18.902708951253512,3010100,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",2006-11-10,1136893,1968
2010-01-12,18.629316329956055,18.644938755468168,18.473095054507922,18.590260266175772,2038700,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",2006-11-10,1136893,1968
2010-01-13,18.941762924194336,19.01987358473572,18.37936885000285,18.37936885000285,3467000,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",2006-11-10,1136893,1968
2010-01-14,19.019868850708008,19.058923426339586,18.81678177978337,18.933946996514663,1171000,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",2006-11-10,1136893,1968
2010-01-15,18.738676071166992,19.058928443121278,18.668376624656347,19.012062642059835,2062000,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",2006-11-10,1136893,1968
2010-01-19,19.066740036010742,19.08236246661971,18.637133623122974,18.65275456389496,1818400,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",2006-11-10,1136893,1968
2010-01-20,18.941762924194336,19.097984245277104,18.68399878729362,18.91051806404301,2168400,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",2006-11-10,1136893,1968
2010-01-21,19.012052536010742,19.480714767013893,18.824587941576713,18.94175312686846,4964700,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",2006-11-10,1136893,1968
2010-01-22,18.71525001525879,19.121424428737917,18.70744028677895,18.926148440315746,3800400,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",2006-11-10,1136893,1968
2010-01-25,18.80115509033203,19.051107893303723,18.70742353413576,18.863643291074954,3397900,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",2006-11-10,1136893,1968
