Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,FITB,FITB,FITB,FITB,FITB,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,6.453571319580078,6.517342031151034,6.2558832084027545,6.300522341604878,15429100,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-01-05,6.625756740570068,6.632133329878808,6.332412346662177,6.351543330914446,12700700,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-01-06,6.664017200469971,6.695902572447537,6.5364763207225955,6.568361692700161,13140600,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-01-07,7.065771579742432,7.206066854562972,6.6066237946152375,6.632131971113254,34759200,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-01-08,7.072147369384766,7.244327374462146,6.989245660213147,7.014753831638046,19963300,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-01-11,7.1422953605651855,7.199688903710328,7.014754491444221,7.180557925382892,15251700,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-01-12,7.008377552032471,7.193311971056052,6.989246573005992,7.091279272031022,11348400,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-01-13,7.346358299255371,7.442013759210877,6.817062848592151,7.021128762346522,26686300,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-01-14,7.5057878494262695,7.620574331402414,7.276213669148269,7.2889680605694265,26508800,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-01-15,7.244327068328857,7.473901209614311,7.091278046247057,7.454769625732022,25443100,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-01-19,7.26345682144165,7.276210599319141,7.110407229773567,7.174177943648818,17267400,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-01-20,7.2124433517456055,7.442016917978992,7.142295417052162,7.148672612599356,25445100,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-01-21,7.665214538574219,8.028706200916663,7.6205747741693814,7.780001027219632,66585800,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-01-22,7.716229438781738,8.105229204079926,7.454769922126507,7.620573340055353,39367700,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-01-25,7.964936256408691,8.207264258363407,7.716231665895316,7.811887184067698,32935500,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-01-26,7.467523574829102,8.079720235234388,7.42288443139376,7.882031470575687,35793800,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-01-27,7.767248153686523,7.882034655787055,7.448395610210564,7.524920147665239,24246600,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-01-28,7.818263053894043,8.092475776592247,7.767246705105407,7.964934904620659,32530500,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-01-29,7.933047771453857,8.111605560692164,7.843769484997418,8.092473978026314,30962500,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-02-01,7.971311092376709,8.066966582220122,7.869278407700331,7.939425726374648,19895900,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-02-02,7.958558082580566,8.003197845988288,7.703476326663065,7.9585580825805655,20103900,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-02-03,7.652458190917969,7.875655131418171,7.5504255123451,7.875655131418171,28331800,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-02-04,7.1550493240356445,7.614196425436507,7.129541151735596,7.537671908536363,32057800,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-02-05,7.180558681488037,7.30809956403892,6.899968131713196,7.174181485319768,22197900,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-02-08,7.26345682144165,7.397374834049599,7.021128960143334,7.180555136668863,29759000,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-02-09,7.31447696685791,7.448395049360554,7.2762143969301905,7.339985144088751,18606400,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-02-10,7.454771041870117,7.588689113671993,7.212443681621835,7.327230165907109,17858100,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-02-11,7.569558620452881,7.626952170362899,7.391001382637309,7.505788482457344,17497900,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-02-12,7.4037580490112305,7.537676181543569,7.263463325911175,7.524922392244993,20010100,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-02-16,7.703474998474121,7.728983169667899,7.442016091697207,7.480278044406487,15697800,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
2010-02-17,7.684343338012695,7.773621625161436,7.582310662321151,7.754490650509951,14963900,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858
