Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,FOXA,FOXA,FOXA,FOXA,FOXA,,,,,,,,
Date,,,,,,,,,,,,,
2019-03-12,34.75954055786133,34.75954055786133,34.75954055786133,34.75954055786133,10000,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019
2019-03-13,36.36030578613281,36.49751588297165,35.39984557645413,35.674262280734084,20477400,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019
2019-03-14,37.18355941772461,37.86960292366493,36.36030581483713,36.36030581483713,6248600,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019
2019-03-15,38.14401626586914,38.29951777193101,37.72324379010449,37.851304674954825,7107300,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019
2019-03-18,38.14401626586914,38.372697414358285,37.549443884038396,38.372697414358285,4020900,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019
2019-03-19,36.89999771118164,38.144023968478486,36.44263532184592,38.00681385591853,10118500,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019
2019-03-20,35.32666778564453,37.32991715998451,34.9790749036605,37.03720552810434,15683200,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019
2019-03-21,36.60728454589844,36.65302008505929,35.44558370634343,35.67426489154564,12751700,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019
2019-03-22,35.41813659667969,36.579837223560574,34.47596791334006,36.524952492976595,10898000,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019
2019-03-25,34.247291564941406,35.63767352982591,34.20155602775002,35.573643079878416,9338900,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019
2019-03-26,34.338768005371094,35.0156623673513,34.31132389003816,34.43938828632983,6287100,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019
2019-03-27,33.77163314819336,34.67721210700812,33.62527734054021,34.32047004394093,5578100,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019
2019-03-28,33.295982360839844,33.98202592468079,33.241097619549286,33.707605707626,5326200,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019
2019-03-29,33.57954025268555,33.76248587614469,33.06729669427701,33.43318445179774,5895300,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019
2019-04-01,33.707603454589844,33.98202365330222,33.57954255620288,33.762488192211876,5311200,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019
2019-04-02,33.18621063232422,34.00946424897744,32.83861776253532,33.80822370059604,6704600,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019
2019-04-03,33.00326919555664,33.44233663741399,32.838618468685404,33.268536709384435,8393500,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019
2019-04-04,33.62527084350586,33.66186066069873,32.93922747342614,33.113027360393765,4908400,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019
2019-04-05,34.46682357788086,34.62232508664268,33.56124467880548,33.65271923342785,7344900,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019
2019-04-08,34.27473068237305,34.46682200421342,34.08721047100699,34.39364236385672,3393300,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019
2019-04-09,34.12837600708008,34.43938250997157,34.00031163226805,34.228992781764816,5725900,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019
2019-04-10,33.36915969848633,34.329620023717304,33.259393701448026,34.14667785845284,4828400,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019
2019-04-11,33.9271354675293,33.99116591021511,32.9209398058402,33.451478258007974,4791400,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019
2019-04-12,34.32961654663086,34.41194190842077,33.360010607102765,33.982023676315926,6368500,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019
2019-04-15,34.32961654663086,34.36620637173699,33.83566786528917,34.265586097394014,3927100,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019
