Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,GLW,GLW,GLW,GLW,GLW,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,13.452539443969727,13.58321376649391,13.280600029203981,13.390641149710568,16539100,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-01-05,13.500687599182129,13.796423719198575,13.39064643524031,13.651995183447742,18060900,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-01-06,13.328744888305664,13.603849043323699,13.280602054715656,13.459419230759847,13448300,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-01-07,13.459416389465332,13.480049590274149,13.23933416134552,13.294354718375473,9861300,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-01-08,13.6795072555542,13.700140469391926,13.314996326981737,13.37689465670053,11434300,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-01-11,14.092154502868652,14.339747683877478,13.906459617112034,14.181563734585685,25617100,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-01-12,13.872078895568848,14.092161245413594,13.768915458053407,13.995875545305088,16162900,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-01-13,13.968362808227539,14.160935495596432,13.86519938391332,13.988996017808027,15961300,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-01-14,13.89271068572998,14.009629586091453,13.796423683683143,13.9339757941534,14059800,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-01-15,13.521317481994629,13.920216931070389,13.404398610103776,13.920216931070389,16443600,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-01-19,13.61072826385498,13.61072826385498,13.2393384011234,13.335624078812042,18925800,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-01-20,13.59697151184082,13.638236610993808,13.301235459024394,13.507562266583186,16125600,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-01-21,13.486932754516602,13.92021965162031,13.418156702587451,13.651994492070113,16865700,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-01-22,12.764785766601562,13.438789479687113,12.723520661488257,13.438789479687113,16469900,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-01-25,12.874828338623047,13.06052329976426,12.744155272748133,12.874828338623047,17693500,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-01-26,12.826683044433594,12.867948146214808,12.400273931841882,12.84043851562531,26839200,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-01-27,13.16368579864502,13.211828641803386,12.744154371269198,12.82668458474237,17644900,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-01-28,12.799173355102539,13.390644183898491,12.592845223555544,13.218704730172961,22234500,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-01-29,12.434661865234375,12.950480252307361,12.386519025661269,12.799173997678455,20518800,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-02-01,12.489684104919434,12.592847533721361,12.359009728813433,12.489684104919434,16375100,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-02-02,12.867947578430176,12.91609172547687,12.400273384692882,12.530946419866568,18324900,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-02-03,13.033010482788086,13.101785211495846,12.792294996929328,12.82668236128321,12932600,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-02-04,12.551581382751465,12.916093533510107,12.51719401326977,12.902338060999806,16538700,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-02-05,12.41402816772461,12.544702521263147,11.664372036478492,12.448416845915775,32322500,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-02-08,12.269604682922363,12.496564804819025,12.207706348605592,12.407156828469512,11449000,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-02-09,12.214579582214355,12.5034379318942,12.022006911829793,12.379641308917982,18104900,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-02-10,12.049514770507812,12.214576454951166,11.932595913386228,12.20769872079182,12914700,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-02-11,12.345253944396973,12.345253944396973,11.905088027942805,12.07014975469037,14990900,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-02-12,12.303987503051758,12.317742974867029,11.98074178615684,12.228335031655751,15591700,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-02-16,12.482808113098145,12.510319064248044,12.290236702226256,12.427787522592697,13418200,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-02-17,12.386517524719238,12.544701496089711,12.235211288424937,12.53782376101354,12557300,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-02-18,12.372761726379395,12.4071504008481,12.228333228992232,12.34525209859823,10071900,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-02-19,12.57908821105957,12.59284236727454,12.255841271825624,12.255841271825624,13176500,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-02-22,12.214579582214355,12.579091715222779,11.994497279942854,12.579091715222779,21806100,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-02-23,11.836316108703613,11.99450146649389,11.801928728893895,11.918847656759167,23526600,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-02-24,12.070834159851074,12.1605026347387,11.898393671853201,11.905291449247098,16668800,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-02-25,12.070834159851074,12.098425269426661,11.553512695857457,11.85011054571244,31412100,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-02-26,12.160501480102539,12.284658830170946,11.953573440399458,12.008754338694706,20319700,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-03-01,12.257065773010254,12.277757782097467,12.119112906220648,12.208782664318704,8688200,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-03-02,12.146705627441406,12.395018978950711,12.091524736481981,12.346735863813242,12978700,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-03-03,12.146705627441406,12.326043851963592,12.105318972509675,12.194988742578877,12200700,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-03-04,12.07773208618164,12.243274798827008,11.89839381857836,12.243274798827008,13267300,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-03-05,12.484686851501465,12.498482401048621,12.160498015223359,12.208782438638409,14018100,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-03-08,12.657127380371094,12.677819389249722,12.463993631935733,12.567457623176951,13749100,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-03-09,12.691618919372559,12.774390927694851,12.560563787702444,12.636438019029843,13154600,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-03-10,12.746800422668457,12.857162228574257,12.615746600415633,12.712312851679084,10807100,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-03-11,12.657127380371094,12.726103813070583,12.532970064635222,12.705410488575929,12497300,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-03-12,12.443306922912598,12.788187917685786,12.436409145143143,12.788187917685786,11108200,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-03-15,12.470893859863281,12.491587188428431,12.360532072081716,12.388121861218965,12912900,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-03-16,12.746800422668457,12.774391531953158,12.463998130582782,12.581257713809757,22057700,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-03-17,13.02270793914795,13.146865328314195,12.80198427645987,12.815779834282075,20462100,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-03-18,13.271015167236328,13.408968035739614,13.188244498627201,13.271015167236326,16267800,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-03-19,13.374484062194824,13.609003235225753,13.319303157694403,13.374484062194824,24105400,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-03-22,13.395174026489258,13.450354917114309,13.167552688208895,13.243426906174419,17273900,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-03-23,13.574511528015137,13.615896864878948,13.381377763290448,13.498637314084698,14103600,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-03-24,13.422762870788574,13.746951731594482,13.367581984041031,13.740053956299025,12484500,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-03-25,13.581411361694336,13.857315841960032,13.567615808776967,13.650387810664846,16407200,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-03-26,13.650386810302734,13.788338382517699,13.581410366387132,13.64348903434955,14425200,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-03-29,13.864212989807129,13.898700554920529,13.657283652277902,13.712464545829107,13259700,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-03-30,13.912497520446777,13.967678419603269,13.829725513903833,13.857316621290286,13777600,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-03-31,13.940084457397461,14.03665199785736,13.795235120131826,13.795235120131826,13626800,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-04-01,14.057348251342773,14.174607837879917,13.95388421983742,13.988373107416898,15886200,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-04-05,14.250476837158203,14.312555496367636,14.084934184471733,14.133217293719946,8385300,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-04-06,14.105626106262207,14.209090089447207,13.981468800193838,14.209090089447207,10402800,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-04-07,13.843521118164062,14.098733599955324,13.77454466506239,14.029757146853653,12288700,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-04-08,13.671076774597168,13.753848758019766,13.491738573528243,13.746950983099879,16862500,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
2010-04-09,13.567612648010254,13.746950847307678,13.540021548603251,13.698667738961456,12740900,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
