Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,GRMN,GRMN,GRMN,GRMN,GRMN,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,19.087848663330078,19.12343900273684,18.37605771424221,18.637047879755833,2098800,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
2010-01-05,19.135299682617188,19.35477004243158,18.826858002070768,19.075984714555506,1719300,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
2010-01-06,18.992942810058594,19.467469341612638,18.8921057806833,19.099711562498378,1283100,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
2010-01-07,19.0819149017334,19.153095577163562,18.298946705129637,18.838721048843176,2962600,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
2010-01-08,20.04283332824707,20.268232008598932,19.46153806471912,19.645415816441908,3936100,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
2010-01-11,20.339412689208984,20.434317992208022,19.88268021142584,20.226711086277007,1997700,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
2010-01-12,20.05469512939453,20.374999086449648,19.847088240552832,20.114010090366033,2400900,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
2010-01-13,20.5648136138916,20.64192488809384,20.102150494120483,20.214852109351714,2221800,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
2010-01-14,20.87325096130371,21.051200356952307,20.33347670921368,20.363136450302154,2645400,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
2010-01-15,20.837669372558594,21.015616560825585,20.558884011216843,20.96223217807336,2058000,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
2010-01-19,22.006187438964844,22.089231559816664,20.71310125821574,20.760555041559638,3470100,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
2010-01-20,21.442684173583984,21.935004632179613,21.098651101427603,21.935004632179613,2482600,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
2010-01-21,20.262300491333008,21.282534148681417,20.137737711136975,20.48770142410736,4361300,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
2010-01-22,19.823362350463867,20.428384486302196,19.769980240530707,20.226710441022753,2037400,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
2010-01-25,19.858957290649414,20.351280204013914,19.81150576102276,19.817436353705585,1098900,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
2010-01-26,19.663211822509766,20.096217402256794,19.461537773873534,19.829295534544006,1135500,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
2010-01-27,19.906404495239258,19.959788862603247,19.52678107025054,19.592028881775484,1354400,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
2010-01-28,19.46154022216797,20.161467757679848,19.188685466002156,19.97758772285176,1580500,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
2010-01-29,19.164958953857422,19.89454390397473,19.164958953857422,19.597964545582933,1413700,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
2010-02-01,19.295455932617188,19.443745639477687,19.064124351950227,19.182756569982896,1467700,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
2010-02-02,19.740318298339844,19.853019885130596,19.164955971252517,19.289518739338586,1355700,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
2010-02-03,19.615764617919922,19.888617168532026,19.37256955972711,19.58610712550063,1738600,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
2010-02-04,19.111576080322266,19.562375744897263,19.105643225564595,19.491197326853026,2093800,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
2010-02-05,19.212413787841797,19.366636347925546,18.672639352991336,19.194619747340337,1853900,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
2010-02-08,18.92176055908203,19.301382861404754,18.850582155206748,19.23613504838547,968100,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
2010-02-09,18.93362808227539,19.2480026393027,18.625185248742245,19.2480026393027,2129800,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
