Date,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
2010-01-04,14.285058975219728,14.426963420837692,14.211479051330013,14.290315450788496,4260864,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2010-01-05,14.789613723754885,14.952540906642282,14.195716582388442,14.27980841250724,5543449,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2010-01-06,14.621427536010742,15.036630137481287,14.521568437918653,14.53208031739426,6193308,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2010-01-07,14.064321517944336,14.558359457824276,14.017019670485356,14.54259217533795,7470860,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2010-01-08,14.153671264648438,14.206228524521812,13.785770445534808,14.064324030204466,4851722,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2010-01-11,13.985485076904297,14.316595861624863,13.854092487663664,14.316595861624863,4712949,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2010-01-12,14.0222806930542,14.463761559375914,13.812051606862154,13.812051606862154,8576873,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2010-01-13,13.99073600769043,14.200964942000384,13.864598861785884,14.059060518681878,3926993,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2010-01-14,13.7857666015625,13.98022830153024,13.712186672938063,13.96971642312359,3486473,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2010-01-15,13.70693302154541,13.959208494623724,13.50721587792339,13.7647456811767,5188270,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2010-01-19,14.169440269470217,14.185206483278618,13.622844915137083,13.727958374232108,4885987,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2010-01-20,13.812042236328123,14.080083817352572,13.638603250545486,13.990736623677757,3811349,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2010-01-21,12.850245475769045,13.917157535105792,12.844990073889758,13.869855697970491,8063325,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2010-01-22,12.839740753173828,13.149827858838377,12.508629883220369,12.897553421448956,9198784,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
