Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,MKTX,MKTX,MKTX,MKTX,MKTX,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,12.146920204162598,12.326684388917666,12.044197929497425,12.095559475012047,68800,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000
2010-01-05,11.710356712341309,12.112685622513498,11.650434742624471,12.069885265184382,66100,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000
2010-01-06,12.001401901245117,12.044202252110082,11.17106219590785,11.727474920796032,226400,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000
2010-01-07,12.087004661560059,12.206847778845972,11.813078469323054,12.018523113500807,74700,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000
2010-01-08,12.480772018432617,12.557813952036968,12.001401257016704,12.001401257016704,187600,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000
2010-01-11,12.429409980773926,12.574932620222702,12.386608820294057,12.540691855111655,32900,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000
2010-01-12,12.446527481079102,12.58349051429836,12.343805206164658,12.412286722774288,58400,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000
2010-01-13,12.403724670410156,12.788933353918031,12.386604701729166,12.480766570384525,142500,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000
2010-01-14,12.437971115112305,12.583494589122624,12.309568433980534,12.378049972766057,56000,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000
2010-01-15,12.232527732849121,12.489333937385204,11.890120004377291,12.489333937385204,145300,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000
2010-01-19,12.59205436706543,12.823179345023087,12.275327061648314,12.275327061648314,97200,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000
2010-01-20,12.600615501403809,12.669097040838258,12.04420197304348,12.446531629494126,108000,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000
2010-01-21,12.206847190856934,12.746139968119792,11.881559445061985,12.63485725379275,107700,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000
2010-01-22,12.078441619873047,12.540692376264023,12.052761249063622,12.155483548665586,64800,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000
2010-01-25,12.318123817443848,12.489327594734672,12.052757350370067,12.20684115811381,65600,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000
2010-01-26,11.641870498657227,12.223963452135175,11.573388974718643,12.223963452135175,92500,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000
2010-01-27,11.84731674194336,11.864436717161285,11.573390607542354,11.573390607542354,119200,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000
2010-01-28,11.667552947998047,11.890118348695028,11.564830643760436,11.890118348695028,89200,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000
2010-01-29,11.667552947998047,11.82163681253662,11.496349107602027,11.701793716077251,106200,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000
2010-02-01,11.813075065612793,11.83019503951259,11.350824341219276,11.67611200895756,190200,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000
2010-02-02,11.838756561279297,11.91579849207061,11.658992328220997,11.787395818327948,106100,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000
2010-02-03,12.121243476867676,12.737578126169309,11.736034627190772,11.736034627190772,197200,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000
2010-02-04,11.342264175415039,12.309566803055652,11.299463015253835,12.03564068420671,144900,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000
2010-02-05,11.676111221313477,11.753152323211866,11.205300133547807,11.402184310117288,118700,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000
