Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,MLM,MLM,MLM,MLM,MLM,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,77.23424530029297,77.33535058829727,75.87777988568321,75.87777988568321,456200,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-01-05,76.18950653076172,77.36904236001155,75.89462418043755,76.90565121810704,435000,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-01-06,78.0852279663086,78.71712180297123,77.58813480559661,78.71712180297123,676600,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-01-07,77.38590240478516,78.0851995388171,76.43385168487886,78.0851995388171,488800,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-01-08,76.10529327392578,77.94199823572743,75.71773250209047,77.29325031377545,655500,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-01-11,74.92575073242188,76.62764845466796,74.6982718039662,76.40016952621228,734800,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-01-12,74.67303466796875,75.01004616221252,74.25177190715394,74.42028086825562,578200,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-01-13,74.7319564819336,75.1785000809439,73.62825091363021,75.10266949697804,612000,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-01-14,74.41182708740234,74.82466264489784,74.15064632645011,74.65616017227524,245700,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-01-15,72.83628845214844,74.5213385625783,72.64251128910439,74.5213385625783,542000,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-01-19,74.27700805664062,74.27700805664062,72.59195803460746,72.73518574377091,456300,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-01-20,73.58614349365234,73.72095060303143,72.38133870034987,73.51031931559419,463800,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-01-21,71.32818603515625,73.89788402100775,70.56991207469166,73.72938155332989,803800,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-01-22,69.1460189819336,71.94320142097297,69.05334072776427,71.31130773961208,707600,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-01-25,69.0448989868164,70.19073313276564,68.96064779948705,69.8284472420912,832200,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-01-26,68.58154296875,69.60099754673949,67.93279505587543,68.79217423927567,629800,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-01-27,68.06761169433594,68.42989778753396,66.69429793209825,68.42989778753396,1171300,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-01-28,67.21662139892578,68.32875377660541,65.82645431983786,68.18552611634787,691600,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-01-29,66.71112060546875,68.53939806195032,66.51733705375213,67.50309605376877,652400,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-02-01,68.21080017089844,68.21080017089844,66.8543348651969,67.11552189791595,573800,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-02-02,69.17127990722656,69.46616228080131,68.20237517009211,68.39615868870045,425000,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-02-03,68.2192611694336,69.57572715022498,68.01705693697998,68.8932774202645,342400,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-02-04,66.13822174072266,67.42728414235542,66.07924523960078,67.42728414235542,505800,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-02-05,66.23931884765625,66.43309600102478,64.25095930239362,65.98655877252995,531700,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-02-08,67.07343292236328,67.4778414261603,65.20302591541956,66.12980236690811,710800,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-02-09,63.98978042602539,65.65798299539898,62.902928675564645,64.8575867009154,2723700,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-02-10,65.21986389160156,65.70010288857873,62.346850531682335,63.981351102566855,1366800,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-02-11,65.75909423828125,65.80964369318669,64.07404384322427,64.94184376820549,412600,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-02-12,65.92755889892578,65.93598594589638,64.43629298280231,65.18613946434935,447100,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-02-16,67.0396957397461,67.11552631163636,65.84331210819906,66.22244568378876,313100,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-02-17,67.12396240234375,67.53680426322015,66.70269991994728,67.30089187359562,219900,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-02-18,67.96649169921875,68.08444468757148,66.92176247611354,67.19979727492601,342900,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-02-19,68.67424011230469,68.89329206571391,67.54525284952706,67.68005998512474,417200,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-02-22,69.07860565185547,69.47459333116713,68.12655495432723,68.76687559380893,496800,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-02-23,68.65736389160156,69.19657940439313,67.9580729917961,68.71634038743952,532200,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-02-24,68.97750854492188,69.17128565166912,68.23608259784254,68.88483030153697,498600,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-02-25,68.54572296142578,68.73198954858023,67.56359885576884,68.29172835490962,313400,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-02-26,67.07252502441406,69.01984259756986,66.53912414563572,68.8251140700116,851000,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-03-01,66.18352508544922,67.25878876197362,65.87872644167177,67.25878876197362,539900,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-03-02,65.72632598876953,66.79312122363325,65.51466062642832,66.2258596028422,537700,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-03-03,67.2080078125,67.71601003330997,65.9380151795082,66.03114848935559,647000,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-03-04,68.18165588378906,68.4017897028656,67.51279246162531,67.63979299030467,531400,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-03-05,69.54476928710938,69.70563702572358,68.70657628075223,68.70657628075223,443900,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-03-08,69.87499237060547,70.26445599587424,69.45166150059379,69.56173166088736,657300,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-03-09,69.32463836669922,69.75643752212659,69.02830814611744,69.4262400678334,914900,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-03-10,69.42625427246094,69.84958509119545,68.90979015684357,69.42625427246094,360900,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-03-11,69.74800109863281,69.91733734487988,68.65580653352914,69.12147313631193,527300,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-03-12,69.47704315185547,69.95963996604095,68.97751594924016,69.84110786848767,431400,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-03-15,68.85900115966797,69.54479510496256,68.3510054053936,69.54479510496256,357600,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-03-16,70.1120376586914,70.15437331804718,68.79124776857938,69.00291314632886,598800,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-03-17,75.522216796875,75.92014880695493,70.14591659699198,70.14591659699198,2083900,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-03-18,74.04057312011719,75.82703006609844,73.36324754399047,75.33597112274961,610300,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-03-19,74.0066909790039,74.11675465774499,72.39803270312845,74.0066909790039,1323300,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-03-22,75.33594512939453,76.38580360884163,72.79596056138347,73.36322223128906,1136900,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-03-23,75.30204772949219,75.98784122110112,74.48925376845251,75.98784122110112,511200,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-03-24,74.42158508300781,75.6577107280592,74.31151489780322,75.21744290627669,412400,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
2010-03-25,71.3481674194336,75.49681039024891,71.20423650330598,74.71788329877758,1515000,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
