Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,MRK,MRK,MRK,MRK,MRK,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,21.204030990600586,21.341533545798157,20.94048499908428,21.09517508737536,14563532,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-01-05,21.289966583251953,21.456115756370483,21.158192469275452,21.370175818066368,15452550,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-01-06,21.576433181762695,21.616536658458138,21.14100731865304,21.318615628287777,15971415,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-01-07,21.61080551147461,21.713932977911046,21.427468811342724,21.46757457341495,12488597,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-01-08,21.599346160888672,21.708202039105462,21.44465610813592,21.696742922859226,11283921,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-01-11,21.685285568237305,21.72538903844768,21.484761345838642,21.702473096963026,10041726,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-01-12,21.51341438293457,21.765501266414415,21.381640236283996,21.66810447787895,11445942,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-01-13,22.304046630859375,22.556135739679917,21.82851734947298,21.94883234567721,26593419,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-01-14,22.911352157592773,22.985832985530866,22.401445479504883,22.48165701140697,23081466,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-01-15,22.613441467285156,23.071783517761844,22.34989536087369,22.90563423815773,21854258,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-01-19,23.272293090820312,23.398338792447113,22.596239568558868,22.659261274147745,20908334,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-01-20,23.507204055786133,23.57595420188555,22.899900409808122,23.2837615000631,21843150,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-01-21,22.962923049926758,23.810856821732518,22.945735512721242,23.535851645544174,26803019,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-01-22,22.269676208496094,23.08323241504897,22.21238290495659,22.859789905514603,18301853,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-01-25,22.20665168762207,22.76811866199648,22.183733452919455,22.504572705611633,16116039,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-01-26,22.103527069091797,22.315510460467,21.862897025860537,22.05769288421201,20817158,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-01-27,22.137895584106445,22.21810710174705,21.748306273140038,22.051957944418398,18322289,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-01-28,21.7540283203125,22.309768916444256,21.736840797404035,22.195182376456952,14008197,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-01-29,21.874359130859375,22.34988857759763,21.576438033694966,21.92019332199619,16893655,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-02-01,21.943115234375,22.13218044553063,21.811341053889134,22.09207466265662,9666647,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-02-02,22.653535842895508,22.75666332491034,21.82852056767558,21.97748223164707,15857288,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-02-03,22.183740615844727,22.584791529042487,22.04050961927763,22.57333240799114,18305311,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-02-04,21.255596160888672,22.06342167919379,21.09517536581598,21.994671545912308,26547307,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-02-05,21.04360580444336,21.244130014111885,20.522242401215447,21.2269424864773,24074970,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-02-08,20.96340560913086,21.244139165509417,20.75142219290633,20.95767490381818,10705949,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-02-09,20.894649505615234,21.295698027215835,20.80871184552903,21.158195480628542,17965864,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-02-10,20.739959716796875,21.020693227749934,20.48787056597321,20.911837329820187,17627884,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-02-11,21.129549026489258,21.19829914774355,20.550892247319368,20.751416488243237,15123478,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-02-12,21.152469635009766,21.28424378374052,20.67694022329825,20.98632041807086,18766955,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-02-16,21.576433181762695,21.874354211933053,21.34726227761269,21.610808244772873,21768951,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-02-17,21.393095016479492,21.725391087262206,21.28996754395079,21.616535201434353,12534918,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-02-18,21.364452362060547,21.48476738742249,21.21549068395056,21.358721657241198,12942590,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-02-19,21.479036331176758,21.559247873738727,21.284242760396477,21.330076945953518,13004003,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-02-22,21.26704978942871,21.69101651570229,20.96912877262105,21.69101651570229,18421115,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-02-23,20.917564392089844,21.278507087547393,20.854540397520466,21.14100456298047,16699670,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-02-24,21.158184051513672,21.221205731683963,20.780053970491924,21.02641228041147,17913988,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-02-25,20.951942443847656,21.003505039008196,20.654019119499686,20.877461612760666,17854252,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-02-26,21.129549026489258,21.232674208370696,20.87745990417553,21.02642155415868,13800483,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-03-01,21.352989196777344,21.44465755202137,21.215486663911303,21.215486663911303,12373107,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-03-02,21.42174530029297,21.593622923384903,21.38163952904339,21.530601204599513,12842402,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-03-03,21.318607330322266,21.68528063423989,21.255585642517474,21.593612308260486,13186879,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-03-04,21.278520584106445,21.416023195888645,21.12956113918023,21.364460575389238,12421839,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-03-05,21.479036331176758,21.519142102457742,21.158197032277464,21.324346241227932,10342502,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-03-08,21.398828506469727,21.507684418122725,21.261325940626516,21.479037763932514,12625570,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-03-09,21.221220016479492,21.37018170103447,21.100907276361657,21.318619098126824,15401198,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-03-10,21.009239196777344,21.244138556165698,20.91184011375314,21.169657712835317,20357505,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-03-11,21.350801467895508,21.39132487464995,20.899237081291727,21.04397014665177,16049177,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-03-12,21.512901306152344,21.536057209653396,21.26396319274208,21.449219678483033,17172738,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-03-15,21.854469299316406,21.883415916685653,21.420274667644335,21.44343057287975,18251863,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-03-16,21.964462280273438,21.99919729095258,21.65184255529512,21.86604564520486,19187937,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-03-17,22.04551124572754,22.057090354011976,21.7502590282889,21.993408730097073,12983986,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-03-18,22.259714126586914,22.265504837891662,21.929726901803352,22.039722643397873,13097275,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-03-19,22.0339412689209,22.485503487392023,21.91236638040296,22.0339412689209,32252934,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-03-22,22.172876358032227,22.601280211532714,22.016566499879854,22.045510798354076,16215914,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-03-23,22.28866195678711,22.433392716380613,22.143931197193606,22.32918768040118,12927185,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-03-24,22.00498390197754,22.294445356276587,21.987616399874202,22.24813124585683,12930643,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-03-25,21.871841430664062,22.196040373530202,21.86026231838182,22.19025197460598,13808029,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-03-26,21.669208526611328,21.964460725348353,21.62289441084017,21.894990708908043,14149782,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-03-29,21.93552017211914,22.00499252218006,21.756054370459278,21.756054370459278,11693898,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-03-30,21.8023681640625,21.97604556489629,21.71552830642888,21.97604556489629,10397313,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-03-31,21.622896194458008,21.761838553232483,21.45500722163472,21.703945325134857,13588787,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-04-01,21.831308364868164,21.92972731457161,21.709735827241822,21.790784957137056,10621794,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-04-05,21.64605712890625,21.98183280227291,21.611319799026944,21.96446529454992,10966796,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-04-06,21.565000534057617,21.727101091561142,21.518686419689864,21.727101091561142,12864095,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-04-07,21.298690795898438,21.657624533548677,21.165536875180806,21.64025703335635,19274921,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
2010-04-08,21.29290771484375,21.43185006549139,21.20027948107866,21.327642723897434,12922154,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
