Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,MU,MU,MU,MU,MU,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,10.607197761535645,10.792945508344614,10.538763596009916,10.577868433881957,34412700,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-01-05,10.92003345489502,11.03734793617867,10.392117822952287,10.616970345662793,60659000,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-01-06,10.968913078308105,11.086227542013823,10.74405965695612,10.832045737818529,32060400,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-01-07,10.597419738769531,10.998244500272905,10.323685914482573,10.978691618086039,46461800,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-01-08,10.851598739624023,10.920031944490994,10.382339947062327,10.509430850624193,32433400,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-01-11,10.656074523925781,11.06667564958401,10.577864874498744,10.998242439418494,29135200,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-01-12,10.030399322509766,10.42144764738368,9.91308482504759,10.411671206178646,46116000,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-01-13,10.225922584533691,10.323685123310357,9.7468881956599,10.07927970870136,33519600,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-01-14,10.489880561828613,10.704957600333465,10.196594792987941,10.196594792987941,33723700,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-01-15,9.903307914733887,10.46055198436637,9.815321812721871,10.46055198436637,30994100,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-01-19,10.04995059967041,10.069503480771274,9.815321620456164,9.91308416129511,18545400,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-01-20,9.75666332244873,9.844649417443309,9.512257917389402,9.776216202373138,42195400,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-01-21,9.58069133758545,10.010844407613442,9.54158651303745,9.844648670201305,38274500,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-01-22,8.925686836242676,9.49270738598578,8.886582002892558,9.482930944565057,44447500,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-01-25,9.121212005615234,9.209198123407806,8.964792655020831,9.072330725471266,23995600,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-01-26,9.22874927520752,9.522035998287445,9.06255442887278,9.150539606697246,25159600,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-01-27,9.502482414245605,9.522034361846613,9.14076252646696,9.26785251670509,21637400,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-01-28,9.189643859863281,9.531811837209004,8.896358087661497,9.51225895515143,32249900,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-01-29,8.524859428405762,9.287403909386507,8.378215649384382,9.238522649712714,42655600,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-02-01,8.964790344238281,8.994118731831769,8.642175283712017,8.642175283712017,19407600,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-02-02,9.140763282775879,9.287406165080915,9.043000739684048,9.062553621235498,21667700,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-02-03,8.81814956665039,9.111435376852754,8.73016345065654,8.955016029456067,25361500,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-02-04,8.417322158813477,8.97456713912238,8.358665381306857,8.906132988921097,26692400,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-02-05,8.505309104919434,8.515085546255602,8.084932383124565,8.436875880231778,36413100,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-02-08,8.710609436035156,8.847476813417833,8.397770781826447,8.573742990985211,20271500,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-02-09,8.876803398132324,9.072327517232312,8.64217445521234,8.964789484810455,20847800,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-02-10,8.348886489868164,8.534634140550656,7.996943131154416,8.417319687646073,70622100,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-02-11,8.339113235473633,8.58351867206586,8.231575179012843,8.378218068035078,50941600,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-02-12,8.25112533569336,8.544411982322892,8.133810863508057,8.23157338982875,44233500,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-02-16,8.436873435974121,8.515083079339728,8.300006093918064,8.446649874477945,25227300,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-02-17,8.534636497497559,8.59329420631511,8.368441675901911,8.59329420631511,18426500,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-02-18,8.563963890075684,8.573740328066425,8.397768173562866,8.456424936842424,22489100,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-02-19,8.700831413269043,8.935461293604543,8.466202465266106,8.573741432350207,28672300,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-02-22,8.739936828613281,8.906132577763955,8.710608441213934,8.867027750453952,16121600,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-02-23,8.417322158813477,8.632399185113977,8.231574453598954,8.632399185113977,28626100,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-02-24,8.886579513549805,9.02344592576929,8.446650028512513,8.505306795940148,34303400,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-02-25,8.867026329040527,8.886579205727452,8.524859378011632,8.671502223833661,20920800,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-02-26,8.857253074645996,8.94523824510658,8.671504428230657,8.876805023970777,20385500,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-03-01,9.55136489868164,9.570916848773754,8.994119869898821,9.033224702415795,39158600,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-03-02,9.355839729309082,9.522035499266803,9.297182947166792,9.326511338237937,40226300,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-03-03,9.238523483276367,9.482928871364804,9.17986671224138,9.365614396962261,25133700,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-03-04,9.199419021606445,9.218971900944966,8.964790063539796,9.199419021606445,19757600,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-03-05,9.248300552368164,9.365615034759811,9.11143319007826,9.346063087194185,15691200,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-03-08,9.375391960144043,9.434048738210658,9.15053849133488,9.267852979800788,26708500,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-03-09,9.199419021606445,9.385167645991995,9.130985808586823,9.248300287620149,33738200,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-03-10,9.649126052856445,9.737112154899615,9.355839356823449,9.414497068963131,39335100,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-03-11,9.58069133758545,9.678452932789167,9.404719160953173,9.629572601353589,20021700,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-03-12,9.746889114379883,10.02062294349035,9.482930794202366,9.854427171304378,33689400,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-03-15,9.512258529663086,9.71755912042077,9.385168531304572,9.698007171570495,25969100,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-03-16,9.98151683807373,10.010845225798596,9.580692120614241,9.629573388377441,24369500,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-03-17,10.167263984680176,10.274802954386248,10.001068242709506,10.098830772927283,26403900,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-03-18,9.932635307312012,10.167264267563647,9.825097266946498,10.069502666958437,20228500,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-03-19,9.727334976196289,10.040174529986713,9.727334976196289,10.040174529986713,19780300,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-03-22,10.098831176757812,10.12815956406289,9.531810716418985,9.610020370787609,19351100,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-03-23,10.304130554199219,10.333458938093438,10.108606441016908,10.167263208805345,22122400,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-03-24,10.19659423828125,10.392118384315863,10.13793652830453,10.382341943930964,18182900,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-03-25,10.147711753845215,10.548536438314182,10.11838336853427,10.431221964737842,24965500,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-03-26,10.25525188446045,10.489880879573123,10.030399330560657,10.30413315819211,25900400,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-03-29,10.392117500305176,10.548536803826979,10.343236234871464,10.421445886632366,22226000,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-03-30,10.548538208007812,10.656076260410956,10.431223714750006,10.480104986690604,37351400,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-03-31,10.137935638427734,10.50943194945103,10.128159198900981,10.480103563203361,38781500,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-04-01,9.942412376403809,10.802719550781186,9.883754666461698,10.783166670022926,127588500,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-04-05,10.362789154052734,10.401893980084411,10.02062122702612,10.13793570512115,52480400,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-04-06,10.001067161560059,10.401892746256262,9.981515217029687,10.392116307824834,42605400,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-04-07,10.323684692382812,10.411669854809967,9.903307098456137,10.001068700819406,44194700,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-04-08,10.343236923217773,10.44099946059133,10.137936340599428,10.294355654530994,33101100,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-04-09,10.489880561828613,10.577866665413904,10.41167089916007,10.470328612327839,24270800,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-04-12,10.577865600585938,10.704956522711806,10.343236636199395,10.50943238572302,37146600,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-04-13,10.519209861755371,10.607195965149758,10.392118927111557,10.54853825210926,28036500,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
2010-04-14,11.047123908996582,11.144885506433582,10.744060812576944,10.802718516905209,49938700,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
