Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,O,O,O,O,O,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,12.288647651672363,12.476979973933094,12.222731848606259,12.363980395222056,904961,O,Realty Income,Real Estate,Retail REITs,"San Diego, California",2015-04-07,726728,1969
2010-01-05,12.495819091796875,12.495819091796875,12.246278850237474,12.429902329443761,685248,O,Realty Income,Real Estate,Retail REITs,"San Diego, California",2015-04-07,726728,1969
2010-01-06,12.486401557922363,12.528776418842751,12.363985910890188,12.528776418842751,1002588,O,Realty Income,Real Estate,Retail REITs,"San Diego, California",2015-04-07,726728,1969
2010-01-07,12.750052452087402,12.783010331386599,12.40634686774067,12.519346370220637,1258318,O,Realty Income,Real Estate,Retail REITs,"San Diego, California",2015-04-07,726728,1969
2010-01-08,12.924267768859863,12.947809657169147,12.693561526584793,12.707686474215757,814970,O,Realty Income,Real Estate,Retail REITs,"San Diego, California",2015-04-07,726728,1969
2010-01-11,12.82538890838623,12.97134540622349,12.80655503459791,12.96192939610198,725496,O,Realty Income,Real Estate,Retail REITs,"San Diego, California",2015-04-07,726728,1969
2010-01-12,12.872483253479004,12.891316217340368,12.754775607491897,12.78302551667068,637879,O,Realty Income,Real Estate,Retail REITs,"San Diego, California",2015-04-07,726728,1969
2010-01-13,13.018426895141602,13.051383851595979,12.830094677488452,13.004301028875815,757488,O,Realty Income,Real Estate,Retail REITs,"San Diego, California",2015-04-07,726728,1969
2010-01-14,12.966646194458008,13.060811920167236,12.910146388323158,12.961938186204529,698458,O,Realty Income,Real Estate,Retail REITs,"San Diego, California",2015-04-07,726728,1969
2010-01-15,12.94310188293457,13.065518415627137,12.933685868185753,13.032559583686963,723226,O,Realty Income,Real Estate,Retail REITs,"San Diego, California",2015-04-07,726728,1969
2010-01-19,13.159680366516113,13.230305095807367,12.947808032188165,12.947808032188165,1042630,O,Realty Income,Real Estate,Retail REITs,"San Diego, California",2015-04-07,726728,1969
2010-01-20,12.961941719055176,13.183231142108223,12.9525247732083,13.093773400270257,600314,O,Realty Income,Real Estate,Retail REITs,"San Diego, California",2015-04-07,726728,1969
2010-01-21,12.674729347229004,13.112600897024539,12.674729347229004,12.994893301824787,1048925,O,Realty Income,Real Estate,Retail REITs,"San Diego, California",2015-04-07,726728,1969
2010-01-22,12.36870002746582,13.065529255332681,12.36870002746582,12.754781048576897,1471426,O,Realty Income,Real Estate,Retail REITs,"San Diego, California",2015-04-07,726728,1969
