Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,PFE,PFE,PFE,PFE,PFE,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,9.868687629699707,9.873900600184282,9.508973801473475,9.524612712927196,54898644,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-01-05,9.727934837341309,9.868692445419097,9.670588989895625,9.863479472390699,45714931,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-01-06,9.69665241241455,9.806131106156986,9.649733571121603,9.727932338639295,43640975,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-01-07,9.660161972045898,9.733147786441782,9.623669064847958,9.717507819350603,41557112,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-01-08,9.738354682922363,9.753994640254527,9.654942974542523,9.707075816301813,32049716,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-01-11,9.816557884216309,9.879117741985125,9.733146137916897,9.816557884216309,34199665,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-01-12,9.785280227661133,9.899971917194598,9.717507389280271,9.800919146015742,43501847,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-01-13,10.01466178894043,10.061581684531083,9.83741234352343,9.83741234352343,62728072,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-01-14,10.103286743164062,10.165846598895628,9.972955107782267,10.009448007610938,49820367,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-01-15,10.160635948181152,10.259687688542973,10.040731265008661,10.129356009942862,80760537,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-01-19,10.426507949829102,10.463000846606514,10.165845748904339,10.1814846634854,82562244,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-01-20,10.395225524902344,10.61418285291548,10.358732636900154,10.452571342042372,83522965,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-01-21,10.030299186706543,10.50470575334306,9.993807341313616,10.447359927662692,81343188,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-01-22,9.88432502746582,10.384797313418982,9.853045116577377,10.040722485820726,65034962,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-01-25,9.826982498168945,10.035512861492561,9.821769527297954,10.030298842577569,51933110,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-01-26,9.790489196777344,9.853047988746498,9.712290444804909,9.759210324814745,45955032,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-01-27,9.905182838439941,9.95210167987482,9.727932368066599,9.79049117266116,57558308,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-01-28,9.71229362487793,9.957316950372805,9.701866632113672,9.94167698524857,53690549,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-01-29,9.727934837341309,9.889545385577122,9.654949022765997,9.748787777499334,59071114,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-02-01,9.79570484161377,9.89997057140373,9.748785996839258,9.79570484161377,41586308,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-02-02,10.030299186706543,10.07721907028723,9.785276970835541,9.83740982546607,71262310,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-02-03,9.79875373840332,9.919790763276028,9.693503323602904,9.83559127778927,120151889,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-02-04,9.488266944885254,9.704028922895066,9.477742538024376,9.656665918195165,99352043,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-02-05,9.45142650604248,9.572463495469956,9.261976661234987,9.425114439018753,95279492,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-02-08,9.388277053833008,9.472476515948474,9.325126399304734,9.425114582993944,58630015,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-02-09,9.40932559967041,9.55141243654749,9.288288625369876,9.404062340570126,74804488,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-02-10,9.335649490356445,9.461949709398795,9.277762110366496,9.430374390152856,63195205,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-02-11,9.404062271118164,9.488262778744037,9.272500895471744,9.340912683854901,57646000,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-02-12,9.367225646972656,9.414587572134012,9.272500738708445,9.393537710068799,53060257,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-02-16,9.325126647949219,9.514576500702168,9.267240309657616,9.451426902431752,66699017,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-02-17,9.298815727233887,9.398802867985218,9.225141715798372,9.393540665298788,61399821,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-02-18,9.330389022827148,9.340913425902999,9.235664105436484,9.304076957195921,60202899,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-02-19,9.467216491699219,9.525103899704272,9.330391805318358,9.377753749167073,53393321,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-02-22,9.446165084838867,9.551414419573044,9.356702356858507,9.461952749534431,61134003,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-02-23,9.298815727233887,9.440902605360321,9.267241453173476,9.388278462612359,50458353,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-02-24,9.372488975524902,9.483000500176562,9.261976392931611,9.335651447993804,71379515,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-02-25,9.30933952331543,9.330389388233106,9.172514872379697,9.246188870620749,56344732,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-02-26,9.235665321350098,9.372489984940902,9.209353252254777,9.309340384347086,62436536,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-03-01,9.340911865234375,9.398799246304604,9.251450222270387,9.267237882187981,48087169,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-03-02,9.26197624206543,9.409326349789666,9.235664176232508,9.40406309026979,68147740,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-03-03,9.114630699157715,9.261979805633242,9.056743285699682,9.183042519821562,114953456,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-03-04,9.119889259338379,9.156726785726068,9.062001869006526,9.13041472028126,59990729,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-03-05,9.198827743530273,9.209353205880445,9.067265282832677,9.146203605604624,68202654,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-03-08,9.130413055419922,9.26197441659634,9.088312277266752,9.25671221605522,51370695,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-03-09,9.067265510559082,9.114628505411783,9.025165775984524,9.088315377846362,57489271,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-03-10,9.025164604187012,9.130414984899812,9.004114739632778,9.056739929989178,59341465,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-03-11,9.098837852478027,9.114625512244391,8.998850751212947,9.009375152429577,51448270,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-03-12,8.988327026367188,9.067264282488662,8.94096509587095,9.046214418052376,90062719,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-03-15,9.083049774169922,9.093575232842962,8.94096295870276,8.962012818107475,46310547,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-03-16,9.083049774169922,9.146200410325433,9.004112536916903,9.114625092247676,56037175,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-03-17,9.056737899780273,9.109362020398528,9.030424781529755,9.0830499600894,59708468,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-03-18,9.067265510559082,9.130416170362684,9.009378111033625,9.125152910084541,53653975,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-03-19,8.898862838745117,9.104099223174652,8.840974934535632,8.898862838745117,119353801,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-03-22,9.025164604187012,9.077789794543412,8.935702944316924,8.946227347623228,74916107,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-03-23,9.230401039123535,9.25145196159898,9.051477719556898,9.093577448624533,77908623,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-03-24,9.267239570617676,9.319863702675523,9.230400985470592,9.267239570617676,77922536,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-03-25,9.151463508605957,9.356701004092105,9.13041470264405,9.335651140188602,50807754,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-03-26,9.019903182983398,9.146203439178596,8.99885331660782,9.135677977019945,57108144,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-03-29,9.093578338623047,9.12515260954317,9.019903276573213,9.051478605435065,51374595,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
2010-03-30,9.083049774169922,9.1514615527499,9.014637995589943,9.114625092247676,44091982,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
