Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,RMD,RMD,RMD,RMD,RMD,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,22.080543518066406,22.214390213743503,21.867224249870837,22.017802181402185,1665400,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,1989
2010-01-05,21.14361000061035,21.670632635041198,20.942840005067488,21.670632635041198,2559800,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,1989
2010-01-06,21.82120704650879,21.854669507325653,21.415485080361012,21.415485080361012,1830400,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,1989
2010-01-07,21.858844757080078,21.97596173814159,21.699902904088137,21.863028361177342,906400,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,1989
2010-01-08,21.8463077545166,22.01779890757753,21.474046587792508,21.871404604566333,1657800,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,1989
2010-01-11,22.101455688476562,22.101455688476562,21.729194484534784,21.98015662780971,813800,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,1989
2010-01-12,21.515869140625,22.063804966329588,21.47822467022426,22.059622956541922,1013000,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,1989
2010-01-13,21.833759307861328,21.95087474587495,21.62880569575932,21.766835972485236,1877800,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,1989
2010-01-14,21.98433494567871,22.001064581114974,21.791928980170617,21.804478201220327,998400,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,1989
2010-01-15,21.817018508911133,22.001057201604528,21.699903122249655,21.984327571779655,734400,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,1989
2010-01-19,22.134912490844727,22.164192944565894,21.796113819309777,21.796113819309777,715600,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,1989
2010-01-20,22.13909149169922,22.27712013772403,21.980148012284126,22.08053378759307,702800,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,1989
2010-01-21,21.72500991821289,22.185109287995065,21.536789116861158,22.155830425759092,879000,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,1989
2010-01-22,21.737552642822266,22.20183388458352,21.691542560041913,21.787744735138176,1376400,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,1989
2010-01-25,22.180927276611328,22.33150520498309,21.775205186919006,21.904868273122574,2314200,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,1989
2010-01-26,22.364965438842773,22.58246669189238,22.114001718134023,22.114001718134023,1674800,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,1989
2010-01-27,22.030345916748047,22.272944007021305,21.833759514730886,22.272944007021305,1053800,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,1989
2010-01-28,21.791929244995117,22.151642738283275,21.56188040027628,22.02197968529198,927200,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,1989
2010-01-29,21.39038848876953,21.91322747840734,21.39038848876953,21.842122141694023,1082000,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,1989
