Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,RSG,RSG,RSG,RSG,RSG,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,20.54010581970215,20.611724313270575,20.318089719048253,20.46848732613372,1425500,RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,1060391,1998 (1981)
2010-01-05,20.568754196166992,20.568754196166992,20.404032602761866,20.511459669503935,1204500,RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,1060391,1998 (1981)
2010-01-06,20.726306915283203,20.74779150047038,20.42551042858424,20.518613485082355,1833400,RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,1060391,1998 (1981)
2010-01-07,20.690509796142578,20.805098874723445,20.532950154596282,20.66902519766465,1648400,RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,1060391,1998 (1981)
2010-01-08,20.719152450561523,20.762123002538672,20.39686989570986,20.618887373945103,1375400,RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,1060391,1998 (1981)
2010-01-11,20.71198844909668,21.07724152038889,20.611723382235358,20.87671002065716,2301600,RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,1060391,1998 (1981)
2010-01-12,20.683340072631836,20.70482602908382,20.439839396221327,20.62604555476894,1279900,RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,1060391,1998 (1981)
2010-01-13,20.969816207885742,21.01278675924768,20.68334222278163,20.74063674660061,1198300,RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,1060391,1998 (1981)
2010-01-14,20.926851272583008,20.984145815517834,20.76212963239659,20.912528661356543,1439700,RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,1060391,1998 (1981)
