Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,SNA,SNA,SNA,SNA,SNA,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,30.639734268188477,30.782710706420723,30.38952481951987,30.55394949606863,268000,SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1982-09-30,91440,1920
2010-01-05,30.62542152404785,30.74694966512448,30.33946878603032,30.475297563759984,392700,SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1982-09-30,91440,1920
2010-01-06,30.796993255615234,30.86132975731542,30.46814679365693,30.62542106993928,658400,SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1982-09-30,91440,1920
2010-01-07,31.31169891357422,31.31169891357422,30.639713651214194,30.639713651214194,405200,SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1982-09-30,91440,1920
2010-01-08,31.962261199951172,32.01230254586266,31.09011008045888,31.154449343352056,384600,SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1982-09-30,91440,1920
2010-01-11,32.09808349609375,32.14097451123534,31.84072649705113,32.05518975390389,521100,SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1982-09-30,91440,1920
2010-01-12,31.42608070373535,31.890753152216742,31.261658858269616,31.783520209629646,462300,SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1982-09-30,91440,1920
2010-01-13,31.626249313354492,31.66914030960873,31.29740288880531,31.45467714719635,244800,SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1982-09-30,91440,1920
2010-01-14,31.526185989379883,31.747799624062228,31.404657779006612,31.497592880911977,267000,SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1982-09-30,91440,1920
2010-01-15,31.0257511138916,31.604801385141116,30.86132653654853,31.411783719042244,407800,SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1982-09-30,91440,1920
2010-01-19,31.461830139160156,31.461830139160153,30.98286241844129,30.98286241844129,310300,SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1982-09-30,91440,1920
2010-01-20,31.090110778808594,31.29742376207768,30.725520705208183,31.08296045663273,277600,SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1982-09-30,91440,1920
2010-01-21,31.018617630004883,31.27597465780257,30.682623429596944,31.018617630004883,686700,SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1982-09-30,91440,1920
2010-01-22,30.889934539794922,31.290267937843314,30.78270427879765,31.040058541420006,558100,SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1982-09-30,91440,1920
2010-01-25,30.78984260559082,31.23306688382689,30.59682492142817,31.175877973916116,409800,SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1982-09-30,91440,1920
2010-01-26,30.50388526916504,30.92566398338184,30.49673767914815,30.782690366668565,404400,SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1982-09-30,91440,1920
