Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,TSN,TSN,TSN,TSN,TSN,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,9.296590805053711,9.342162648169605,9.228233402549808,9.319377088781595,3355000,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-01-05,9.471280097961426,9.486470226349109,9.273803358543464,9.273803358543464,3781300,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-01-06,9.94978141784668,9.96497154672911,9.55482792614699,9.714328263281134,6810500,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-01-07,10.124472618103027,10.192830013880705,9.881424743639997,9.949782139417675,5979200,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-01-08,10.101688385009766,10.15485493343227,9.964973575534868,10.094092956852293,3999300,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-01-11,9.964971542358398,10.177638416997398,9.904209578175827,10.0940908973313,2875700,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-01-12,9.851042747497559,9.972566672246934,9.828256468352256,9.919400136254014,3315600,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-01-13,10.109282493591309,10.18523459223222,9.843448337498616,9.87382932182294,3900600,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-01-14,10.663735389709473,10.70171180031348,10.428282223436451,10.549806882237235,8703500,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-01-15,10.549808502197266,10.694118015443985,10.451070109201133,10.694118015443985,5633700,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-01-19,10.625760078430176,10.678927348512305,10.428283302330522,10.527021690380348,4694600,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-01-20,10.557400703430176,10.57259155613938,10.367519390603448,10.527019722351488,4448900,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-01-21,10.367522239685059,10.602975451004186,10.283974699844038,10.55740360469277,6339100,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-01-22,10.458664894104004,10.648546240262698,10.435878611040268,10.602974398475077,5865600,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-01-25,10.549808502197266,10.678927883473754,10.39030813264042,10.542213074042202,4363300,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-01-26,10.6181640625,10.716902445080564,10.42828272469272,10.50423554955156,4628700,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-01-27,10.466262817382812,10.648549516273688,10.420691685915148,10.618167796175145,5437200,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-01-28,10.473854064941406,10.572592442812795,10.390306541053212,10.458663935298,5243100,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-01-29,10.496638298034668,10.633353069285615,10.466257318238869,10.557400257626268,4792900,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-02-01,10.625760078430176,10.625760078430176,10.47385514463808,10.5042361313965,3347400,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-02-02,10.83842945098877,10.921976996909182,10.602976222536732,10.633357214175062,4978000,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-02-03,10.899188041687012,10.914378170607973,10.716901424257214,10.762473259699602,2992000,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-02-04,10.625760078430176,10.81564142675526,10.557402677138768,10.81564142675526,4597900,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-02-05,11.127047538757324,11.582763097919635,11.035904571792845,11.256166923041981,15735700,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-02-08,11.4612398147583,11.582763777844571,11.134643620708978,11.278953870128893,9906700,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-02-09,11.704285621643066,11.79542857745457,11.484023297346974,11.514404282617475,6883200,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-02-10,11.795429229736328,11.83340564450949,11.582762321082436,11.727071828012612,5977000,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-02-11,12.122029304504395,12.190386004003432,11.658718922530378,11.742266482589269,7058800,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-02-12,12.182787895202637,12.235954440470525,11.87138187828254,12.068858652620206,4939400,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-02-16,12.486594200134277,12.592927260354383,12.122021741886302,12.22076010090472,5945800,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-02-17,12.630908012390137,12.661289726757822,12.327098112112658,12.524574909462988,7272900,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-02-18,12.835978507995605,12.835978507995605,12.524573221104777,12.562550358944929,4726300,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-02-19,12.8739595413208,12.965101802356207,12.714458411488659,12.77522040173897,7229500,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-02-22,12.638501167297363,12.790406814447993,12.57014377094754,12.752431127000143,6349500,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-02-23,12.722052574157715,12.760028271026494,12.53976662156362,12.64609973174018,5381100,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-02-24,12.661288261413574,12.828383325057603,12.61571714381606,12.729645662149702,5659400,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-02-25,12.942986488342285,12.950600184065692,12.524243388702683,12.539469327985524,6548700,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-02-26,12.973443031311035,12.99628266941588,12.828785697268932,12.920147154016659,4022300,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-03-01,13.072417259216309,13.277982700589794,12.927759935416738,12.981054356773404,3946000,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-03-02,13.285598754882812,13.293211000287096,13.080033277023281,13.125714010270624,6095700,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-03-03,13.110479354858398,13.392180200240418,13.080026033612612,13.369339120183435,7858700,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-03-04,13.323663711547852,13.361730741286634,13.019123117145291,13.140939354906315,5822200,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
2010-03-05,13.125713348388672,13.293210329958882,12.988669703392931,12.988669703392931,8337500,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
