Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,UHS,UHS,UHS,UHS,UHS,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,28.979188919067383,28.979188919067383,28.523336716453358,28.523336716453358,1553600,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-01-05,28.746606826782227,29.230368926899366,28.569847256657262,28.9698812327377,1210900,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-01-06,28.607059478759766,29.053608274029102,28.514028036138527,28.774515720592564,1039700,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-01-07,29.03499412536621,29.11872222463974,28.504717346251677,28.700083502698817,1186300,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-01-08,30.34675407409668,30.402574030534225,29.03501526309063,29.07222856738233,1906000,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-01-11,30.03042984008789,30.811891011150028,29.993220107259308,30.57931332391551,803500,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-01-12,29.128032684326172,29.946705464722456,29.00709305263236,29.83506915460927,882200,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-01-13,30.47698402404785,30.504895764728204,29.314097154338054,29.314097154338054,1360200,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-01-14,31.035179138183594,31.090995533409703,30.16068442518528,30.263019214906805,1185600,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-01-15,30.104860305786133,31.035171175315472,29.97461735186872,31.016564532062368,934000,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-01-19,29.92810821533203,29.93741331426048,28.634978049429026,29.760653697601985,1775900,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-01-20,28.20703125,29.714135958351402,27.537207920970232,29.714135958351402,4784300,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-01-21,27.1929931640625,28.421003538337494,27.034840205289047,28.17912421261585,1792000,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-01-22,26.74643898010254,27.816296184421187,26.672014177395866,27.174381152059095,1566600,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-01-25,27.481393814086914,27.695364965114667,26.718537136393,26.979024912271004,1579000,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-01-26,28.700084686279297,28.802417653946332,27.258102074989164,27.369740136766687,1844100,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-01-27,28.123287200927734,28.709383834860574,27.639525294220814,28.709383834860574,1858300,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-01-28,27.34183120727539,28.272141917554123,27.099950209671697,28.16980894603373,1066900,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-01-29,27.127866744995117,27.788388432091477,26.99762378180455,27.379051123514603,937600,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-02-01,27.313928604125977,27.313928604125977,26.792953222303595,27.18368387145677,1136800,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-02-02,28.225629806518555,28.300054599521868,27.146469420757004,27.36044047883815,1098700,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-02-03,27.797691345214844,28.18842202840427,27.65814505288163,28.18842202840427,431200,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-02-04,27.137176513671875,27.676756913615677,26.99763019504339,27.676756913615677,945300,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-02-05,26.820863723754883,27.21159438071142,26.42082974467709,27.16507954453239,902800,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-02-08,26.923200607299805,27.09995841820508,26.420831819857707,26.765047667671077,1375000,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-02-09,28.132596969604492,28.234931720294096,27.025526676229976,27.230196177609184,1585500,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-02-10,28.71870231628418,29.03500643444525,27.95584578011756,27.95584578011756,2193500,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-02-11,29.19315528869629,29.25827854227638,28.327967641401802,28.58845355801326,942400,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-02-12,29.7885684967041,29.7885684967041,28.728012399376038,28.886165392653066,1024000,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-02-16,29.779254913330078,30.03974441848997,29.49086076137965,29.965317831628575,1031100,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-02-17,29.621103286743164,30.049045508089677,29.51876850580053,29.769952909335643,1578100,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-02-18,29.686227798461914,29.72344109511406,28.98849445608297,29.52807483654558,1804500,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-02-19,30.03042984008789,30.03973493493544,29.565276240045787,29.565276240045787,926000,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-02-22,29.258281707763672,30.235107549595007,29.18385689861869,30.021136445106606,1185600,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-02-23,28.430301666259766,29.20245967104748,28.383786829297865,29.07221670801232,1275200,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
2010-02-24,28.281452178955078,28.56054652519541,28.086087733571414,28.439605109496412,1285100,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
