Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,VICI,VICI,VICI,VICI,VICI,,,,,,,,
Date,,,,,,,,,,,,,
2018-01-02,13.747355461120605,14.089329471076205,13.644763519039389,13.67896039822402,427900,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2022-06-08,1705696,2017
2018-01-03,13.788393020629883,14.089330537435087,13.678961433523886,14.020935469361984,231300,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2022-06-08,1705696,2017
2018-01-04,13.815750122070312,14.020934000263251,13.74735506116357,13.7815519393533,447800,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2022-06-08,1705696,2017
2018-01-05,13.815750122070312,13.81575012207031,13.7815519393533,13.81575012207031,78300,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2022-06-08,1705696,2017
2018-01-08,13.815750122070312,13.81575012207031,13.71315687844656,13.81575012207031,59200,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2022-06-08,1705696,2017
2018-01-09,13.822587966918945,13.822587966918944,13.678959518151428,13.815749635143836,224700,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2022-06-08,1705696,2017
2018-01-10,13.678958892822266,13.81574900356136,13.61056383745272,13.61056383745272,367500,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2022-06-08,1705696,2017
2018-01-11,13.678958892822266,13.678958892822266,13.576366962031534,13.678958892822266,37800,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2022-06-08,1705696,2017
2018-01-12,13.672122955322266,13.678962593162149,13.336988528333096,13.678962593162149,1109300,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2022-06-08,1705696,2017
2018-01-16,14.704885482788086,15.72396808761009,14.020937320797943,14.020937320797943,2005000,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2022-06-08,1705696,2017
2018-01-17,14.55441665649414,14.568094627634856,14.53389774299177,14.53389774299177,233000,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2022-06-08,1705696,2017
2018-01-18,14.362908363342285,14.602290430303453,14.351964683690746,14.533895367667789,634400,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2022-06-08,1705696,2017
2018-01-19,14.191924095153809,14.36291113244482,14.191924095153809,14.260319170975727,955700,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2022-06-08,1705696,2017
2018-01-22,15.723968505859375,15.723968505859375,13.884147535899894,14.191924738793206,3600,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2022-06-08,1705696,2017
