Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,WMT,WMT,WMT,WMT,WMT,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,13.048593521118164,13.154463666538774,12.913847446704688,12.930691394413588,62259300,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-01-05,12.918660163879395,13.03896757955888,12.889785613100276,13.014906371785855,46945200,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-01-06,12.889787673950195,12.952347374888,12.853695856520211,12.872943724364537,37551600,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-01-07,12.897006034851074,12.933099228317781,12.815195714202906,12.92588058962444,31988100,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-01-08,12.832036018371582,12.880158426904858,12.757444357605179,12.856097222638219,34089600,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-01-11,13.043782234191895,13.099124675653663,12.776699468508681,12.832040533155803,41963100,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-01-12,13.168896675109863,13.173708639975427,12.959560370097076,12.993246877783982,45351000,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-01-13,13.236275672912598,13.281992806588692,13.091907008980233,13.183339899517673,39872100,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-01-14,13.043782234191895,13.19537090339734,13.031751627825766,13.168903018665999,41316000,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-01-15,12.916259765625,13.125594853187325,12.897010514694614,13.075065741596937,57262500,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-01-19,13.000475883483887,13.055816965616334,12.872948386717676,12.97160131763038,43855500,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-01-20,12.959563255310059,12.97881249587179,12.80797600219179,12.974000529934928,39925800,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-01-21,12.73338794708252,13.010096030763746,12.714138701059605,13.010096030763746,48086100,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-01-22,12.73819637298584,12.865722406548052,12.678041986084317,12.74300833843,58247700,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-01-25,12.723763465881348,12.805572413760652,12.699700876775394,12.786323168564662,36009900,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-01-26,12.899409294128418,12.959562305968438,12.687667663460335,12.709322196997066,46752000,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-01-27,12.84887981414795,12.937907379895485,12.776696194448407,12.8777543634792,39576300,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-01-28,12.658797264099121,12.860915029824252,12.634734674664593,12.844071079538619,50880300,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-01-29,12.856098175048828,13.029341336868379,12.848879537871232,12.916252566985966,72842400,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-02-01,12.868132591247559,12.940316223061737,12.827227431767904,12.901817735368367,33058500,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-02-02,12.870540618896484,12.925883067215109,12.8320421230291,12.894601834609896,34163700,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-02-03,13.05821704864502,13.113559479664406,12.906628408042337,12.928284321503973,53966700,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-02-04,12.745420455932617,13.065439012153064,12.743013783775044,12.964379433756026,63089700,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-02-05,12.860912322998047,12.880160187591166,12.694886411146094,12.697293082627407,46637400,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-02-08,12.735790252685547,12.882565531186646,12.733383581452303,12.844067052339991,31517700,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-02-09,12.812789916992188,12.901817496029766,12.709325061133788,12.803165983654637,32475000,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-02-10,12.810384750366211,12.872943071315829,12.743011709070602,12.81760201203441,28225200,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-02-11,12.771882057189941,12.860910994213592,12.730978283934206,12.783912659724818,34738800,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-02-12,12.728569984436035,12.77909905934441,12.670822273567317,12.77909905934441,51115200,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-02-16,12.88737964630127,12.925879508383455,12.72857373877542,12.810384052580211,47313600,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-02-17,13.007691383361816,13.053407140230245,12.909038476275517,12.918663788173697,46602600,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-02-18,12.865723609924316,12.872940870358539,12.730978927185648,12.800757251502102,88372500,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-02-19,12.870540618896484,12.892196539127443,12.769482411448303,12.798355594941434,45271200,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-02-22,12.952345848083496,12.974001762077465,12.834445098954777,12.877755550128299,36291600,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-02-23,12.90181827545166,13.01250177640706,12.860914491074256,12.933099502724698,42414000,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-02-24,12.97400188446045,12.981220522526533,12.868131738724909,12.930691432878383,31872600,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-02-25,13.029339790344238,13.06061962985821,12.812786207977304,12.86331528540865,40530300,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-02-26,13.010086059570312,13.050991192323988,12.87293477046707,13.046179228709915,47858700,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-03-01,12.969188690185547,13.024529741033621,12.8825664184078,13.002873828885608,36386100,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-03-02,12.894598007202148,12.96678300973106,12.865724832279227,12.952345733862396,42245100,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-03-03,12.911441802978516,12.933097716527111,12.788727713165253,12.836850129742945,34893600,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-03-04,12.983627319335938,13.014907166714263,12.93309822920061,12.998063218792858,33635400,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-03-05,13.026939392089844,13.034158031123637,12.872944054059953,12.986034229836555,34125300,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-03-08,13.029339790344238,13.06061962985821,12.976405418682035,12.995653279785309,22670100,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-03-09,13.007691383361816,13.113562930168065,12.974004856940306,13.022128662801714,37753800,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-03-10,12.976957321166992,13.071325782520168,12.952759108231133,12.986635498681535,38091000,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-03-11,13.059229850769043,13.064070325021191,12.952761570422004,12.979378640508763,32021700,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-03-12,13.042288780212402,13.124558820539708,13.015671717399966,13.10520108254654,31433700,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-03-15,13.410088539123535,13.439124459752291,13.15117856754875,13.160856746233362,73121700,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-03-16,13.548013687133789,13.615765095238647,13.453643824799355,13.521396617479205,55359000,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-03-17,13.531072616577148,13.581886510612506,13.468160308207159,13.562528770762142,37485600,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-03-18,13.53591251373291,13.538331365752,13.439122434026777,13.523812715338611,28416600,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-03-19,13.390727043151855,13.615760557093571,13.344752245851469,13.390727043151855,51552300,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-03-22,13.458481788635254,13.535912746069451,13.339915115848612,13.383469683261664,29622300,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-03-23,13.523813247680664,13.550431697536146,13.456061850709105,13.46090093951248,28107900,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-03-24,13.448803901672363,13.550433084393376,13.412508655070155,13.485100532849478,26096700,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-03-25,13.456062316894531,13.548011930218097,13.453642080121611,13.460901405865558,29379300,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-03-26,13.431866645812988,13.540755168012158,13.42218846603866,13.456064864398956,29841900,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-03-29,13.48752212524414,13.489940978097408,13.41251137986428,13.429448888137903,29329500,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
2010-03-30,13.528648376464844,13.562523369280672,13.46815494430935,13.497190850233519,20823900,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
